family,source,backbone,encoder,condition,id_real_ratio,source_sensitivity,flow_mag,roughness
cats,flyingthings,scratch,trained,realmotion,0.8591,3.7683,2.5955,0.5523
cats,flyingthings,scratch,trained,semantic,0.1229,4.0599,7.5679,0.4887
cats,flyingthings,scratch,frozen,realmotion,0.7497,1.3243,0.8730,0.6175
cats,flyingthings,scratch,frozen,semantic,0.0872,2.3691,4.0687,0.4946
cats,imagenet2dwarp,scratch,trained,realmotion,0.9196,1.6831,2.9784,0.3732
cats,imagenet2dwarp,scratch,trained,semantic,0.4985,2.0271,5.0767,0.3911
cats,imagenet2dwarp,scratch,frozen,realmotion,0.8880,1.7982,3.1776,0.3373
cats,imagenet2dwarp,scratch,frozen,semantic,0.2431,2.8757,6.7865,0.3861
cats,movi_f,scratch,trained,realmotion,0.6554,1.0366,1.3274,0.7100
cats,movi_f,scratch,trained,semantic,0.2173,1.8504,3.5925,0.5146
cats,movi_f,scratch,frozen,realmotion,0.3220,1.9735,0.5046,0.6225
cats,movi_f,scratch,frozen,semantic,0.0144,3.3905,5.8864,0.4073
cats,pointodyssey,scratch,trained,realmotion,0.5899,2.3925,1.1493,0.7126
cats,pointodyssey,scratch,trained,semantic,0.0595,3.8772,7.1532,0.5828
cats,pointodyssey,scratch,frozen,realmotion,0.4116,1.8817,0.5813,0.6743
cats,pointodyssey,scratch,frozen,semantic,0.0260,3.4056,5.7447,0.4728
cats,sintel,scratch,trained,realmotion,0.5635,2.4101,0.5345,0.7427
cats,sintel,scratch,trained,semantic,0.0312,3.5160,6.1119,0.4770
cats,sintel,scratch,frozen,realmotion,0.5280,1.9194,0.6917,0.6244
cats,sintel,scratch,frozen,semantic,0.0305,3.2109,5.4791,0.4817
cats,spair,scratch,trained,realmotion,0.9966,2.1021,12.6879,0.1086
cats,spair,scratch,trained,semantic,0.9998,1.7915,11.9262,0.1241
cats,spair,scratch,frozen,realmotion,0.9815,1.0564,11.4514,0.1025
cats,spair,scratch,frozen,semantic,0.9532,1.8434,11.4999,0.1186
