family,source,backbone,encoder,condition,id_real_ratio,source_sensitivity,flow_mag,roughness,probe
cats,flyingthings,scratch,trained,realmotion,0.1352,3.5570,3.2290,0.5689,indomain
cats,flyingthings,scratch,trained,semantic,0.1229,4.0599,7.5679,0.4887,indomain
cats,flyingthings,scratch,frozen,realmotion,0.0905,2.5922,2.5489,0.3955,indomain
cats,flyingthings,scratch,frozen,semantic,0.0872,2.3691,4.0687,0.4946,indomain
glunet,flyingthings,scratch,trained,realmotion,0.0106,39.6459,47.7897,0.0089,indomain
glunet,flyingthings,scratch,trained,semantic,0.0070,44.8625,77.4361,0.0123,indomain
glunet,flyingthings,scratch,frozen,realmotion,0.0188,26.8257,37.4043,0.0130,indomain
glunet,flyingthings,scratch,frozen,semantic,0.0186,24.9599,38.3939,0.0185,indomain
cats,pointodyssey,scratch,trained,realmotion,0.5674,3.3642,0.8286,0.7066,indomain
cats,pointodyssey,scratch,trained,semantic,0.0595,3.8772,7.1532,0.5828,indomain
cats,pointodyssey,scratch,frozen,realmotion,0.4655,2.6764,0.3571,0.6581,indomain
cats,pointodyssey,scratch,frozen,semantic,0.0260,3.4056,5.7447,0.4728,indomain
glunet,pointodyssey,scratch,trained,realmotion,0.0900,19.8229,4.2240,0.0125,indomain
glunet,pointodyssey,scratch,trained,semantic,0.0096,15.3194,34.1770,0.0106,indomain
glunet,pointodyssey,scratch,frozen,realmotion,0.0568,17.3816,4.0534,0.0151,indomain
glunet,pointodyssey,scratch,frozen,semantic,0.0061,17.1607,31.9674,0.0134,indomain
cats,sintel,scratch,trained,realmotion,0.4568,2.9773,0.5354,0.6798,indomain
cats,sintel,scratch,trained,semantic,0.0312,3.5160,6.1119,0.4770,indomain
cats,sintel,scratch,frozen,realmotion,0.4050,2.8769,0.4794,0.5742,indomain
cats,sintel,scratch,frozen,semantic,0.0305,3.2109,5.4791,0.4817,indomain
glunet,sintel,scratch,trained,realmotion,0.1885,32.9330,6.1097,0.0163,indomain
glunet,sintel,scratch,trained,semantic,0.0222,30.9427,66.7121,0.0113,indomain
glunet,sintel,scratch,frozen,realmotion,0.2234,28.4177,5.9377,0.0200,indomain
glunet,sintel,scratch,frozen,semantic,0.0170,31.8986,59.4556,0.0100,indomain
flowformer,flyingthings,scratch,trained,realmotion,0.0049,50.6738,45.6199,0.0111,indomain
flowformer,flyingthings,scratch,trained,semantic,0.0021,52.4272,102.3966,0.0113,indomain
flowformer,flyingthings,scratch,frozen,realmotion,0.0287,17.7105,24.7852,0.0148,indomain
flowformer,flyingthings,scratch,frozen,semantic,0.0282,16.8973,36.3004,0.0148,indomain
flowformer,pointodyssey,scratch,trained,realmotion,1.0006,0.0021,0.0368,0.0790,indomain
flowformer,pointodyssey,scratch,trained,semantic,1.0059,0.0011,0.0351,0.0718,indomain
flowformer,pointodyssey,scratch,frozen,realmotion,1.0000,0.0000,0.0268,0.0059,indomain
flowformer,pointodyssey,scratch,frozen,semantic,1.0000,0.0000,0.0268,0.0059,indomain
flowformer,sintel,scratch,trained,realmotion,0.1009,38.5932,6.3954,0.0148,indomain
flowformer,sintel,scratch,trained,semantic,0.0092,36.6817,63.5128,0.0099,indomain
flowformer,sintel,scratch,frozen,realmotion,0.4171,13.5171,7.0547,0.0251,indomain
flowformer,sintel,scratch,frozen,semantic,0.0434,14.3794,23.2228,0.0349,indomain
cats,flyingthings,scratch,trained,realmotion,0.6331,3.3130,1.2321,0.7637,ood_kitti
glunet,flyingthings,scratch,trained,realmotion,0.0529,33.9043,8.2917,0.0183,ood_kitti
cats,pointodyssey,scratch,trained,realmotion,0.3760,3.6074,0.7537,0.8312,ood_kitti
glunet,pointodyssey,scratch,trained,realmotion,0.0511,16.9090,5.9848,0.0179,ood_kitti
cats,sintel,scratch,trained,realmotion,0.3304,2.2592,0.4943,0.8761,ood_kitti
glunet,sintel,scratch,trained,realmotion,0.1853,28.2088,5.8206,0.0201,ood_kitti
flowformer,flyingthings,scratch,trained,realmotion,0.0208,40.3212,9.1744,0.0131,ood_kitti
flowformer,pointodyssey,scratch,trained,realmotion,1.0087,0.0009,0.0349,0.0711,ood_kitti
flowformer,sintel,scratch,trained,realmotion,0.0472,25.3162,8.5790,0.0150,ood_kitti
