Missing coverage/MMD lookups (sample):
('resnet', 'flyingthings', 'flyingthings'): 10
('feature_mmd', 'flyingthings', 'flyingthings'): 10
('resnet', 'flyingthings', 'kitti2012'): 10
('feature_mmd', 'flyingthings', 'kitti2012'): 10
('resnet', 'flyingthings', 'kitti2015'): 10
('feature_mmd', 'flyingthings', 'kitti2015'): 10
('resnet', 'flyingthings', 'middlebury'): 10
('feature_mmd', 'flyingthings', 'middlebury'): 10
('resnet', 'flyingthings', 'pfpascal'): 10
('feature_mmd', 'flyingthings', 'pfpascal'): 10
('resnet', 'flyingthings', 'pfwillow'): 10
('feature_mmd', 'flyingthings', 'pfwillow'): 10
('resnet', 'flyingthings', 'pointodyssey'): 10
('feature_mmd', 'flyingthings', 'pointodyssey'): 10
('resnet', 'flyingthings', 'spair'): 10
('feature_mmd', 'flyingthings', 'spair'): 10
('flow', 'flyingthings', 'synthetic'): 10
('resnet', 'flyingthings', 'synthetic'): 10
('dino', 'flyingthings', 'synthetic'): 10
('feature_mmd', 'flyingthings', 'synthetic'): 10
