run_id,run_name,train_dataset,step_tag,logsteps,pretrained,freeze,timestamp,selected_training_steps,selected_epoch,selected_metric,selection_policy,metric,auc_steps,benchmarks,checkpoint_path
snapshots/flyingthings_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_06_22,flyingthings_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_06_22,flyingthings,logsteps,100,False,False,2025_12_10_06_22,5000,50,172617.195,auc,pck,5000,__all__,snapshots/flyingthings_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_06_22/epoch_50.pth
snapshots/flyingthings_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_01_43,flyingthings_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_01_43,flyingthings,logsteps,100,False,True,2025_12_10_01_43,5000,50,175630.97,auc,pck,5000,__all__,snapshots/flyingthings_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_01_43/epoch_50.pth
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings,logsteps,100,True,False,2025_12_10_01_43,5000,50,232516.03499999997,auc,pck,5000,__all__,snapshots/flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43/epoch_50.pth
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings,logsteps,100,True,True,2025_12_10_01_43,5000,50,239404.91499999998,auc,pck,5000,__all__,snapshots/flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43/epoch_50.pth
snapshots/flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings,steps,100,False,False,2025_12_10_19_41,5000,50,173001.99000000002,auc,pck,5000,__all__,snapshots/flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41/epoch_50.pth
snapshots/flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_12_11_46,flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_12_11_46,flyingthings,steps,100,False,False,2025_12_12_11_46,5000,50,170568.085,auc,pck,5000,__all__,snapshots/flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_12_11_46/epoch_50.pth
snapshots/flyingthings_steps100_pretrainedTrue_freezeFalse_2025_12_10_18_38,flyingthings_steps100_pretrainedTrue_freezeFalse_2025_12_10_18_38,flyingthings,steps,100,True,False,2025_12_10_18_38,5000,50,234257.55,auc,pck,5000,__all__,snapshots/flyingthings_steps100_pretrainedTrue_freezeFalse_2025_12_10_18_38/epoch_50.pth
snapshots/flyingthings_steps100_pretrainedTrue_freezeFalse_2025_12_12_11_46,flyingthings_steps100_pretrainedTrue_freezeFalse_2025_12_12_11_46,flyingthings,steps,100,True,False,2025_12_12_11_46,5000,50,232738.91499999998,auc,pck,5000,__all__,snapshots/flyingthings_steps100_pretrainedTrue_freezeFalse_2025_12_12_11_46/epoch_50.pth
snapshots/flyingthings_steps100_pretrainedTrue_freezeTrue_2025_12_10_17_12,flyingthings_steps100_pretrainedTrue_freezeTrue_2025_12_10_17_12,flyingthings,steps,100,True,True,2025_12_10_17_12,5000,50,238745.06,auc,pck,5000,__all__,snapshots/flyingthings_steps100_pretrainedTrue_freezeTrue_2025_12_10_17_12/epoch_50.pth
snapshots/flyingthings_steps100_pretrainedTrue_freezeTrue_2025_12_12_11_45,flyingthings_steps100_pretrainedTrue_freezeTrue_2025_12_12_11_45,flyingthings,steps,100,True,True,2025_12_12_11_45,5000,50,238333.88999999998,auc,pck,5000,__all__,snapshots/flyingthings_steps100_pretrainedTrue_freezeTrue_2025_12_12_11_45/epoch_50.pth
snapshots/pointodyssey_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_11_40,pointodyssey_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_11_40,pointodyssey,logsteps,100,False,False,2025_12_10_11_40,5000,50,148525.765,auc,pck,5000,__all__,snapshots/pointodyssey_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_11_40/epoch_50.pth
snapshots/pointodyssey_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_06_57,pointodyssey_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_06_57,pointodyssey,logsteps,100,False,True,2025_12_10_06_57,5000,50,147683.49500000002,auc,pck,5000,__all__,snapshots/pointodyssey_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_06_57/epoch_50.pth
snapshots/pointodyssey_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_11_14,pointodyssey_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_11_14,pointodyssey,logsteps,100,True,False,2025_12_10_11_14,5000,50,201682.41999999998,auc,pck,5000,__all__,snapshots/pointodyssey_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_11_14/epoch_50.pth
snapshots/pointodyssey_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_06_53,pointodyssey_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_06_53,pointodyssey,logsteps,100,True,True,2025_12_10_06_53,5000,50,215949.32,auc,pck,5000,__all__,snapshots/pointodyssey_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_06_53/epoch_50.pth
snapshots/pointodyssey_steps100_pretrainedFalse_freezeFalse_2025_12_11_00_21,pointodyssey_steps100_pretrainedFalse_freezeFalse_2025_12_11_00_21,pointodyssey,steps,100,False,False,2025_12_11_00_21,5000,50,150757.43,auc,pck,5000,__all__,snapshots/pointodyssey_steps100_pretrainedFalse_freezeFalse_2025_12_11_00_21/epoch_50.pth
snapshots/pointodyssey_steps100_pretrainedFalse_freezeFalse_2025_12_12_23_46,pointodyssey_steps100_pretrainedFalse_freezeFalse_2025_12_12_23_46,pointodyssey,steps,100,False,False,2025_12_12_23_46,5000,50,148430.365,auc,pck,5000,__all__,snapshots/pointodyssey_steps100_pretrainedFalse_freezeFalse_2025_12_12_23_46/epoch_50.pth
snapshots/pointodyssey_steps100_pretrainedTrue_freezeFalse_2025_12_11_00_21,pointodyssey_steps100_pretrainedTrue_freezeFalse_2025_12_11_00_21,pointodyssey,steps,100,True,False,2025_12_11_00_21,5000,50,212212.99500000002,auc,pck,5000,__all__,snapshots/pointodyssey_steps100_pretrainedTrue_freezeFalse_2025_12_11_00_21/epoch_50.pth
snapshots/pointodyssey_steps100_pretrainedTrue_freezeFalse_2025_12_12_23_45,pointodyssey_steps100_pretrainedTrue_freezeFalse_2025_12_12_23_45,pointodyssey,steps,100,True,False,2025_12_12_23_45,5000,50,183252.24000000002,auc,pck,5000,__all__,snapshots/pointodyssey_steps100_pretrainedTrue_freezeFalse_2025_12_12_23_45/epoch_50.pth
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_11_00_21,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_11_00_21,pointodyssey,steps,100,True,True,2025_12_11_00_21,5000,50,211297.34,auc,pck,5000,__all__,snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_11_00_21/epoch_50.pth
snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45,pointodyssey,steps,100,True,True,2025_12_12_23_45,5000,50,191644.67500000002,auc,pck,5000,__all__,snapshots/pointodyssey_steps100_pretrainedTrue_freezeTrue_2025_12_12_23_45/epoch_50.pth
snapshots/sintel_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_01_43,sintel_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_01_43,sintel,logsteps,100,False,False,2025_12_10_01_43,5000,50,170304.56,auc,pck,5000,__all__,snapshots/sintel_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_01_43/epoch_50.pth
snapshots/sintel_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_01_43,sintel_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_01_43,sintel,logsteps,100,False,True,2025_12_10_01_43,5000,50,165288.76,auc,pck,5000,__all__,snapshots/sintel_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_01_43/epoch_50.pth
snapshots/sintel_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,sintel_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,sintel,logsteps,100,True,False,2025_12_10_01_43,5000,50,240462.71999999997,auc,pck,5000,__all__,snapshots/sintel_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43/epoch_50.pth
snapshots/sintel_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,sintel_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,sintel,logsteps,100,True,True,2025_12_10_01_43,5000,50,236902.635,auc,pck,5000,__all__,snapshots/sintel_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43/epoch_50.pth
snapshots/sintel_steps100_pretrainedFalse_freezeFalse_2025_12_10_17_12,sintel_steps100_pretrainedFalse_freezeFalse_2025_12_10_17_12,sintel,steps,100,False,False,2025_12_10_17_12,5000,50,162608.06,auc,pck,5000,__all__,snapshots/sintel_steps100_pretrainedFalse_freezeFalse_2025_12_10_17_12/epoch_50.pth
snapshots/sintel_steps100_pretrainedFalse_freezeFalse_2025_12_12_11_45,sintel_steps100_pretrainedFalse_freezeFalse_2025_12_12_11_45,sintel,steps,100,False,False,2025_12_12_11_45,5000,50,168539.21999999997,auc,pck,5000,__all__,snapshots/sintel_steps100_pretrainedFalse_freezeFalse_2025_12_12_11_45/epoch_50.pth
snapshots/sintel_steps100_pretrainedTrue_freezeFalse_2025_12_10_12_22,sintel_steps100_pretrainedTrue_freezeFalse_2025_12_10_12_22,sintel,steps,100,True,False,2025_12_10_12_22,5000,50,239518.03999999998,auc,pck,5000,__all__,snapshots/sintel_steps100_pretrainedTrue_freezeFalse_2025_12_10_12_22/epoch_50.pth
snapshots/sintel_steps100_pretrainedTrue_freezeFalse_2025_12_12_11_44,sintel_steps100_pretrainedTrue_freezeFalse_2025_12_12_11_44,sintel,steps,100,True,False,2025_12_12_11_44,5000,50,239706.19499999998,auc,pck,5000,__all__,snapshots/sintel_steps100_pretrainedTrue_freezeFalse_2025_12_12_11_44/epoch_50.pth
