dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside
pointodyssey,train,pointodyssey,val,dino,5,,1.0,gaussian,100.0,20.0,0.058874787533355136,3.071611607032183e-05,0.9999692838839297
pointodyssey,train,tss,val,dino,5,,1.0,gaussian,100.0,20.0,0.021002950952295665,0.0160659960753883,0.9839340039246117
pointodyssey,train,flyingthings,val,dino,5,,1.0,gaussian,100.0,20.0,0.033390817959972605,0.11491543480254499,0.885084565197455
pointodyssey,train,kitti,val,dino,5,,1.0,gaussian,100.0,20.0,0.027633964133871834,0.07440044243690067,0.9255995575630993
pointodyssey,train,pfwillow,val,dino,5,,1.0,gaussian,100.0,20.0,0.023703992896532706,0.0,1.0
pointodyssey,train,middlebury,val,dino,5,,1.0,gaussian,100.0,20.0,0.02507401955997992,0.06587972637872966,0.9341202736212704
pointodyssey,train,kitti2012,val,dino,5,,1.0,gaussian,100.0,20.0,0.029405838007069623,0.0847696987641634,0.9152303012358366
pointodyssey,train,pfpascal,val,dino,5,,1.0,gaussian,100.0,20.0,0.0375784640062466,0.06415250701901505,0.9358474929809849
pointodyssey,train,spair,val,dino,5,,1.0,gaussian,100.0,20.0,0.02503889056451512,0.0,1.0
spair_synthetic_50_50,train,pointodyssey,val,dino,5,,1.0,gaussian,100.0,20.0,0.07293749695773549,2.578294854991344e-06,0.999997421705145
spair_synthetic_50_50,train,tss,val,dino,5,,1.0,gaussian,100.0,20.0,0.06650098882825228,0.023776321994866435,0.9762236780051335
spair_synthetic_50_50,train,flyingthings,val,dino,5,,1.0,gaussian,100.0,20.0,0.07196034059471082,0.11103802385216133,0.8889619761478387
spair_synthetic_50_50,train,kitti,val,dino,5,,1.0,gaussian,100.0,20.0,0.08691664609881053,0.09118659677737542,0.9088134032226246
spair_synthetic_50_50,train,pfwillow,val,dino,5,,1.0,gaussian,100.0,20.0,0.06538501477558563,0.0,1.0
spair_synthetic_50_50,train,middlebury,val,dino,5,,1.0,gaussian,100.0,20.0,0.07149808201702862,0.07755796802472294,0.9224420319752771
spair_synthetic_50_50,train,kitti2012,val,dino,5,,1.0,gaussian,100.0,20.0,0.09101429029196928,0.10435379461754765,0.8956462053824523
spair_synthetic_50_50,train,pfpascal,val,dino,5,,1.0,gaussian,100.0,20.0,0.10421209222623948,0.07927549247039814,0.9207245075296019
spair_synthetic_50_50,train,spair,val,dino,5,,1.0,gaussian,100.0,20.0,0.06368819799899057,0.0,1.0
synthetic_large_zoom,train,pointodyssey,val,dino,5,,1.0,gaussian,100.0,20.0,0.07427528996218265,3.3811291819211767e-06,0.999996618870818
synthetic_large_zoom,train,tss,val,dino,5,,1.0,gaussian,100.0,20.0,0.05082468969454316,0.01847708691021671,0.9815229130897833
synthetic_large_zoom,train,flyingthings,val,dino,5,,1.0,gaussian,100.0,20.0,0.0692162341479459,0.10968336223441601,0.890316637765584
synthetic_large_zoom,train,kitti,val,dino,5,,1.0,gaussian,100.0,20.0,0.06320952290927369,0.07781879209297152,0.9221812079070285
synthetic_large_zoom,train,pfwillow,val,dino,5,,1.0,gaussian,100.0,20.0,0.051829997428434235,0.0,1.0
synthetic_large_zoom,train,middlebury,val,dino,5,,1.0,gaussian,100.0,20.0,0.057003318326666635,0.06769816041015364,0.9323018395898464
synthetic_large_zoom,train,kitti2012,val,dino,5,,1.0,gaussian,100.0,20.0,0.06539767356640153,0.0890720149857312,0.9109279850142689
synthetic_large_zoom,train,pfpascal,val,dino,5,,1.0,gaussian,100.0,20.0,0.082989465764834,0.06842801680872064,0.9315719831912793
synthetic_large_zoom,train,spair,val,dino,5,,1.0,gaussian,100.0,20.0,0.0618770496993251,0.0,1.0
