dataset1,split1,dataset2,split2,representation,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist,kl_eval_to_train_hist_log1p_linear,kl_train_to_eval_hist_log1p_linear,kl_eval_to_train_hist_radius,kl_train_to_eval_hist_radius,kl_eval_to_train_hist_median,kl_train_to_eval_hist_median,kl_eval_to_train_hist_rank,kl_train_to_eval_hist_rank
imagenet2dwarp,train,kitti2015,val,dino,5,median,5,0.99,0.39810732841491697,0.2412361127138137,0.9892953725961539,0.16118,0.83882,0.9892953725961539,0.16118,0.25813135504722595,0.265149861574173,0.348008406162262,0.38344284892082214,0.39246252179145813,0.5473055303096771,knn,20,50,1e-06,89.32860236885033,35.47140005926066,100000,53248,0.7140552018429979,2.7446257940852705,0.7133642983145446,2.644042065643442,1.968201371778853,12.940154834594612,0.04887402063203825,0.061877224715090474,0.7140552018429979,2.7446257940852705
imagenet2dwarp,train,kitti2012,val,dino,5,median,5,0.99,0.39810732841491697,0.2504759114980698,0.98666015625,0.18584,0.81416,0.98666015625,0.18584,0.2645038366317749,0.2737061679363251,0.35270278453826903,0.3792808949947357,0.38762611150741577,0.5430835306644439,knn,20,50,1e-06,75.89404979475837,34.63266684610738,100000,51200,0.657486621972141,2.072781175176301,0.656034031970656,2.2488013025172777,1.781443069219213,12.06654124469284,0.07414747674854993,0.10190951262267393,0.6574864720826394,2.072781114109843
imagenet2dwarp,train,spair,test,dino,5,median,5,0.99,0.39810732841491697,0.21129608154296875,0.93615,0.18855,0.81145,0.93615,0.18855,0.25791308283805847,0.2576119899749756,0.37861160039901737,0.3338944911956787,0.3306868076324463,0.5044263303279877,knn,20,50,1e-06,111.90704000005,17.02928125005,100000,100000,0.26016987441150685,0.5755360165338674,0.2612562260960649,0.738568601724058,1.62076942054362,12.137826731823132,0.01516135229510576,0.016243536352089187,0.2601756401881088,0.5755467036282682
imagenet2dwarp,train,pfpascal,test,dino,5,median,5,0.99,0.39810732841491697,0.31635703325271686,0.9543842516447368,0.56661,0.43339000000000005,0.9543842516447368,0.56661,0.2640343904495239,0.2672030031681061,0.36999843716621394,0.29591068625450134,0.2973264455795288,0.42545274496078495,knn,20,50,1e-06,26.918253792131637,12.332178430965557,100000,77824,0.09290838662498106,0.14128517185649353,0.09278768980123663,0.14845110963531913,0.49204066386003653,1.276634014036733,0.009069514802081374,0.009895128766153432,0.09291010724523731,0.14128648064832053
imagenet2dwarp,train,pfwillow,test,dino,5,median,5,0.99,0.39810732841491697,0.21206200122833252,0.96375,0.18719,0.81281,0.96375,0.18719,0.24494005739688873,0.251275897026062,0.3584970235824585,0.33554384112358093,0.3390601575374603,0.49862073659896855,knn,20,50,1e-06,117.94334000005,18.441767500050002,100000,100000,0.362783983271061,0.7303779179583684,0.3664148745673145,0.8089159322644306,1.7319400402727303,11.717007864059415,0.01045932548521319,0.010480348460904256,0.3627842861651844,0.7303781905707943
imagenet2dwarp,train,pointodyssey,test,dino,5,median,5,0.99,0.39810732841491697,0.11684389948844862,0.63268,0.00184,0.99816,0.63268,0.00184,0.35796618461608887,0.37199297547340393,0.45597122311592103,0.4655919671058655,0.472554087638855,0.6197682261466981,knn,20,50,1e-06,1576.05265000005,55.26658000005,100000,100000,0.5624240955774955,2.2688361070899785,0.5603502991922121,2.3080248193824455,6.01599930799069,21.244369120386093,0.055569244640159124,0.07572641443620941,0.5628843137834455,2.2691342032164044
imagenet2dwarp,train,flyingthings,test,dino,5,median,5,0.99,0.39810732841491697,0.28478713095188146,0.4509858630952381,0.12173,0.87827,0.4509858630952381,0.12173,0.39408060908317566,0.40757763385772705,0.4998637795448303,0.42267906665802,0.4348023533821106,0.5543559432029724,knn,20,50,1e-06,87.66331761650653,52.0109609589626,100000,43008,0.12477557579885246,0.2177241052570381,0.12595771660873437,0.24783875901976093,1.1218686485506293,7.8459953451903255,0.039583219808811874,0.04911373374468436,0.12480682223306538,0.21786633682521533
imagenet2dwarp,train,tss,val,dino,5,median,5,0.99,0.39810732841491697,0.2353616976737975,0.95553,0.2262,0.7738,0.95553,0.2262,0.2567444443702698,0.2568873167037964,0.3597171664237977,0.3422043025493622,0.3436559736728668,0.5077612936496735,knn,20,50,1e-06,90.24493000005,22.30720500005,100000,100000,0.36971735060654554,0.7496681870773985,0.36970806879300017,0.8628548719799793,1.5153041090558497,9.538266774594872,0.04185200595223246,0.04690211973750478,0.36971554275045226,0.7496668849272623
imagenet2dwarp,train,middlebury,val,dino,5,median,5,0.99,0.39810732841491697,0.2801782995462417,0.8525390625,0.13029,0.86971,0.8525390625,0.13029,0.3252614438533783,0.33767545223236084,0.40969655513763437,0.40441253781318665,0.412366658449173,0.5308494448661805,knn,20,50,1e-06,35.959518000850046,50.20939299046723,100000,12288,0.48630660667122505,2.5324718947437583,0.49109469439083364,3.0010206285424976,1.7187073994700302,12.545998612243704,0.05125145325200815,0.07770559679574253,0.486310041064972,2.532473776533058
spair_2d_warp_70_30,train,kitti2015,val,dino,5,median,5,0.99,0.3071519386768336,0.2412361127138137,0.48251577524038464,0.2166015625,0.7833984375,0.48251577524038464,0.2166015625,0.30550119280815125,0.3111794888973236,0.4175259232521057,0.3484904170036316,0.34305447340011597,0.5159105956554416,knn,20,50,1e-06,105.36688564048545,61.179290743094576,20480,53248,0.19389647173778002,0.39102508631329075,0.19540446942781797,0.5667276894386695,0.5665231093578932,3.9821870798549455,0.09731264595866448,0.13795439338809282,0.19390072047143841,0.3909365704318289
