dataset1,split1,dataset2,split2,representation,support_mode,normalization_mode,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist
flyingthings,train,flyingthings,test,flow,global_radius,global_block_alpha,5,first,5,0.95,8.595848083496094,8.362967586517332,0.8548452517162471,0.855655682985279,0.14434431701472095,0.8548452517162471,0.855655682985279,9.07718276977539,3.551732063293457,10.685476493835449,16.3403377532959,3.409881114959717,10.339235687255858,knn,20,50,1e-06,0.1949969260242168,0.19417169793185166,11684000,13984000,0.0024374487293073914,0.0024950598993951833
flyingthings,train,kitti2015,val,flow,global_radius,global_block_alpha,5,first,5,0.95,8.595848083496094,5.406013989448545,0.8988140905102169,0.04877884286203355,0.9512211571379664,0.8988140905102169,0.04877884286203355,4.3732686042785645,3.3872148990631104,8.636452293395998,107.91057586669922,53.25264358520508,182.6546691894531,knn,20,50,1e-06,4.473261982112894,4.085543070477035,11684000,398850,2.3209163970650146,11.454864327013262
flyingthings,train,kitti2012,val,flow,global_radius,global_block_alpha,5,first,5,0.95,8.595848083496094,6.53848850727081,0.9610438144329897,0.08582137966449846,0.9141786203355016,0.9610438144329897,0.08582137966449846,3.826430082321167,3.2820210456848145,6.730553913116462,107.30978393554688,50.50096893310547,186.43749389648434,knn,20,50,1e-06,3.5538321755307205,4.038249207098186,11684000,388000,2.3108005380061782,13.690206707910903
flyingthings,train,spair,test,flow,global_radius,global_block_alpha,5,first,5,0.95,8.595848083496094,57.97736740112305,0.15068275643061288,0.8744136425881548,0.1255863574118452,0.15068275643061288,0.8744136425881548,44.27196502685547,25.084333419799805,107.63122482299806,61.23420715332031,32.88287353515625,62.22919921874998,knn,20,50,1e-06,3.4423330657882154,3.2358446962130047,11684000,56682,0.7241160986196744,0.47500180618345866
flyingthings,train,pfpascal,test,flow,global_radius,global_block_alpha,5,first,5,0.95,8.595848083496094,102.69593200683593,0.44366197183098594,0.9679859637110578,0.03201403628894217,0.44366197183098594,0.9679859637110578,12.822028160095215,9.48169231414795,25.89294662475592,76.06307220458984,46.86033248901367,75.80598449707031,knn,20,50,1e-06,1.16486681244883,1.6641298117866778,11684000,2414,2.91951742132656,4.393604792909733
flyingthings,train,pfwillow,test,flow,global_radius,global_block_alpha,5,first,5,0.95,8.595848083496094,65.50632400512691,0.4275555555555556,0.7369126155426224,0.26308738445737756,0.4275555555555556,0.7369126155426224,15.219826698303223,9.829734802246094,31.01406478881836,78.15245056152344,43.47035598754883,100.12546844482421,knn,20,50,1e-06,1.8488509187335973,1.9393229466940491,11684000,9000,2.175835071577999,1.5507043635273
flyingthings,train,pointodyssey,test,flow,global_radius,global_block_alpha,5,first,5,0.95,8.595848083496094,3.1929261684417725,0.9741477711598208,0.2008527045532352,0.7991472954467648,0.9741477711598208,0.2008527045532352,2.649735450744629,2.1030070781707764,4.345174026489257,40.11788558959961,7.25393009185791,33.12168922424316,knn,20,50,1e-06,3.016283787940059,1.9560167423667556,11684000,13982160,1.065960424200259,1.5859121323878396
flyingthings,train,tss,val,flow,global_radius,global_block_alpha,5,first,5,0.95,8.595848083496094,11.999479770660393,0.54046875,0.34841210201985623,0.6515878979801437,0.54046875,0.34841210201985623,16.54464340209961,8.031457901000977,28.904663658142084,51.14026641845703,16.712139129638672,54.64305534362793,knn,20,50,1e-06,2.7478453860357983,2.315569391787825,11684000,800000,0.4848340115581129,0.4620759255655795
flyingthings,train,middlebury,val,flow,global_radius,global_block_alpha,5,first,5,0.95,8.595848083496094,7.075223422050477,0.8365625,0.011966107497432385,0.9880338925025676,0.8365625,0.011966107497432385,6.0087175369262695,5.315297603607178,10.026396942138673,124.56455993652344,59.610191345214844,225.53798522949205,knn,20,50,1e-06,4.792235163540989,3.5051449517876643,11684000,96000,3.517063883361374,17.978153774169712
imagenet2dwarp,train,flyingthings,test,flow,global_radius,global_block_alpha,5,first,5,0.95,8.922226047515867,8.362967586517332,0.5885062929061785,0.3619748,0.6380252,0.5885062929061785,0.3619748,23.974681854248047,7.935131072998047,17.270188522338863,13.505746841430664,10.510298728942871,25.85439529418943,knn,20,50,1e-06,2.5919530961632486,2.488802425919139,10000000,13984000,0.12274150714249792,0.14644447981207717
imagenet2dwarp,train,kitti2015,val,flow,global_radius,global_block_alpha,5,first,5,0.95,8.922226047515867,5.406013989448545,0.7827052776733108,0.0034519,0.9965481,0.7827052776733108,0.0034519,7.678167343139648,6.123023986816406,11.869611454010013,198.1778106689453,177.36984252929688,375.9393310546875,knn,20,50,1e-06,6.42532146932032,6.830072334380961,10000000,398850,3.978026645502274,13.038849220588954
imagenet2dwarp,train,kitti2012,val,flow,global_radius,global_block_alpha,5,first,5,0.95,8.922226047515867,6.53848850727081,0.770639175257732,0.0067949,0.9932051,0.770639175257732,0.0067949,7.444327354431152,6.355170249938965,11.762725925445558,240.80899047851562,224.68075561523438,438.4582641601562,knn,20,50,1e-06,5.798280264314993,7.668630667647094,10000000,388000,3.8225093339589664,17.633869896163926
imagenet2dwarp,train,spair,test,flow,global_radius,global_block_alpha,5,first,5,0.95,8.922226047515867,57.97736740112305,0.23709466850146432,0.9458742,0.0541258,0.23709466850146432,0.9458742,113.01395416259766,43.803321838378906,317.9881927490234,33.00075149536133,30.764225006103516,51.154788970947266,knn,20,50,1e-06,4.229301632183445,1.650466028038874,10000000,56682,1.9764084038230114,1.4171009754828088
imagenet2dwarp,train,pfpascal,test,flow,global_radius,global_block_alpha,5,first,5,0.95,8.922226047515867,102.69593200683593,0.5335542667771334,0.90449,0.09550999999999998,0.5335542667771334,0.90449,16.280906677246094,8.492528915405273,34.92371826171884,63.26863479614258,56.93753433227539,101.49123382568357,knn,20,50,1e-06,0.8055887081584743,1.1171288506991601,10000000,2414,3.001634630584277,2.0455178964032714
imagenet2dwarp,train,pfwillow,test,flow,global_radius,global_block_alpha,5,first,5,0.95,8.922226047515867,65.50632400512691,0.5284444444444445,0.7351104,0.26488959999999995,0.5284444444444445,0.7351104,23.683582305908203,8.502440452575684,59.47175254821778,53.55237579345703,45.891517639160156,94.5252914428711,knn,20,50,1e-06,1.6740480924799268,1.1808931053600409,10000000,9000,2.386009944871287,1.4316672904146661
imagenet2dwarp,train,pointodyssey,test,flow,global_radius,global_block_alpha,5,first,5,0.95,8.922226047515867,3.1929261684417725,0.8070308879314784,0.0164746,0.9835254,0.8070308879314784,0.0164746,6.778110027313232,5.943120956420898,10.87639293670654,37.49379348754883,27.383623123168945,80.3978660583496,knn,20,50,1e-06,6.55321731267162,4.711194038314502,10000000,13982160,1.5601279915423416,2.956847474673994
imagenet2dwarp,train,tss,val,flow,global_radius,global_block_alpha,5,first,5,0.95,8.922226047515867,11.999479770660393,0.59597,0.2026153,0.7973847000000001,0.59597,0.2026153,35.81122589111328,7.651307582855225,73.478034210205,38.043678283691406,25.873638153076172,86.50007629394531,knn,20,50,1e-06,2.9106820427465365,2.104855055691749,10000000,800000,0.9993981660671913,0.9393316129861856
imagenet2dwarp,train,middlebury,val,flow,global_radius,global_block_alpha,5,first,5,0.95,8.922226047515867,7.075223422050477,0.5995625,0.0037239,0.9962761,0.5995625,0.0037239,9.241669654846191,7.903129577636719,15.512042713165288,255.60104370117188,236.87667846679688,470.22920227050776,knn,20,50,1e-06,5.936928622619892,6.346176719491658,10000000,96000,3.883040131569646,19.11026314206662
synthetic,train,flyingthings,test,flow,global_radius,global_block_alpha,5,first,5,0.95,11.597118377685547,8.362967586517332,0.9265088672768879,0.418968,0.581032,0.9265088672768879,0.418968,19.131956100463867,6.1259565353393555,10.39650650024414,15.900921821594238,9.746033668518066,32.956238174438475,knn,20,50,1e-06,1.7416611911289235,1.6035894259191388,10000000,13984000,0.3786099370993684,0.5302496159705571
synthetic,train,kitti2015,val,flow,global_radius,global_block_alpha,5,first,5,0.95,11.597118377685547,5.406013989448545,0.9678851698633572,0.0088183,0.9911817,0.9678851698633572,0.0088183,5.627939701080322,4.571227073669434,7.5251350879669205,198.09695434570312,158.226806640625,413.5010101318359,knn,20,50,1e-06,5.356448772817875,5.586733134380959,10000000,398850,3.738064589373436,12.375680158615786
