dataset1,split1,dataset2,split2,representation,support_mode,normalization_mode,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist
flyingthings,train,flyingthings,test,flow,global_radius,train_zscore,1,first,5,0.95,0.01033159396611153,0.009988880762830376,0.944827016590389,0.9457369051694625,0.054263094830537484,0.944827016590389,0.9457369051694625,0.003859208896756172,0.0016714632511138916,0.008068492636084557,0.004702545236796141,0.001539595890790224,0.007841846160590648,knn,20,50,1e-06,0.1426193158983587,-0.1246203066256629,11684000,13984000,0.0029473003906702318,0.002990639745024624
flyingthings,train,kitti2015,val,flow,global_radius,train_zscore,1,first,5,0.95,0.01033159396611153,0.009449160005897283,0.9881785132255234,0.29943640876412186,0.7005635912358781,0.9881785132255234,0.29943640876412186,0.0025998230557888746,0.0015109434025362134,0.006989604886621241,0.19937676191329956,0.01813465729355812,0.7670878171920776,knn,20,50,1e-06,1.7702887465606816,5.272943275886143,11684000,398850,1.7872106169682898,10.101010964445187
flyingthings,train,kitti2012,val,flow,global_radius,train_zscore,1,first,5,0.95,0.01033159396611153,0.0077445388305932275,0.9988041237113402,0.23950487846627866,0.7604951215337213,0.9988041237113402,0.23950487846627866,0.0021436908282339573,0.001426832634024322,0.005178442364558579,0.15285000205039978,0.016589229926466942,0.6225852489471435,knn,20,50,1e-06,1.7710779269804628,4.461778820244369,11684000,388000,1.9807621109919262,11.083499717912199
flyingthings,train,spair,test,flow,global_radius,train_zscore,1,first,5,0.95,0.01033159396611153,0.037211868911981576,0.3178610493631135,0.4892438377268059,0.5107561622731941,0.3178610493631135,0.4892438377268059,0.019640697166323662,0.015389317646622658,0.04011163376271725,0.05014302209019661,0.037814222276210785,0.0850478857755661,knn,20,50,1e-06,2.8047107000018987,3.527188071769321,11684000,56682,1.0678633211328084,1.3228479771673547
flyingthings,train,pfpascal,test,flow,global_radius,train_zscore,1,first,5,0.95,0.01033159396611153,0.09231182597577571,0.7348798674399337,0.9049459089352961,0.09505409106470386,0.7348798674399337,0.9049459089352961,0.008325689472258091,0.007483066059648991,0.015454298723489046,0.057929616421461105,0.04942747578024864,0.09092001616954803,knn,20,50,1e-06,-0.9522575791211771,4.215339671423788,11684000,2414,3.5267308406663664,13.008148618223663
flyingthings,train,pfwillow,test,flow,global_radius,train_zscore,1,first,5,0.95,0.01033159396611153,0.02495664004236453,0.6923333333333334,0.07263762410133516,0.9273623758986649,0.6923333333333334,0.07263762410133516,0.009012484923005104,0.007724173832684755,0.016984251141548157,0.11385924369096756,0.07782458513975143,0.23760239779949188,knn,20,50,1e-06,1.6423179326224862,4.04675533286317,11684000,9000,3.3227608434771474,13.164205696120922
flyingthings,train,pointodyssey,test,flow,global_radius,train_zscore,1,first,5,0.95,0.01033159396611153,0.005960874236188798,0.9933263530098354,0.6683178705922629,0.3316821294077371,0.9933263530098354,0.6683178705922629,0.0011723109055310488,0.0006218524649739265,0.0024138820124790052,0.0089155538007617,0.003197344020009041,0.014204162638634435,knn,20,50,1e-06,7.2357594626569846,0.03595707744036042,11684000,13982160,0.7599646255998047,1.030686627299726
flyingthings,train,tss,val,flow,global_radius,train_zscore,1,first,5,0.95,0.01033159396611153,0.016619112342596054,0.7883725,0.6820180588839438,0.31798194111605615,0.7883725,0.6820180588839438,0.008910151198506355,0.006860530003905296,0.016446750983595843,0.02142791450023651,0.010449889115989208,0.04178835228085516,knn,20,50,1e-06,1.3070626858404855,2.779409857381799,11684000,800000,0.41432995994885446,0.4086810400701022
flyingthings,train,middlebury,val,flow,global_radius,train_zscore,1,first,5,0.95,0.01033159396611153,0.013726289523765447,0.9822291666666667,0.5896622731941116,0.4103377268058884,0.9822291666666667,0.5896622731941116,0.003794852178543806,0.003216426819562912,0.007314123958349228,0.019469888880848885,0.012167906388640404,0.030784960836172104,knn,20,50,1e-06,0.021363149177382468,0.7239374885901295,11684000,96000,2.46471830283533,6.934593608771326
imagenet2dwarp,train,flyingthings,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04948289729654788,0.049908176995813826,0.6020533466819222,0.4222182,0.5777818,0.6020533466819222,0.4222182,0.11867204308509827,0.04344170168042183,0.09229101017117498,0.0714496597647667,0.05634372681379318,0.13470986485481262,knn,20,50,1e-06,2.5583169405568413,2.449109825919139,10000000,13984000,0.12636195093738992,0.1501756615127809
