dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage
spair_synthetic_70_30,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.26080358214796506,0.3933591064815939,0.6066408935184061,0.26080358214796506,0.3933591064815939
spair_synthetic_70_30,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.35247055619611634,0.20826734713967637,0.7917326528603237,0.35247055619611634,0.20826734713967637
spair_synthetic_70_30,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3006026155663116,0.20431498626887806,0.795685013731122,0.3006026155663116,0.20431498626887806
spair_synthetic_70_30,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2811034837566784,0.2186861818823924,0.7813138181176076,0.2811034837566784,0.2186861818823924
spair_synthetic_70_30,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2777496723251684,0.28470948088974823,0.7152905191102518,0.2777496723251684,0.28470948088974823
spair_synthetic_70_30,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.32294240102862326,0.2424278784192347,0.7575721215807654,0.32294240102862326,0.2424278784192347
spair_synthetic_70_30,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.37706733889971333,0.24211849159439708,0.757881508405603,0.37706733889971333,0.24211849159439708
spair_synthetic_70_30,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.16116633710853606,0.4399515645832995,0.5600484354167006,0.16116633710853606,0.4399515645832995
spair_synthetic_70_30,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3257142258519732,0.37265775157745673,0.6273422484225433,0.3257142258519732,0.37265775157745673
synthetic_large_zoom,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.19740591117217046,0.29906407479814556,0.7009359252018544,0.19740591117217046,0.29906407479814556
synthetic_large_zoom,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2317025354531666,0.10764632892020927,0.8923536710797907,0.2317025354531666,0.10764632892020927
synthetic_large_zoom,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.20128883758531005,0.10909099150570065,0.8909090084942993,0.20128883758531005,0.10909099150570065
synthetic_large_zoom,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.18757925913250414,0.12575648133438722,0.8742435186656128,0.18757925913250414,0.12575648133438722
synthetic_large_zoom,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.21592363273473322,0.19322001896564828,0.8067799810343517,0.21592363273473322,0.19322001896564828
synthetic_large_zoom,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2273607857581464,0.13853890764499688,0.8614610923550031,0.2273607857581464,0.13853890764499688
synthetic_large_zoom,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2605665024025259,0.1319112667807044,0.8680887332192956,0.2605665024025259,0.1319112667807044
synthetic_large_zoom,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.13145580298810197,0.35897691603259574,0.6410230839674043,0.13145580298810197,0.35897691603259574
synthetic_large_zoom,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.23138486099582722,0.2569072426205107,0.7430927573794893,0.23138486099582722,0.2569072426205107
spair_synthetic_50_50,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2496308317968381,0.3724462432518681,0.627553756748132,0.2496308317968381,0.3724462432518681
spair_synthetic_50_50,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3388662322305576,0.1863657677951762,0.8136342322048238,0.3388662322305576,0.1863657677951762
spair_synthetic_50_50,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.28786437426807976,0.18374563517703035,0.8162543648229696,0.28786437426807976,0.18374563517703035
spair_synthetic_50_50,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2680107446744639,0.19813932378798954,0.8018606762120104,0.2680107446744639,0.19813932378798954
spair_synthetic_50_50,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.26818055053546136,0.2653481793007092,0.7346518206992908,0.26818055053546136,0.2653481793007092
spair_synthetic_50_50,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3088685527476456,0.2196391159918119,0.7803608840081881,0.3088685527476456,0.2196391159918119
spair_synthetic_50_50,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.36375093940096587,0.21925529712928774,0.7807447028707123,0.36375093940096587,0.21925529712928774
spair_synthetic_50_50,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.15360008854452903,0.420797510623945,0.579202489376055,0.15360008854452903,0.420797510623945
spair_synthetic_50_50,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3122052424118312,0.34710577011631516,0.6528942298836848,0.3122052424118312,0.34710577011631516
sintel,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2219983044858457,0.3881287243222664,0.6118712756777336,0.2219983044858457,0.3881287243222664
sintel,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.24243049149521306,0.17447487494253122,0.8255251250574688,0.24243049149521306,0.17447487494253122
sintel,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2720208786591879,0.20949055307632092,0.7905094469236791,0.2720208786591879,0.20949055307632092
sintel,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.24711225548445065,0.22777475985215484,0.7722252401478451,0.24711225548445065,0.22777475985215484
sintel,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.25706545770619293,0.29092003661090965,0.7090799633890903,0.25706545770619293,0.29092003661090965
sintel,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.26090079318809795,0.2134567616027117,0.7865432383972883,0.26090079318809795,0.2134567616027117
sintel,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.29368800909047776,0.20112683819240526,0.7988731618075947,0.29368800909047776,0.20112683819240526
sintel,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.13708729695873537,0.41684389190309706,0.583156108096903,0.13708729695873537,0.41684389190309706
sintel,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.25992287216646154,0.3384726858458901,0.6615273141541099,0.25992287216646154,0.3384726858458901
synthetic_small_zoom,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.19105894541068152,0.29705829174324333,0.7029417082567566,0.19105894541068152,0.29705829174324333
synthetic_small_zoom,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.22724602636690783,0.10629044916971317,0.8937095508302868,0.22724602636690783,0.10629044916971317
synthetic_small_zoom,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.19461840436070219,0.10892970187831044,0.8910702981216896,0.19461840436070219,0.10892970187831044
synthetic_small_zoom,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.18174303818646428,0.12525560146389714,0.8747443985361029,0.18174303818646428,0.12525560146389714
synthetic_small_zoom,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.20976999893321135,0.19126411398789323,0.8087358860121068,0.20976999893321135,0.19126411398789323
synthetic_small_zoom,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.21987290682878544,0.1368897494798624,0.8631102505201376,0.21987290682878544,0.1368897494798624
synthetic_small_zoom,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2524893330975576,0.131081355238176,0.868918644761824,0.2524893330975576,0.131081355238176
synthetic_small_zoom,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.12547033116376127,0.3580170568856405,0.6419829431143595,0.12547033116376127,0.3580170568856405
synthetic_small_zoom,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.22327767941787793,0.2553611986806156,0.7446388013193844,0.22327767941787793,0.2553611986806156
spair,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.14245122161219903,0.4501859704169543,0.5498140295830457,0.14245122161219903,0.4501859704169543
spair,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.235660745668547,0.26731114003680717,0.7326888599631929,0.235660745668547,0.26731114003680717
spair,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.16593555265149498,0.2528552217253942,0.7471447782746058,0.16593555265149498,0.2528552217253942
spair,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.15781080257090135,0.262889649730006,0.737110350269994,0.15781080257090135,0.262889649730006
spair,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.15897695779631443,0.3471823294306611,0.6528176705693389,0.15897695779631443,0.3471823294306611
spair,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.1863228523662501,0.3008696013612009,0.6991303986387991,0.1863228523662501,0.3008696013612009
spair,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.25096959222398396,0.3366498224628481,0.663350177537152,0.25096959222398396,0.3366498224628481
spair,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.07632760447046509,0.47701994446616663,0.5229800555338333,0.07632760447046509,0.47701994446616663
spair,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.19765368820387885,0.4399131726444521,0.5600868273555479,0.19765368820387885,0.4399131726444521
synthetic_random_flipping,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.20253178603949856,0.298644136846839,0.701355863153161,0.20253178603949856,0.298644136846839
synthetic_random_flipping,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.24097444451526517,0.10764646955701548,0.8923535304429845,0.24097444451526517,0.10764646955701548
synthetic_random_flipping,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2083977226094689,0.10965569201774669,0.8903443079822533,0.2083977226094689,0.10965569201774669
synthetic_random_flipping,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.19535006088761311,0.12628093300319349,0.8737190669968065,0.19535006088761311,0.12628093300319349
synthetic_random_flipping,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.22151779265237462,0.19280372232096657,0.8071962776790335,0.22151779265237462,0.19280372232096657
synthetic_random_flipping,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.23402546623913856,0.13885427680026663,0.8611457231997334,0.23402546623913856,0.13885427680026663
synthetic_random_flipping,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.265993674475232,0.13245490335863416,0.8675450966413658,0.265993674475232,0.13245490335863416
