dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside
spair_synthetic_70_30,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.21573767187304554,0.4317521702636955,0.5682478297363045
spair_synthetic_70_30,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2656473683110775,0.4138924304944335,0.5861075695055664
spair_synthetic_70_30,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.25977569639618103,0.2310575959038936,0.7689424040961064
spair_synthetic_70_30,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.24237735125586982,0.2501166542170635,0.7498833457829365
spair_synthetic_70_30,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.23215171013150432,0.35369370158516267,0.6463062984148373
spair_synthetic_70_30,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2797860057141694,0.25818411350221293,0.7418158864977871
spair_synthetic_70_30,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2798155606641637,0.3167019016540466,0.6832980983459533
spair_synthetic_70_30,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.1378931598136922,0.39361450967781386,0.6063854903221861
spair_synthetic_70_30,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2618612033036381,0.43841706603412023,0.5615829339658798
synthetic_large_zoom,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.16702781484821438,0.34864473684073227,0.6513552631592677
synthetic_large_zoom,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.17429314409320593,0.3042736539386703,0.6957263460613297
synthetic_large_zoom,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.1755977219986397,0.1353376462102548,0.8646623537897452
synthetic_large_zoom,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.16301677238465756,0.15668941143772072,0.8433105885622793
synthetic_large_zoom,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.18399995896799728,0.2647010957717415,0.7352989042282585
synthetic_large_zoom,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.1997424989996467,0.15839635146503325,0.8416036485349667
synthetic_large_zoom,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.21078890406748707,0.22873539099629248,0.7712646090037075
