dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage
spair_synthetic_70_30,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.477386182750329,0.02144667379220761,0.9785533262077923,0.477386182750329,0.02144667379220761
spair_synthetic_70_30,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.4446765370204937,0.011357379793307965,0.988642620206692,0.4446765370204937,0.011357379793307965
spair_synthetic_70_30,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.40764919677311295,0.036450526485986456,0.9635494735140135,0.40764919677311295,0.036450526485986456
spair_synthetic_70_30,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.3406910353698698,0.23004017278427275,0.7699598272157273,0.3406910353698698,0.23004017278427275
spair_synthetic_70_30,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.4735697052877318,0.03177388222400153,0.9682261177759984,0.4735697052877318,0.03177388222400153
spair_synthetic_70_30,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.35368481372801003,0.2446216683157943,0.7553783316842058,0.35368481372801003,0.2446216683157943
spair_synthetic_70_30,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.36714246507410053,0.18104083092359455,0.8189591690764054,0.36714246507410053,0.18104083092359455
spair_synthetic_70_30,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.2115361252673823,0.21496286981671772,0.7850371301832823,0.2115361252673823,0.21496286981671772
spair_synthetic_70_30,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.34351345390124244,0.12682116656755085,0.8731788334324492,0.34351345390124244,0.12682116656755085
spair_synthetic_50_50,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.4772746714858101,0.022105899218807366,0.9778941007811927,0.4772746714858101,0.022105899218807366
spair_synthetic_50_50,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.46131364811771525,0.011638222815430293,0.9883617771845697,0.46131364811771525,0.011638222815430293
spair_synthetic_50_50,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.41477259740830785,0.036552729566088876,0.9634472704339111,0.41477259740830785,0.036552729566088876
spair_synthetic_50_50,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.3607651538345918,0.22887595416279527,0.7711240458372047,0.3607651538345918,0.22887595416279527
spair_synthetic_50_50,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.4747871095250148,0.03289572191608045,0.9671042780839195,0.4747871095250148,0.03289572191608045
spair_synthetic_50_50,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.36864670500747404,0.244935607866333,0.755064392133667,0.36864670500747404,0.244935607866333
spair_synthetic_50_50,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.37736991197766645,0.18015923659552735,0.8198407634044726,0.37736991197766645,0.18015923659552735
spair_synthetic_50_50,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.22346210415412424,0.21454383642148298,0.785456163578517,0.22346210415412424,0.21454383642148298
spair_synthetic_50_50,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.35859497065260615,0.12642981838689032,0.8735701816131096,0.35859497065260615,0.12642981838689032
spair,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.26410761674049477,0.006265046323378841,0.9937349536766211,0.26410761674049477,0.006265046323378841
spair,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.17485234399871272,0.002203433021932204,0.9977965669780678,0.17485234399871272,0.002203433021932204
spair,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.1577234766792105,0.010815303206907146,0.9891846967930928,0.1577234766792105,0.010815303206907146
spair,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.17367439416160707,0.13108621825842523,0.8689137817415747,0.17367439416160707,0.13108621825842523
spair,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.24223948718078575,0.009297834789201136,0.9907021652107989,0.24223948718078575,0.009297834789201136
spair,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.14248546444791804,0.11013290819923163,0.8898670918007684,0.14248546444791804,0.11013290819923163
spair,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.2353696531493985,0.11281569576302089,0.8871843042369791,0.2353696531493985,0.11281569576302089
spair,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.15634457368782811,0.256408856121145,0.7435911438788549,0.15634457368782811,0.256408856121145
spair,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.20695180063230878,0.09119685900423653,0.9088031409957634,0.20695180063230878,0.09119685900423653
pointodyssey,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.04047156536718171,0.08836037079273983,0.9116396292072602,0.04047156536718171,0.08836037079273983
pointodyssey,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.10715245758486333,0.18830633185033918,0.8116936681496608,0.10715245758486333,0.18830633185033918
pointodyssey,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.015493764847799041,0.18766674916816575,0.8123332508318343,0.015493764847799041,0.18766674916816575
pointodyssey,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.002873697820263697,0.3324751894303696,0.6675248105696304,0.002873697820263697,0.3324751894303696
pointodyssey,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.04687170618932417,0.11936656071074785,0.8806334392892522,0.04687170618932417,0.11936656071074785
pointodyssey,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.012189436081121293,0.5100376104772721,0.48996238952272786,0.012189436081121293,0.5100376104772721
pointodyssey,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.005454058848063383,0.300341725744685,0.699658274255315,0.005454058848063383,0.300341725744685
pointodyssey,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.0005703526500719621,0.21581575034459238,0.7841842496554077,0.0005703526500719621,0.21581575034459238
pointodyssey,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.004762380984234548,0.2334811724980145,0.7665188275019855,0.004762380984234548,0.2334811724980145
flyingthings,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.38437278788682155,0.034438620346893545,0.9655613796531064,0.38437278788682155,0.034438620346893545
flyingthings,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.4082499450127766,0.021812824232873017,0.978187175767127,0.4082499450127766,0.021812824232873017
flyingthings,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.3079776202367685,0.06355418992293681,0.9364458100770632,0.3079776202367685,0.06355418992293681
flyingthings,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.21984576739799097,0.2617520941640184,0.7382479058359817,0.21984576739799097,0.2617520941640184
flyingthings,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.3967592099207766,0.05555175406958679,0.9444482459304132,0.3967592099207766,0.05555175406958679
flyingthings,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.2881278415729718,0.34565760349198693,0.6543423965080131,0.2881278415729718,0.34565760349198693
flyingthings,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.25194177323437505,0.20679552125917458,0.7932044787408254,0.25194177323437505,0.20679552125917458
flyingthings,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.09125962146328671,0.19656057662087867,0.8034394233791213,0.09125962146328671,0.19656057662087867
flyingthings,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.21034729496623183,0.13463451820723119,0.8653654817927688,0.21034729496623183,0.13463451820723119
synthetic_small_zoom,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.39381357515991194,0.12805102816142677,0.8719489718385732,0.39381357515991194,0.12805102816142677
synthetic_small_zoom,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.3840252955944229,0.08282191559930063,0.9171780844006994,0.3840252955944229,0.08282191559930063
synthetic_small_zoom,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.21462014056310136,0.12143142856729035,0.8785685714327096,0.21462014056310136,0.12143142856729035
synthetic_small_zoom,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.07583647755483881,0.3102850436666433,0.6897149563333567,0.07583647755483881,0.3102850436666433
synthetic_small_zoom,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.43410468272321173,0.1713652836963844,0.8286347163036156,0.43410468272321173,0.1713652836963844
synthetic_small_zoom,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.14891402076191668,0.43635916613402526,0.5636408338659747,0.14891402076191668,0.43635916613402526
synthetic_small_zoom,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.10613708895974322,0.2748918932853621,0.7251081067146379,0.10613708895974322,0.2748918932853621
synthetic_small_zoom,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.021419903822824143,0.21905209141419607,0.780947908585804,0.021419903822824143,0.21905209141419607
synthetic_small_zoom,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.07707898382720144,0.16634064717926905,0.833659352820731,0.07707898382720144,0.16634064717926905
synthetic_large_zoom,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.46077686973345855,0.09337452930725192,0.9066254706927481,0.46077686973345855,0.09337452930725192
synthetic_large_zoom,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.4390874723360302,0.05233240560701565,0.9476675943929843,0.4390874723360302,0.05233240560701565
synthetic_large_zoom,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.28564048524862923,0.09131103776479063,0.9086889622352093,0.28564048524862923,0.09131103776479063
synthetic_large_zoom,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.13637813353483727,0.2953150401976631,0.7046849598023369,0.13637813353483727,0.2953150401976631
synthetic_large_zoom,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.4742671555013057,0.12316693701702178,0.8768330629829783,0.4742671555013057,0.12316693701702178
synthetic_large_zoom,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.20659285899151372,0.37963798359159584,0.6203620164084042,0.20659285899151372,0.37963798359159584
synthetic_large_zoom,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.16923211159058624,0.25606465413585217,0.7439353458641478,0.16923211159058624,0.25606465413585217
synthetic_large_zoom,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.048510170264011956,0.22227239662955522,0.7777276033704448,0.048510170264011956,0.22227239662955522
synthetic_large_zoom,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.1360106716465961,0.16183213783508718,0.8381678621649128,0.1360106716465961,0.16183213783508718
synthetic,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.5147068458840385,0.02053613140640493,0.979463868593595,0.5147068458840385,0.02053613140640493
