dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside
spair_synthetic_70_30,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.2742256026629806,0.019911563418490687,0.9800884365815093
spair_synthetic_70_30,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.2961302348076347,0.007918043875705286,0.9920819561242947
spair_synthetic_70_30,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.19464777250897308,0.03047827236415319,0.9695217276358468
spair_synthetic_70_30,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.16158741967892126,0.13198208059210187,0.8680179194078981
spair_synthetic_70_30,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.27715501407755117,0.029480079831426847,0.9705199201685731
spair_synthetic_70_30,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.1841945418237104,0.25851878047381693,0.7414812195261831
spair_synthetic_70_30,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.19077339806906718,0.1645650664115198,0.8354349335884802
spair_synthetic_70_30,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.05597708070987236,0.1135503538443651,0.8864496461556349
spair_synthetic_70_30,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.14445048350407144,0.09536045705387067,0.9046395429461294
spair_synthetic_50_50,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.3583733105607115,0.023546135827528535,0.9764538641724715
spair_synthetic_50_50,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.35964444443606414,0.0075343641637150936,0.9924656358362849
spair_synthetic_50_50,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.31186486603666663,0.03925895291638824,0.9607410470836117
spair_synthetic_50_50,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.254803049753259,0.1307937411820289,0.8692062588179711
spair_synthetic_50_50,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.36184189334640104,0.035504011525595125,0.9644959884744049
spair_synthetic_50_50,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.25696510232777514,0.25735228871141136,0.7426477112885886
spair_synthetic_50_50,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.2887271694037664,0.16349565733613536,0.8365043426638646
spair_synthetic_50_50,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.11261295842019234,0.1194424129943029,0.8805575870056971
spair_synthetic_50_50,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.23076256333070255,0.09533068423663729,0.9046693157633627
spair,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.11164389808326565,0.008992338555368871,0.9910076614446311
spair,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.05985881815527258,0.0018224568699184297,0.9981775431300816
spair,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.04675323249926931,0.009866631584044017,0.990133368415956
spair,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.05901589654048942,0.07679011678746606,0.9232098832125339
spair,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.09770735635926313,0.013012994204690815,0.9869870057953092
spair,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.0434540871647352,0.12945123390313623,0.8705487660968638
spair,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.08746883633507463,0.10769247750341582,0.8923075224965842
spair,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.058115331077323674,0.1545354760332826,0.8454645239667173
spair,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.08165361186880803,0.08589184066211397,0.914108159337886
pointodyssey,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.039061720925985394,0.10268148436372733,0.8973185156362726
pointodyssey,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.09559769850839704,0.14730774826650345,0.8526922517334965
pointodyssey,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.01640671057541398,0.22927905864845727,0.7707209413515428
pointodyssey,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.0033581181410623964,0.22711475112463822,0.7728852488753618
pointodyssey,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.0435035504011905,0.12741498164456927,0.8725850183554307
pointodyssey,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.010053296932050197,0.5088436144750872,0.4911563855249128
pointodyssey,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.0035377141427533655,0.27217284173144773,0.7278271582685523
pointodyssey,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.0006379930779751116,0.1271820081967209,0.8728179918032791
pointodyssey,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.003258420112872361,0.15724606437926597,0.8427539356207341
flyingthings,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.3861813311907514,0.03787719957653459,0.9621228004234654
flyingthings,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.40821553999407034,0.01608808594308474,0.9839119140569152
flyingthings,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.2939051270163976,0.06509054533850193,0.9349094546614981
flyingthings,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.24264278032587078,0.16238122991347065,0.8376187700865294
flyingthings,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.4061777735434162,0.062277533608699816,0.9377224663913002
flyingthings,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.2922647872483768,0.3599964011268182,0.6400035988731818
flyingthings,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.2824930841835783,0.1899262150412935,0.8100737849587065
flyingthings,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.07241743541234077,0.11414317314361418,0.8858568268563858
flyingthings,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.18920094189643627,0.09290600954962061,0.9070939904503794
synthetic_small_zoom,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.3784063959500428,0.13446063993734345,0.8655393600626565
synthetic_small_zoom,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.36692773391441613,0.05557639452783267,0.9444236054721673
synthetic_small_zoom,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.20080142019282626,0.1380347683928066,0.8619652316071934
synthetic_small_zoom,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.08598066404529359,0.2055213653880527,0.7944786346119472
synthetic_small_zoom,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.4316722180317747,0.18543290964579778,0.8145670903542022
synthetic_small_zoom,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.14130861771935394,0.44609347201491056,0.5539065279850894
synthetic_small_zoom,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.10217885735558188,0.2498118804717358,0.7501881195282643
synthetic_small_zoom,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.018783541945354497,0.13608167041102393,0.8639183295889761
synthetic_small_zoom,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.05118308453990632,0.11819844013381778,0.8818015598661822
synthetic_large_zoom,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.4351809257627209,0.09445501218809499,0.9055449878119051
synthetic_large_zoom,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.3876361061318196,0.03391076613892578,0.9660892338610743
synthetic_large_zoom,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.25760874781331744,0.09417153482828793,0.9058284651717121
synthetic_large_zoom,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.14224646281896092,0.1890219782953273,0.8109780217046727
synthetic_large_zoom,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.44460882593478024,0.12653572279913258,0.8734642772008674
synthetic_large_zoom,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.19165938266666147,0.3834709257501919,0.6165290742498081
synthetic_large_zoom,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.1706890014809945,0.23730712353378713,0.7626928764662129
synthetic_large_zoom,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.035316549035008055,0.1313973584150656,0.8686026415849344
synthetic_large_zoom,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.10392952121893524,0.11747469945382359,0.8825253005461764
synthetic,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.424054477343381,0.021049694701350815,0.9789503052986492
synthetic,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.3791478679198268,0.0065476065409997425,0.9934523934590003
synthetic,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.3623232658377352,0.03741508057885187,0.9625849194211481
synthetic,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.3084570447393952,0.13636063886612623,0.8636393611338737
synthetic,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.42349010747254373,0.03220106708251028,0.9677989329174898
synthetic,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.30541512260719766,0.2655283388264625,0.7344716611735376
synthetic,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.3495591863573936,0.17762807248006965,0.8223719275199304
synthetic,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.130659196507588,0.12002022657810037,0.8799797734218996
synthetic,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.28864869034425006,0.09987977981380612,0.9001202201861939
synthetic_random_flipping,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.4563982533077474,0.014922755557819231,0.9850772444421808
synthetic_random_flipping,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.45407137359387606,0.0044145800020472525,0.9955854199979528
synthetic_random_flipping,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.4056276733771084,0.02481031586604296,0.975189684133957
synthetic_random_flipping,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.3340367906415601,0.0914475567179684,0.9085524432820316
synthetic_random_flipping,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.46555551226260744,0.02404321136904276,0.9759567886309573
synthetic_random_flipping,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.3419614527093241,0.17364218424166206,0.826357815758338
synthetic_random_flipping,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.37226878325850576,0.11749350361138636,0.8825064963886137
synthetic_random_flipping,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.22900209115480769,0.12275811249039645,0.8772418875096035
synthetic_random_flipping,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.30884632925122624,0.07110232739983043,0.9288976726001695
sintel,train,kitti,val,flow,5,,1.0,gaussian,100.0,20.0,0.27130575660449474,0.15452879164688194,0.8454712083531181
sintel,train,pointodyssey,val,flow,5,,1.0,gaussian,100.0,20.0,0.3588826914772057,0.1336452884702793,0.8663547115297208
sintel,train,middlebury,val,flow,5,,1.0,gaussian,100.0,20.0,0.11984491270223879,0.16684411733910104,0.8331558826608989
sintel,train,pfpascal,val,flow,5,,1.0,gaussian,100.0,20.0,0.05503091183244263,0.20249251950306188,0.7975074804969381
sintel,train,kitti2012,val,flow,5,,1.0,gaussian,100.0,20.0,0.3551050345401612,0.20149055109055272,0.7985094489094473
sintel,train,flyingthings,val,flow,5,,1.0,gaussian,100.0,20.0,0.10989059759040178,0.4852367801604809,0.5147632198395191
sintel,train,tss,val,flow,5,,1.0,gaussian,100.0,20.0,0.06828503304385677,0.24723648026077236,0.7527635197392276
sintel,train,spair,val,flow,5,,1.0,gaussian,100.0,20.0,0.01162186475376507,0.12945127419485128,0.8705487258051487
sintel,train,pfwillow,val,flow,5,,1.0,gaussian,100.0,20.0,0.03413554403548297,0.11160669244543285,0.8883933075545671
