space,train_dataset,train_split,eval_dataset,eval_split,train_n_vectors,eval_n_vectors,train_radius,eval_radius,eval_covered_by_train_qnorm_k1,train_covered_by_eval_qnorm_k1,train_outside_eval_qnorm_k1,eval_covered_by_train_rnorm_k1,train_covered_by_eval_rnorm_k1,train_outside_eval_rnorm_k1,eval_covered_by_train_qnorm_k5,train_covered_by_eval_qnorm_k5,train_outside_eval_qnorm_k5,eval_covered_by_train_rnorm_k5,train_covered_by_eval_rnorm_k5,train_outside_eval_rnorm_k5,mean_nn_eval_to_train_k1,median_nn_eval_to_train_k1,p90_nn_eval_to_train_k1,p95_nn_eval_to_train_k1,mean_nn_train_to_eval_k1,median_nn_train_to_eval_k1,p90_nn_train_to_eval_k1,p95_nn_train_to_eval_k1,mean_nn_eval_to_train_k5,median_nn_eval_to_train_k5,p90_nn_eval_to_train_k5,p95_nn_eval_to_train_k5,mean_nn_train_to_eval_k5,median_nn_train_to_eval_k5,p90_nn_train_to_eval_k5,p95_nn_train_to_eval_k5
xy,flyingthings,train,flyingthings,test,11962368,14319616,10000000000.0,10000000000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.2483874484446886e-10,0.0,0.0,0.0,3.6481184739756145e-10,0.0,0.0,0.0,2.2483874484446886e-10,0.0,0.0,0.0,3.6481184739756145e-10,0.0,0.0,0.0
xy,flyingthings,train,kitti2015,val,11962368,408402,10000000000.0,6.103515625e-05,1.0,1.0,0.0,1.0,0.6153266644196199,0.3846733355803801,1.0,1.0,0.0,1.0,0.4900087507757661,0.5099912492242339,0.0,0.0,0.0,0.0,0.049223799258470535,1.52587890625e-05,0.208892822265625,0.314971923828125,0.0,0.0,0.0,0.0,0.05457329377532005,7.62939453125e-05,0.2311553955078125,0.339996337890625
xy,flyingthings,train,kitti2012,val,11962368,397312,10000000000.0,6.103515625e-05,1.0,1.0,0.0,1.0,0.6568436115658706,0.34315638843412943,1.0,1.0,0.0,1.0,0.5468130557428095,0.4531869442571905,7.681010688598278e-11,0.0,0.0,0.0,0.03139204531908035,1.52587890625e-05,0.1349639892578125,0.2149200439453125,7.681010688598278e-11,0.0,0.0,0.0,0.03741073235869408,6.103515625e-05,0.162384033203125,0.250244140625
xy,flyingthings,train,spair,test,11962368,88328,10000000000.0,0.0013580322265625,1.0,1.0,0.0,1.0,0.9187719354562575,0.08122806454374254,1.0,1.0,0.0,1.0,0.9182110097265023,0.08178899027349773,0.0,0.0,0.0,0.0,0.0005098881083540618,0.0001983642578125,0.001220703125,0.001953125,0.0,0.0,0.0,0.0,0.0005119792767800391,0.0001983642578125,0.001220703125,0.001983642578125
xy,flyingthings,train,pfpascal,test,11962368,2414,10000000000.0,0.0068511962890625,1.0,1.0,0.0,1.0,0.9896670124176082,0.010332987582391762,1.0,1.0,0.0,1.0,0.8374455626177024,0.16255443738229758,0.0,0.0,0.0,0.0,0.0008392913732677698,0.000396728515625,0.001953125,0.00323486328125,0.0,0.0,0.0,0.0,0.004399286583065987,0.002593994140625,0.009765625,0.0144805908203125
xy,flyingthings,train,pfwillow,test,11962368,9000,10000000000.0,0.005395507812499867,1.0,1.0,0.0,1.0,0.7205397794149119,0.2794602205850881,1.0,1.0,0.0,1.0,0.7205397794149119,0.2794602205850881,0.0,0.0,0.0,0.0,0.00740863336250186,0.0019073486328125,0.0185089111328125,0.03082275390625,0.0,0.0,0.0,0.0,0.00740863336250186,0.0019073486328125,0.0185089111328125,0.03082275390625
xy,flyingthings,train,tss,val,11962368,819200,10000000000.0,3.0517578125e-05,1.0,1.0,0.0,1.0,0.8296692594643469,0.1703307405356531,1.0,1.0,0.0,1.0,0.6580444607622838,0.34195553923771616,2.421438605182402e-10,0.0,0.0,0.0,0.00015574926510453224,0.0,0.000152587890625,0.0006103515625,2.421438605182402e-10,0.0,0.0,0.0,0.0004362400795798749,1.52587890625e-05,0.0009918212890625,0.00250244140625
xy,imagenet2dwarp,train,flyingthings,test,10240000,14319616,10000000000.0,10000000000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0033025238674895e-10,0.0,0.0,0.0,2.861023085110048e-10,0.0,0.0,0.0,2.0033025238674895e-10,0.0,0.0,0.0,2.861023085110048e-10,0.0,0.0,0.0
xy,imagenet2dwarp,train,kitti2015,val,10240000,408402,10000000000.0,6.103515625e-05,1.0,1.0,0.0,1.0,0.6348732421875,0.36512675781250004,1.0,1.0,0.0,1.0,0.523035546875,0.476964453125,0.0,0.0,0.0,0.0,0.04284411668777466,1.52587890625e-05,0.1768951416015625,0.2873687744140625,0.0,0.0,0.0,0.0,0.04732733964920044,6.103515625e-05,0.19561767578125,0.3106689453125
xy,imagenet2dwarp,train,kitti2012,val,10240000,397312,10000000000.0,6.103515625e-05,1.0,1.0,0.0,1.0,0.67637568359375,0.32362431640625,1.0,1.0,0.0,1.0,0.5783978515625,0.4216021484375,0.0,0.0,0.0,0.0,0.02677653729915619,1.52587890625e-05,0.1081085205078125,0.1949462890625,0.0,0.0,0.0,0.0,0.03191283717751503,3.0517578125e-05,0.131988525390625,0.2271270751953125
