space,train_dataset,train_split,eval_dataset,eval_split,direction,epsilon_px,epsilon_norm,epsilon_sq,coverage
joint,flyingthings,train,flyingthings,test,eval_to_train,1.0,,1.0,0.08464305188072083
joint,flyingthings,train,flyingthings,test,train_to_eval,1.0,,1.0,0.09872075495420304
joint,flyingthings,train,flyingthings,test,eval_to_train,2.0,,4.0,0.5350348780302489
joint,flyingthings,train,flyingthings,test,train_to_eval,2.0,,4.0,0.558311866011813
joint,flyingthings,train,flyingthings,test,eval_to_train,4.0,,16.0,0.8303085781071224
joint,flyingthings,train,flyingthings,test,train_to_eval,4.0,,16.0,0.8389431757993067
joint,flyingthings,train,flyingthings,test,eval_to_train,8.0,,64.0,0.9561845792512872
joint,flyingthings,train,flyingthings,test,train_to_eval,8.0,,64.0,0.9603766578657336
joint,flyingthings,train,flyingthings,test,eval_to_train,16.0,,256.0,0.9883997587644808
joint,flyingthings,train,flyingthings,test,train_to_eval,16.0,,256.0,0.9891844992563346
joint,flyingthings,train,flyingthings,test,eval_to_train,32.0,,1024.0,0.9960918644745781
joint,flyingthings,train,flyingthings,test,train_to_eval,32.0,,1024.0,0.9962119540211436
joint,flyingthings,train,flyingthings,test,eval_to_train,64.0,,4096.0,0.998475936784897
joint,flyingthings,train,flyingthings,test,train_to_eval,64.0,,4096.0,0.9985846447793614
joint,flyingthings,train,spair,test,eval_to_train,1.0,,1.0,0.001562358482021556
joint,flyingthings,train,spair,test,train_to_eval,1.0,,1.0,1.312449173942818e-05
joint,flyingthings,train,spair,test,eval_to_train,2.0,,4.0,0.02100126800108686
joint,flyingthings,train,spair,test,train_to_eval,2.0,,4.0,0.0003032008378274268
joint,flyingthings,train,spair,test,eval_to_train,4.0,,16.0,0.12060728194909881
joint,flyingthings,train,spair,test,train_to_eval,4.0,,16.0,0.004815852513482281
joint,flyingthings,train,spair,test,eval_to_train,8.0,,64.0,0.3528665881713613
joint,flyingthings,train,spair,test,train_to_eval,8.0,,64.0,0.06841245813537922
joint,flyingthings,train,spair,test,eval_to_train,16.0,,256.0,0.6015872656462277
joint,flyingthings,train,spair,test,train_to_eval,16.0,,256.0,0.5112048049349427
joint,flyingthings,train,spair,test,eval_to_train,32.0,,1024.0,0.7958065392627479
joint,flyingthings,train,spair,test,train_to_eval,32.0,,1024.0,0.9137483481531415
joint,flyingthings,train,spair,test,eval_to_train,64.0,,4096.0,0.9249048999184857
joint,flyingthings,train,spair,test,train_to_eval,64.0,,4096.0,0.9920347710419877
joint,flyingthings,train,tss,val,eval_to_train,1.0,,1.0,0.011435546875
joint,flyingthings,train,tss,val,train_to_eval,1.0,,1.0,0.0008430605044084917
joint,flyingthings,train,tss,val,eval_to_train,2.0,,4.0,0.132095947265625
joint,flyingthings,train,tss,val,train_to_eval,2.0,,4.0,0.017390703914141416
joint,flyingthings,train,tss,val,eval_to_train,4.0,,16.0,0.482099609375
joint,flyingthings,train,tss,val,train_to_eval,4.0,,16.0,0.16754416851245507
joint,flyingthings,train,tss,val,eval_to_train,8.0,,64.0,0.819720458984375
joint,flyingthings,train,tss,val,train_to_eval,8.0,,64.0,0.5043994633838383
joint,flyingthings,train,tss,val,eval_to_train,16.0,,256.0,0.912744140625
joint,flyingthings,train,tss,val,train_to_eval,16.0,,256.0,0.7266350608842664
joint,flyingthings,train,tss,val,eval_to_train,32.0,,1024.0,0.9459326171875
joint,flyingthings,train,tss,val,train_to_eval,32.0,,1024.0,0.902782375529661
joint,flyingthings,train,tss,val,eval_to_train,64.0,,4096.0,0.974935302734375
joint,flyingthings,train,tss,val,train_to_eval,64.0,,4096.0,0.9822361258239172
joint,flyingthings,train,kitti2015,val,eval_to_train,1.0,,1.0,0.1402760025660991
joint,flyingthings,train,kitti2015,val,train_to_eval,1.0,,1.0,0.004592150985490498
joint,flyingthings,train,kitti2015,val,eval_to_train,2.0,,4.0,0.5548968908085661
joint,flyingthings,train,kitti2015,val,train_to_eval,2.0,,4.0,0.0325015080626177
joint,flyingthings,train,kitti2015,val,eval_to_train,4.0,,16.0,0.8701059250444415
joint,flyingthings,train,kitti2015,val,train_to_eval,4.0,,16.0,0.11388363909219312
joint,flyingthings,train,kitti2015,val,eval_to_train,8.0,,64.0,0.994008354513445
joint,flyingthings,train,kitti2015,val,train_to_eval,8.0,,64.0,0.2658939266874251
joint,flyingthings,train,kitti2015,val,eval_to_train,16.0,,256.0,0.9999045058545257
joint,flyingthings,train,kitti2015,val,train_to_eval,16.0,,256.0,0.4401504785674542
joint,flyingthings,train,kitti2015,val,eval_to_train,32.0,,1024.0,0.9999975514321673
joint,flyingthings,train,kitti2015,val,train_to_eval,32.0,,1024.0,0.5859324842706728
joint,flyingthings,train,kitti2015,val,eval_to_train,64.0,,4096.0,1.0
joint,flyingthings,train,kitti2015,val,train_to_eval,64.0,,4096.0,0.7288056177505993
joint,flyingthings,train,kitti2012,val,eval_to_train,1.0,,1.0,0.1162486912048969
joint,flyingthings,train,kitti2012,val,train_to_eval,1.0,,1.0,0.004067004124935799
joint,flyingthings,train,kitti2012,val,eval_to_train,2.0,,4.0,0.5905182828608248
joint,flyingthings,train,kitti2012,val,train_to_eval,2.0,,4.0,0.034205685697012496
joint,flyingthings,train,kitti2012,val,eval_to_train,4.0,,16.0,0.9398533142719072
joint,flyingthings,train,kitti2012,val,train_to_eval,4.0,,16.0,0.12616289684450435
joint,flyingthings,train,kitti2012,val,eval_to_train,8.0,,64.0,0.999378322326031
joint,flyingthings,train,kitti2012,val,train_to_eval,8.0,,64.0,0.2919136913360298
joint,flyingthings,train,kitti2012,val,eval_to_train,16.0,,256.0,0.9999798646907216
joint,flyingthings,train,kitti2012,val,train_to_eval,16.0,,256.0,0.4640248485918507
