space,train_dataset,train_split,eval_dataset,eval_split,direction,epsilon_px,epsilon_norm,epsilon_sq,coverage
flow,flyingthings,train,flyingthings,test,eval_to_train,0.5,0.001953125,3.814697265625e-06,0.9917668183280892
flow,flyingthings,train,flyingthings,test,train_to_eval,0.5,0.001953125,3.814697265625e-06,0.9923371359249272
flow,flyingthings,train,flyingthings,test,eval_to_train,0.75,0.0029296875,8.58306884765625e-06,0.9946992293648098
flow,flyingthings,train,flyingthings,test,train_to_eval,0.75,0.0029296875,8.58306884765625e-06,0.9949973951645694
flow,flyingthings,train,flyingthings,test,eval_to_train,1.0,0.00390625,1.52587890625e-05,0.9960116947270095
flow,flyingthings,train,flyingthings,test,train_to_eval,1.0,0.00390625,1.52587890625e-05,0.9962984753520373
flow,flyingthings,train,flyingthings,test,eval_to_train,1.5,0.005859375,3.4332275390625e-05,0.9972122855808424
flow,flyingthings,train,flyingthings,test,train_to_eval,1.5,0.005859375,3.4332275390625e-05,0.9975536616161617
flow,flyingthings,train,flyingthings,test,eval_to_train,2.0,0.0078125,6.103515625e-05,0.9977939352563644
flow,flyingthings,train,flyingthings,test,train_to_eval,2.0,0.0078125,6.103515625e-05,0.998160648460238
flow,flyingthings,train,flyingthings,test,eval_to_train,3.0,0.01171875,0.0001373291015625,0.9983628052595824
flow,flyingthings,train,flyingthings,test,train_to_eval,3.0,0.01171875,0.0001373291015625,0.9987796730546995
flow,flyingthings,train,flyingthings,test,eval_to_train,4.0,0.015625,0.000244140625,0.9986186780427632
flow,flyingthings,train,flyingthings,test,train_to_eval,4.0,0.015625,0.000244140625,0.9990740127707156
flow,flyingthings,train,flyingthings,test,eval_to_train,6.0,0.0234375,0.00054931640625,0.9988755285057923
flow,flyingthings,train,flyingthings,test,train_to_eval,6.0,0.0234375,0.00054931640625,0.9993356666506163
flow,flyingthings,train,flyingthings,test,eval_to_train,8.0,0.03125,0.0009765625,0.9990238565056493
flow,flyingthings,train,flyingthings,test,train_to_eval,8.0,0.03125,0.0009765625,0.9994589699965759
