space,train_dataset,train_split,eval_dataset,eval_split,train_n_vectors,eval_n_vectors,distance_metric,flow_normalized,mean_nn_eval_to_train_k1,median_nn_eval_to_train_k1,p90_nn_eval_to_train_k1,p95_nn_eval_to_train_k1,mean_nn_train_to_eval_k1,median_nn_train_to_eval_k1,p90_nn_train_to_eval_k1,p95_nn_train_to_eval_k1,eval_covered_by_train_eps0p5px,train_covered_by_eval_eps0p5px,eval_covered_by_train_eps0p75px,train_covered_by_eval_eps0p75px,eval_covered_by_train_eps1px,train_covered_by_eval_eps1px,eval_covered_by_train_eps1p5px,train_covered_by_eval_eps1p5px,eval_covered_by_train_eps2px,train_covered_by_eval_eps2px,eval_covered_by_train_eps3px,train_covered_by_eval_eps3px,eval_covered_by_train_eps4px,train_covered_by_eval_eps4px,eval_covered_by_train_eps6px,train_covered_by_eval_eps6px,eval_covered_by_train_eps8px,train_covered_by_eval_eps8px,eval_covered_by_train_eps12px,train_covered_by_eval_eps12px,eval_covered_by_train_eps16px,train_covered_by_eval_eps16px,eval_covered_by_train_eps24px,train_covered_by_eval_eps24px,eval_covered_by_train_eps32px,train_covered_by_eval_eps32px,eval_covered_by_train_eps48px,train_covered_by_eval_eps48px,eval_covered_by_train_eps64px,train_covered_by_eval_eps64px
flow,flyingthings,train,flyingthings,test,11962368,14319616,sqL2,True,5.473157580127008e-05,1.0218954571428185e-09,5.3894352092243025e-08,1.838619709815248e-07,3.775605000555515e-05,8.612168755917082e-10,4.708958556420839e-08,1.5331996721101863e-07,0.9917668183280892,0.9923371359249272,0.9946992293648098,0.9949973951645694,0.9960116947270095,0.9962984753520373,0.9972122855808424,0.9975536616161617,0.9977939352563644,0.998160648460238,0.9983628052595824,0.9987796730546995,0.9986186780427632,0.9990740127707156,0.9988755285057923,0.9993356666506163,0.9990238565056493,0.9994589699965759,0.9991920174395738,0.9995867874989299,0.9993015175825944,0.9996509052388289,0.999440348121067,0.9997168620794813,0.9995362305804848,0.9997600809471837,0.9996823937178204,0.9998347317186698,0.9997800918683853,0.999885474180363
flow,flyingthings,train,kitti2015,val,11962368,408402,sqL2,True,1.2743860189345924e-08,7.257228151758e-10,2.3239515378747923e-08,5.082302045877893e-08,0.00687691755592823,7.785590128150943e-08,0.0008305299328640113,0.006381351524032655,0.9998996087188603,0.7544511253959082,0.9999877571608367,0.7783692158609399,0.9999951028643347,0.7921213425301746,1.0,0.8102817101095703,1.0,0.8239078583772043,1.0,0.845490040099084,1.0,0.862317979182717,1.0,0.8876558554292929,1.0,0.904796107259031,1.0,0.9271528011845146,1.0,0.9402054843990755,1.0,0.9560538515451121,1.0,0.9663884274417908,1.0,0.9785867647609571,1.0,0.9854249593391543
flow,flyingthings,train,kitti2012,val,11962368,397312,sqL2,True,4.164751210566919e-09,5.954366999461058e-10,8.754494018603512e-09,1.7507045502185258e-08,0.00908330176025629,1.0713962694808288e-07,0.0044346961658448,0.01867283843457708,0.9999924492590206,0.6507332829085345,0.9999974830863402,0.6744625311643982,1.0,0.6910161934493237,1.0,0.7143146741514723,1.0,0.7315972055031245,1.0,0.757751140911231,1.0,0.7781769462367317,1.0,0.810881507741611,1.0,0.8352030300355248,1.0,0.8705541411198853,1.0,0.8947359753520373,1.0,0.9258796418903014,1.0,0.9446519284476117,1.0,0.9665612193171118,1.0,0.9783836277232066
flow,flyingthings,train,spair,test,11962368,88328,sqL2,True,0.0005049440660513937,8.623694611742394e-07,9.281525999540467e-05,0.0003882880526361986,0.0002611155796330422,3.50363552570343e-06,1.2442692241165798e-05,1.650676131248474e-05,0.6657684992301423,0.5309511461275894,0.7439543519608731,0.8077299578143725,0.7911647495697853,0.938026233601909,0.8464133683543157,0.9932982332595018,0.8798229327053709,0.996677413702705,0.9165609999094285,0.9981446817218799,0.9371999818856988,0.9986181665703646,0.9582352142016122,0.9990103130082606,0.9692736165202427,0.9991886221858415,0.9799723756906077,0.9993472864235576,0.9855198804456118,0.9994176738251156,0.9917127071823204,0.9994669115680106,0.9940562449053528,0.9994863893168978,0.9967620686532017,0.99952893942069,0.9980527126166108,0.9995821897470467
flow,flyingthings,train,pfpascal,test,11962368,2414,sqL2,True,7.187267101471662e-07,4.012028398392431e-08,8.873809690612707e-07,2.378979775130573e-06,0.002041412517428398,2.776971086859703e-05,0.00012233667075634003,0.00020873546600341797,0.9685169842584921,0.09404442331150488,0.9871582435791217,0.19824427738721964,0.9933719966859983,0.3237626530131827,0.9983429991714996,0.5704003588587142,0.9991714995857498,0.7514633390312019,0.9991714995857498,0.9152590858264852,1.0,0.9572753488272556,1.0,0.9780917958718541,1.0,0.9850909117659647,1.0,0.9904530607986646,1.0,0.9928245812200394,1.0,0.9949778338201934,1.0,0.9959377608179251,1.0,0.9969189210698083,1.0,0.9975375276868259
flow,flyingthings,train,pfwillow,test,11962368,9000,sqL2,True,3.062268433495774e-06,4.2127474841890944e-08,1.3374320815273677e-06,4.473692638384755e-06,0.0020432567689567804,6.671762093901634e-06,3.5200268030166626e-05,6.614625453948975e-05,0.9446666666666667,0.3390556953272128,0.9658888888888889,0.5787512974019859,0.977,0.7475976328432632,0.9847777777777778,0.8972612278772899,0.9921111111111112,0.945568552982152,0.996,0.9748031493430064,0.9978888888888889,0.9835286792715289,0.9993333333333333,0.9896558106221109,0.9995555555555555,0.9920300060991268,1.0,0.994199643415083,1.0,0.9952450885978429,1.0,0.9963593328678737,1.0,0.996892839277307,1.0,0.9975165452191406,1.0,0.9978671446991098
flow,flyingthings,train,pointodyssey,test,11962368,16000000,sqL2,True,1.4348932708685425e-08,1.8604995322135665e-10,3.5065457204552786e-09,1.3064055615075176e-08,0.00270734541118145,1.1368310737225329e-08,2.495777209787779e-07,1.0370443135343532e-06,0.9994386875,0.9732377402199965,0.9997945625,0.9807815643190378,0.999912,0.9841668472329225,0.9999795625,0.9872294515600925,0.999993625,0.9887242224950779,0.9999995625,0.9903107812767505,1.0,0.9911572691961993,1.0,0.9921489624796695,1.0,0.9927052904575415,1.0,0.9934312336821606,1.0,0.9939808740209296,1.0,0.994838062162943,1.0,0.9955068260732324,1.0,0.9964675890258518,1.0,0.9970981497977658
flow,flyingthings,train,tss,val,11962368,819200,sqL2,True,3.3584205084480345e-05,2.055537251521855e-08,1.1263840747233187e-06,1.9387536394788008e-05,0.002150590531527996,5.505694389285054e-08,3.7439554603224687e-07,1.044595137500437e-06,0.92497314453125,0.9744517975036381,0.93764404296875,0.9816942598656052,0.94636962890625,0.9850267940260657,0.958505859375,0.9881809354134566,0.96689208984375,0.9896904191544684,0.976990966796875,0.9910611343840952,0.98264892578125,0.9916542443770331,0.989085693359375,0.9922944186301575,0.992796630859375,0.9927153219161958,0.99611572265625,0.9933885163873909,0.99787353515625,0.9939397450404468,0.99948486328125,0.9947938401493751,0.9999267578125,0.9954427919288221,1.0,0.9964673382393854,1.0,0.9971353497902756
flow,flyingthings,train,middlebury,val,11962368,98304,sqL2,True,1.8894811049108284e-08,4.396799813122243e-09,3.932553696017745e-08,7.714568361905086e-08,0.029893500730395317,0.003400552086532116,0.055914163216948656,0.11415086649358273,1.0,0.0054103000342407125,1.0,0.008346257195899674,1.0,0.011475737914098613,1.0,0.01833399540960452,1.0,0.026084634747902756,1.0,0.044150372233992465,1.0,0.06769997378445472,1.0,0.1363290278312789,1.0,0.22886605728899162,1.0,0.40319023791944875,1.0,0.5303501781587057,1.0,0.6832028574944359,1.0,0.7678529033716401,1.0,0.8588530297680191,1.0,0.9088087743162557
flow,imagenet2dwarp,train,flyingthings,test,10240000,14319616,sqL2,True,0.0016697427490726113,1.0449419107771973e-08,3.957373628793448e-08,5.861337015744539e-08,4.3479545297486766e-07,5.500028876781471e-08,8.359460707652032e-07,1.7260784318295882e-06,0.9933336899536971,0.980695703125,0.9939700198664545,0.99411728515625,0.9943290378736414,0.9976791015625,0.9947109615229905,0.9994197265625,0.9949244449013158,0.99978349609375,0.9951799685131222,0.999953515625,0.9953370257973398,0.9999912109375,0.9955428972397025,0.99999736328125,0.9957089631453805,0.99999931640625,0.9959908841130936,1.0,0.996214004621353,1.0,0.9966007468356693,1.0,0.9969578793174342,1.0,0.9974749322886871,1.0,0.9978267573655606,1.0
