train_dataset,train_split,eval_dataset,eval_split,eval_to_train_auc_weighted,train_to_eval_auc_weighted,eval_to_train_eps_at90_weighted,train_to_eval_eps_at90_weighted,eval_to_train_eps_at95_weighted,train_to_eval_eps_at95_weighted
flyingthings,train,flyingthings,test,62.86878962047586,62.88177118234451,1.8294150590870806,1.8076859087856398,3.240354296876627,2.968171744852312
flyingthings,train,kitti2012,val,63.432177986066364,57.40508037371865,0.6971356905898537,20.93841183095471,0.9361171299449023,40.92748968085172
flyingthings,train,kitti2015,val,63.3036086380576,59.71547016234578,1.1610193826274233,10.083689999631183,1.6520670341394017,24.328870658286466
flyingthings,train,middlebury,val,63.17143249511719,41.63921001050963,1.443088508355684,61.17257773103116,2.2777834787070272,
flyingthings,train,pfpascal,test,61.10599627174813,62.0638228568123,6.796428571428573,2.907531532640127,10.197938144329893,3.801003911342892
flyingthings,train,pfwillow,test,60.305513888888896,62.870528926630584,8.163265306122447,1.5268143618346413,13.58288770053474,2.189936994431115
flyingthings,train,pointodyssey,test,63.4050139609375,62.13379773553196,0.5,3.448245722327844,0.8181791887699565,6.525494350282486
flyingthings,train,spair,test,50.27208529571597,62.581607420871855,39.31944091486659,2.1961579802468356,54.295556429414056,2.6454214616800775
flyingthings,train,tss,val,59.819130249023445,62.87163855224985,7.322467432038547,1.1416580132410075,22.848210865067806,1.8546068241684206
flyingthings_synthetic_30_70,train,flyingthings,test,63.15734804795045,60.796190335937496,1.259792083230756,7.509927720923749,1.8152126337728944,12.78267945651368
flyingthings_synthetic_30_70,train,kitti2012,val,63.424657133436696,45.4457391484375,0.7714780307424594,,0.951524434454756,
flyingthings_synthetic_30_70,train,kitti2015,val,63.361034899437314,50.0653119765625,0.9769902813560186,60.43538317533038,1.2992825862498667,
flyingthings_synthetic_30_70,train,middlebury,val,63.264138539632164,24.4654146796875,1.2793999872878663,,1.4356066865823427,
flyingthings_synthetic_30_70,train,pfpascal,test,62.47084714167357,59.7477410234375,2.903649635036496,7.27002939360561,3.889622641509434,14.507925290677115
flyingthings_synthetic_30_70,train,pfwillow,test,62.090152777777774,61.290797890624994,3.5317286652078774,3.9357439614630216,5.49367088607595,7.763288160686148
flyingthings_synthetic_30_70,train,pointodyssey,test,63.4425124296875,57.45705178125,0.586205999408657,15.85571659499401,0.8292502740574799,30.303552239722425
flyingthings_synthetic_30_70,train,spair,test,57.03463935558373,62.278026039062496,16.779864682002717,2.7926306353312094,28.549316508937927,3.3758946576093516
flyingthings_synthetic_30_70,train,tss,val,61.280472412109376,60.58981828906249,3.1412697459306886,5.402049819418751,10.533367165693969,13.33803775095043
flyingthings_synthetic_70_30,train,flyingthings,test,63.07010312811461,62.017448851562506,1.4201386618032221,3.9199666590606093,2.3147082046893366,7.511671470248943
flyingthings_synthetic_70_30,train,kitti2012,val,63.4360433362194,52.447318203125,0.7164166666666668,46.21155502004838,0.9334864300626308,
flyingthings_synthetic_70_30,train,kitti2015,val,63.34971670070176,55.6896406015625,1.014679333044267,30.766679517351303,1.4171409988568722,62.00700360302793
