space,train_dataset,train_split,eval_dataset,eval_split,epsilon_px,epsilon_norm,epsilon_sq,eval_covered_by_train_weighted,train_covered_by_eval_weighted,train_kmeans_k,eval_kmeans_k
flow,flyingthings,train,flyingthings,test,0.5,0.001953125,3.814697265625e-06,0.6965759417012299,0.6931279826870399,8192,8192
flow,flyingthings,train,flyingthings,test,0.75,0.0029296875,8.58306884765625e-06,0.7738822744967463,0.772155646774953,8192,8192
flow,flyingthings,train,flyingthings,test,1.0,0.00390625,1.52587890625e-05,0.8228874293835813,0.8193052579556155,8192,8192
flow,flyingthings,train,flyingthings,test,1.5,0.005859375,3.4332275390625e-05,0.8804477717838244,0.8797782345435285,8192,8192
flow,flyingthings,train,flyingthings,test,2.0,0.0078125,6.103515625e-05,0.9101249642448512,0.9126392868034156,8192,8192
flow,flyingthings,train,flyingthings,test,3.0,0.01171875,0.0001373291015625,0.9459958283797555,0.9512282183594418,8192,8192
flow,flyingthings,train,flyingthings,test,4.0,0.015625,0.000244140625,0.9626552834936356,0.9667246484976888,8192,8192
flow,flyingthings,train,flyingthings,test,6.0,0.0234375,0.00054931640625,0.9787606036362986,0.9800051294191919,8192,8192
flow,flyingthings,train,flyingthings,test,8.0,0.03125,0.0009765625,0.9841195462224686,0.9852461485886407,8192,8192
flow,flyingthings,train,flyingthings,test,12.0,0.046875,0.002197265625,0.9917397226294337,0.9915595306882383,8192,8192
flow,flyingthings,train,flyingthings,test,16.0,0.0625,0.00390625,0.9949282159521596,0.9948159093584147,8192,8192
flow,flyingthings,train,flyingthings,test,24.0,0.09375,0.0087890625,0.9968790364210884,0.9968152626637135,8192,8192
flow,flyingthings,train,flyingthings,test,32.0,0.125,0.015625,0.9978978486573942,0.997681729904982,8192,8192
flow,flyingthings,train,flyingthings,test,48.0,0.1875,0.03515625,0.998647449764016,0.9986722528516093,8192,8192
flow,flyingthings,train,flyingthings,test,64.0,0.25,0.0625,0.9990367758465032,0.9991033547872796,8192,8192
flow,flyingthings,train,kitti2015,val,0.5,0.001953125,3.814697265625e-06,0.7310346178520184,0.5765937814319038,8192,8192
flow,flyingthings,train,kitti2015,val,0.75,0.0029296875,8.58306884765625e-06,0.8213720794707176,0.6485429975068482,8192,8192
flow,flyingthings,train,kitti2015,val,1.0,0.00390625,1.52587890625e-05,0.8802283044647186,0.6881189409989728,8192,8192
flow,flyingthings,train,kitti2015,val,1.5,0.005859375,3.4332275390625e-05,0.9416236943012032,0.7355214285332135,8192,8192
flow,flyingthings,train,kitti2015,val,2.0,0.0078125,6.103515625e-05,0.9691651852831279,0.7640589221130799,8192,8192
flow,flyingthings,train,kitti2015,val,3.0,0.01171875,0.0001373291015625,0.98916998447608,0.8021254654596816,8192,8192
flow,flyingthings,train,kitti2015,val,4.0,0.015625,0.000244140625,0.9952277412941171,0.8278045784914826,8192,8192
flow,flyingthings,train,kitti2015,val,6.0,0.0234375,0.00054931640625,0.9990621985200856,0.8613689195985277,8192,8192
flow,flyingthings,train,kitti2015,val,8.0,0.03125,0.0009765625,0.9996596490712583,0.8846507647984078,8192,8192
flow,flyingthings,train,kitti2015,val,12.0,0.046875,0.002197265625,1.0,0.9141162518992895,8192,8192
flow,flyingthings,train,kitti2015,val,16.0,0.0625,0.00390625,1.0,0.9303193147042459,8192,8192
flow,flyingthings,train,kitti2015,val,24.0,0.09375,0.0087890625,1.0,0.9494805710708782,8192,8192
flow,flyingthings,train,kitti2015,val,32.0,0.125,0.015625,1.0,0.9621160292009073,8192,8192
flow,flyingthings,train,kitti2015,val,48.0,0.1875,0.03515625,1.0,0.9757486143211779,8192,8192
flow,flyingthings,train,kitti2015,val,64.0,0.25,0.0625,1.0,0.9837865713544341,8192,8192
flow,flyingthings,train,kitti2012,val,0.5,0.001953125,3.814697265625e-06,0.8264134987113402,0.5217403443866633,8192,8192
flow,flyingthings,train,kitti2012,val,0.75,0.0029296875,8.58306884765625e-06,0.9197331064755154,0.573879435911017,8192,8192
flow,flyingthings,train,kitti2012,val,1.0,0.00390625,1.52587890625e-05,0.9603888128221649,0.6016571300933059,8192,8192
flow,flyingthings,train,kitti2012,val,1.5,0.005859375,3.4332275390625e-05,0.9880673123389175,0.6367327104466273,8192,8192
flow,flyingthings,train,kitti2012,val,2.0,0.0078125,6.103515625e-05,0.9957967541881443,0.6654612197183701,8192,8192
flow,flyingthings,train,kitti2012,val,3.0,0.01171875,0.0001373291015625,0.9984797841494846,0.7037642547027478,8192,8192
flow,flyingthings,train,kitti2012,val,4.0,0.015625,0.000244140625,0.9996728012242269,0.7320159353064544,8192,8192
flow,flyingthings,train,kitti2012,val,6.0,0.0234375,0.00054931640625,0.9999748308634021,0.7752602996329824,8192,8192
flow,flyingthings,train,kitti2012,val,8.0,0.03125,0.0009765625,0.9999924492590206,0.8063949378584575,8192,8192
flow,flyingthings,train,kitti2012,val,12.0,0.046875,0.002197265625,1.0,0.848974467262669,8192,8192
flow,flyingthings,train,kitti2012,val,16.0,0.0625,0.00390625,1.0,0.8776399455358671,8192,8192
flow,flyingthings,train,kitti2012,val,24.0,0.09375,0.0087890625,1.0,0.9138622052088683,8192,8192
flow,flyingthings,train,kitti2012,val,32.0,0.125,0.015625,1.0,0.9359198780709639,8192,8192
flow,flyingthings,train,kitti2012,val,48.0,0.1875,0.03515625,1.0,0.9611545138888888,8192,8192
flow,flyingthings,train,kitti2012,val,64.0,0.25,0.0625,1.0,0.9749587205476374,8192,8192
flow,flyingthings,train,spair,test,0.5,0.001953125,3.814697265625e-06,0.03990806992120279,0.07555468950629173,8192,8192
flow,flyingthings,train,spair,test,0.75,0.0029296875,8.58306884765625e-06,0.06994384566615343,0.17269916792394283,8192,8192
flow,flyingthings,train,spair,test,1.0,0.00390625,1.52587890625e-05,0.09877954895389911,0.30587447234527476,8192,8192
flow,flyingthings,train,spair,test,1.5,0.005859375,3.4332275390625e-05,0.15389231047912327,0.6297239810713063,8192,8192
flow,flyingthings,train,spair,test,2.0,0.0078125,6.103515625e-05,0.2063558554478761,0.878168937788906,8192,8192
flow,flyingthings,train,spair,test,3.0,0.01171875,0.0001373291015625,0.29526311022552304,0.9894622034700822,8192,8192
flow,flyingthings,train,spair,test,4.0,0.015625,0.000244140625,0.3571234489629563,0.9955879972928436,8192,8192
flow,flyingthings,train,spair,test,6.0,0.0234375,0.00054931640625,0.45933339371433746,0.997788063366718,8192,8192
flow,flyingthings,train,spair,test,8.0,0.03125,0.0009765625,0.5392514265012227,0.9982956551746276,8192,8192
flow,flyingthings,train,spair,test,12.0,0.046875,0.002197265625,0.6469296259396794,0.9988659435991268,8192,8192
flow,flyingthings,train,spair,test,16.0,0.0625,0.00390625,0.7267457657820849,0.9991576918549906,8192,8192
flow,flyingthings,train,spair,test,24.0,0.09375,0.0087890625,0.8122679105153519,0.9994183425890258,8192,8192
