space,train_dataset,train_split,eval_dataset,eval_split,train_n_centroids,eval_n_centroids,train_total_weight,eval_total_weight,distance_metric,flow_normalized,train_kmeans_k,eval_kmeans_k,self_radius_k,radius_quantile,radius_train,radius_eval,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,p95_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,p95_nn_train_to_eval,weighted_distances,weighted_radius,radius_neighbor_agg,flow_image_h,flow_image_w
flow,flyingthings,train,flyingthings,test,8192,8192,11962368,14319616,sqL2,True,8192,8192,1,0.95,0.000664055347442627,0.0006467252969741821,0.0002962550419356469,9.372597560286522e-07,4.890561103820801e-05,0.0001577436923980713,0.0003483192618546503,9.369105100631714e-07,4.692375659942627e-05,0.00013287365436553955,True,True,kth,512,512
flow,flyingthings,train,kitti2015,val,8192,8192,11962368,408402,sqL2,True,8192,8192,1,0.95,0.000664055347442627,0.00010410696268081665,9.396467061552624e-06,6.408663466572762e-07,1.9744038581848145e-05,4.104524850845337e-05,0.007533216524725715,2.037733793258667e-06,0.0014448761940002441,0.009025901556015015,True,True,kth,512,512
flow,flyingthings,train,kitti2012,val,8192,8192,11962368,397312,sqL2,True,8192,8192,1,0.95,0.000664055347442627,3.530830144882202e-05,3.124160722583674e-06,5.76837919652462e-07,7.0035457611083984e-06,1.3037584722042084e-05,0.01027512227002304,2.6863999664783478e-06,0.006439415737986565,0.023984549567103386,True,True,kth,512,512
flow,flyingthings,train,spair,test,8192,8192,11962368,88328,sqL2,True,8192,8192,1,0.95,0.000664055347442627,0.0030008554458618164,0.008885719118602722,0.0007308423519134521,0.02148294448852539,0.043906211853027344,0.0003225901866171942,2.595163823571056e-05,6.575486622750759e-05,8.121412247419357e-05,True,True,kth,512,512
flow,flyingthings,train,pfpascal,test,8192,2414,11962368,2414,sqL2,True,8192,2414,1,0.95,0.000664055347442627,0.0010426044464111328,0.0003218533928869808,3.790855407714844e-05,0.0006932616233825684,0.0015106797218322754,0.0019449488182453334,2.7923844754695892e-05,0.00012292565952520818,0.0002031475305557251,True,True,kth,512,512
flow,flyingthings,train,pfwillow,test,8192,8192,11962368,9000,sqL2,True,8192,8192,1,0.95,0.000664055347442627,0.00035321712493896484,0.0007326668766214021,4.345551133155823e-05,0.0010136961936950684,0.002676546573638916,0.001953502874745056,6.57717464491725e-06,3.51443886756897e-05,6.747245788574219e-05,True,True,kth,512,512
flow,flyingthings,train,pointodyssey,test,8192,8192,11962368,16000000,sqL2,True,8192,8192,1,0.95,0.000664055347442627,0.00010276399552822113,8.131696442755576e-06,1.631942723179236e-07,2.903863787651062e-06,9.987503290176392e-06,0.0033513431174130564,1.6272533684968948e-06,0.0001783221960067749,0.0006539523601531982,True,True,kth,512,512
flow,flyingthings,train,tss,val,8192,8192,11962368,819200,sqL2,True,8192,8192,1,0.95,0.000664055347442627,0.0013315677642822266,0.0020392551782806526,2.0135194063186646e-05,0.0008209049701690674,0.008085548877716064,0.002361451202551501,3.57162207365036e-06,1.8680468201637268e-05,5.106627941131592e-05,True,True,kth,512,512
flow,flyingthings,train,middlebury,val,8192,8192,11962368,98304,sqL2,True,8192,8192,1,0.95,0.000664055347442627,1.4901161193847656e-08,1.4485991859084871e-05,4.1369348764419556e-06,2.8770416975021362e-05,7.310137152671814e-05,0.029595919851583257,0.0034023383632302284,0.0559949055314064,0.11371158808469772,True,True,kth,512,512
flow,imagenet2dwarp,train,flyingthings,test,8192,8192,10240000,14319616,sqL2,True,8192,8192,1,0.95,0.0005915164947509766,0.0006467252969741821,0.0019971941708728565,8.963514119386673e-06,2.0425766706466675e-05,2.8580427169799805e-05,0.0002719058247522204,6.105005741119385e-05,0.0007163584232330322,0.0012777745723724365,True,True,kth,512,512
flow,imagenet2dwarp,train,kitti2015,val,8192,8192,10240000,408402,sqL2,True,8192,8192,1,0.95,0.0005915164947509766,0.00010410696268081665,9.399023706690073e-06,8.575269021093845e-06,1.7259269952774048e-05,2.0623207092285156e-05,0.015399086824314498,0.0007318258285522461,0.049090348184108734,0.08599274605512619,True,True,kth,512,512
