space,representation,train_dataset,train_split,eval_dataset,eval_split,train_n_vectors,eval_n_vectors,mmd2,mmd
flow,flow,flyingthings,train,flyingthings,test,11962368,14319616,0.001074278843589127,0.032776193244321815
flow,flow,flyingthings,train,kitti2015,val,11962368,408402,0.33809733390808105,0.5814613778301023
flow,flow,flyingthings,train,kitti2012,val,11962368,397312,0.5650389194488525,0.7516907073051073
flow,flow,flyingthings,train,spair,test,11962368,88328,2.650108814239502,1.627915481294868
flow,flow,flyingthings,train,pfpascal,test,11962368,2414,1.4498604536056519,1.2041015129986556
flow,flow,flyingthings,train,pfwillow,test,11962368,9000,1.4066219329833984,1.186010932910569
flow,flow,flyingthings,train,pointodyssey,test,11962368,16000000,1.2956926822662354,1.1382849741019316
flow,flow,flyingthings,train,tss,val,11962368,819200,1.069941759109497,1.034379891098767
flow,flow,flyingthings,train,middlebury,val,11962368,98304,3.8106846809387207,1.952097508050948
flow,flow,imagenet2dwarp,train,flyingthings,test,10240000,14319616,1.8455976247787476,1.3585277416301618
flow,flow,imagenet2dwarp,train,kitti2015,val,10240000,408402,2.70896577835083,1.6458936108846252
flow,flow,imagenet2dwarp,train,kitti2012,val,10240000,397312,3.311476469039917,1.8197462650160645
flow,flow,imagenet2dwarp,train,spair,test,10240000,88328,0.26061344146728516,0.5105031258153913
flow,flow,imagenet2dwarp,train,pfpascal,test,10240000,2414,0.04332534223794937,0.20814740507138055
flow,flow,imagenet2dwarp,train,pfwillow,test,10240000,9000,0.038116853684186935,0.19523538020601425
flow,flow,imagenet2dwarp,train,pointodyssey,test,10240000,16000000,5.005194664001465,2.237229238142901
flow,flow,imagenet2dwarp,train,tss,val,10240000,819200,0.17951849102973938,0.4236962249415722
flow,flow,imagenet2dwarp,train,middlebury,val,10240000,98304,4.613031387329102,2.1477968682650372
flow,flow,synthetic_2d_warp,train,flyingthings,test,16000000,14319616,1.4865295886993408,1.219233197013328
flow,flow,synthetic_2d_warp,train,kitti2015,val,16000000,408402,2.2977476119995117,1.5158323165837018
flow,flow,synthetic_2d_warp,train,kitti2012,val,16000000,397312,2.854726552963257,1.689593605860077
flow,flow,synthetic_2d_warp,train,spair,test,16000000,88328,0.32242512702941895,0.5678249087785943
flow,flow,synthetic_2d_warp,train,pfpascal,test,16000000,2414,0.015532512217760086,0.12462949978941618
flow,flow,synthetic_2d_warp,train,pfwillow,test,16000000,9000,0.008480744436383247,0.09209095740833216
flow,flow,synthetic_2d_warp,train,pointodyssey,test,16000000,16000000,4.517826557159424,2.1255179503263255
flow,flow,synthetic_2d_warp,train,tss,val,16000000,819200,0.07932544499635696,0.2816477320987282
flow,flow,synthetic_2d_warp,train,middlebury,val,16000000,98304,4.316324234008789,2.0775765290378088
flow,flow,synthetic,train,flyingthings,test,16000000,14319616,1.4929261207580566,1.2218535594571294
flow,flow,synthetic,train,kitti2015,val,16000000,408402,2.3079404830932617,1.5191907329539835
flow,flow,synthetic,train,kitti2012,val,16000000,397312,2.865060806274414,1.6926490499434352
flow,flow,synthetic,train,spair,test,16000000,88328,0.31851160526275635,0.5643683241135671
flow,flow,synthetic,train,pfpascal,test,16000000,2414,0.015265330672264099,0.12355294683763758
flow,flow,synthetic,train,pfwillow,test,16000000,9000,0.007870834320783615,0.0887177226983629
flow,flow,synthetic,train,pointodyssey,test,16000000,16000000,4.526692867279053,2.127602610282064
flow,flow,synthetic,train,tss,val,16000000,819200,0.08059033751487732,0.28388437349540274
flow,flow,synthetic,train,middlebury,val,16000000,98304,4.322283744812012,2.079010280112153
flow,flow,synthetic_small_zoom,train,flyingthings,test,16000000,14319616,0.0720527321100235,0.2684263998008085
flow,flow,synthetic_small_zoom,train,kitti2015,val,16000000,408402,0.3166351914405823,0.5627034667038957
flow,flow,synthetic_small_zoom,train,kitti2012,val,16000000,397312,0.49153098464012146,0.7010927075930269
flow,flow,synthetic_small_zoom,train,spair,test,16000000,88328,3.394998073577881,1.8425520545096903
flow,flow,synthetic_small_zoom,train,pfpascal,test,16000000,2414,2.0057425498962402,1.416242405062156
flow,flow,synthetic_small_zoom,train,pfwillow,test,16000000,9000,1.9594647884368896,1.3998088399624034
flow,flow,synthetic_small_zoom,train,pointodyssey,test,16000000,16000000,1.231907844543457,1.1099134401129924
flow,flow,synthetic_small_zoom,train,tss,val,16000000,819200,1.5266971588134766,1.2355958719635949
flow,flow,synthetic_small_zoom,train,middlebury,val,16000000,98304,3.814394950866699,1.9530476058884738
flow,flow,synthetic_large_zoom,train,flyingthings,test,16000000,14319616,0.24180123209953308,0.4917328869412062
flow,flow,synthetic_large_zoom,train,kitti2015,val,16000000,408402,0.7511922717094421,0.8667134888239839
flow,flow,synthetic_large_zoom,train,kitti2012,val,16000000,397312,1.1081238985061646,1.0526746403833258
flow,flow,synthetic_large_zoom,train,spair,test,16000000,88328,1.5767685174942017,1.2556944363555178
flow,flow,synthetic_large_zoom,train,pfpascal,test,16000000,2414,0.5856063365936279,0.7652491990153455
