dataset1,split1,dataset2,split2,mmd2,mmd,num_vectors1,num_vectors2
sintel,train,pointodyssey,train,0.0015705113764852285,0.03962967797604755,1065984,1638400
sintel,train,synthetic,train,0.00028799392748624086,0.016970383834381614,1065984,1638400
sintel,train,synthetic_small_zoom,train,0.00030311441514641047,0.017410181364546737,1065984,1638400
sintel,train,synthetic_large_zoom,train,0.00026694254484027624,0.016338376444441357,1065984,1638400
sintel,train,synthetic_random_flipping,train,0.00028408720390871167,0.016854886647756244,1065984,1638400
sintel,train,spair_synthetic_50_50,train,0.00012679384963121265,0.01126027751128775,1065984,1638400
sintel,train,spair_synthetic_70_30,train,0.00010245555313304067,0.01012203305334658,1065984,1638400
sintel,train,spair,train,0.00046225948608480394,0.02150022060549156,1065984,1638400
sintel,train,flyingthings,train,0.00016839776071719825,0.012976816278163078,1065984,184320
sintel,train,pointodyssey,test,0.0019358218414708972,0.04399797542468173,1065984,1638400
sintel,train,synthetic,val,0.0002897122176364064,0.017020934687507806,1065984,1638400
sintel,train,kitti2012,val,0.00023144949227571487,0.015213464177356677,1065984,198656
sintel,train,kitti2015,val,0.0003010801156051457,0.01735166031263711,1065984,204800
sintel,train,spair,test,0.00023733162379357964,0.015405571193356631,1065984,1638400
sintel,train,pfpascal,test,0.00010776359704323113,0.010380924671879241,1065984,306176
sintel,train,pfwillow,test,0.00023077316291164607,0.015191219928354868,1065984,921600
sintel,train,flyingthings,test,0.00018754023767542094,0.013694533130976788,1065984,165888
sintel,train,tss,val,0.0001849501859396696,0.013599639184172115,1065984,409600
sintel,train,middlebury,val,0.00023279957531485707,0.015257770981203548,1065984,49152
pointodyssey,train,synthetic,train,0.0017595149111002684,0.041946572101904445,1638400,1638400
pointodyssey,train,synthetic_small_zoom,train,0.0017743471544235945,0.04212300030177806,1638400,1638400
pointodyssey,train,synthetic_large_zoom,train,0.0017433706670999527,0.04175369046084373,1638400,1638400
pointodyssey,train,synthetic_random_flipping,train,0.0017580840503796935,0.041929512880305365,1638400,1638400
pointodyssey,train,spair_synthetic_50_50,train,0.0015823582652956247,0.03977886706903082,1638400,1638400
pointodyssey,train,spair_synthetic_70_30,train,0.001555541530251503,0.03944035408374908,1638400,1638400
pointodyssey,train,spair,train,0.001991940662264824,0.04463116245701902,1638400,1638400
pointodyssey,train,flyingthings,train,0.0016150875017046928,0.0401881512601002,1638400,184320
pointodyssey,train,pointodyssey,test,0.0030975579284131527,0.055655708857341425,1638400,1638400
pointodyssey,train,synthetic,val,0.0017610474023967981,0.04196483530763344,1638400,1638400
pointodyssey,train,kitti2012,val,0.001772083342075348,0.04209612027343313,1638400,198656
pointodyssey,train,kitti2015,val,0.001808884902857244,0.042530987560333515,1638400,204800
pointodyssey,train,spair,test,0.0017476039938628674,0.0418043537668371,1638400,1638400
pointodyssey,train,pfpascal,test,0.0015763158444315195,0.03970284428641756,1638400,306176
pointodyssey,train,pfwillow,test,0.0016759545542299747,0.040938423934367266,1638400,921600
pointodyssey,train,flyingthings,test,0.0016546925762668252,0.040677912634092046,1638400,165888
pointodyssey,train,tss,val,0.0016634464263916016,0.040785370249534346,1638400,409600
pointodyssey,train,middlebury,val,0.0016977011691778898,0.04120316940695084,1638400,49152
synthetic,train,synthetic_small_zoom,train,8.735069059184752e-06,0.0029555150243544275,1638400,1638400
synthetic,train,synthetic_large_zoom,train,8.686724868312012e-06,0.002947325036081364,1638400,1638400
synthetic,train,synthetic_random_flipping,train,7.174928668973735e-06,0.002678605732274486,1638400,1638400
synthetic,train,spair_synthetic_50_50,train,7.636949158040807e-05,0.008738963987819613,1638400,1638400
synthetic,train,spair_synthetic_70_30,train,0.00012934839469380677,0.011373143571317771,1638400,1638400
synthetic,train,spair,train,0.0006212862208485603,0.02492561375068948,1638400,1638400
synthetic,train,flyingthings,train,0.0003212961310055107,0.017924735172534925,1638400,184320
synthetic,train,pointodyssey,test,0.002155718393623829,0.04642971455462362,1638400,1638400
synthetic,train,synthetic,val,6.787338861613534e-06,0.0026052521685267886,1638400,1638400
synthetic,train,kitti2012,val,0.0004085119580850005,0.020211678754744757,1638400,198656
synthetic,train,kitti2015,val,0.0004917412879876792,0.022175240426829182,1638400,204800
synthetic,train,spair,test,0.00037502229679375887,0.019365492423219166,1638400,1638400
synthetic,train,pfpascal,test,0.0002674369025044143,0.016353498173308802,1638400,306176
synthetic,train,pfwillow,test,0.0003776413213927299,0.01943299568756011,1638400,921600
synthetic,train,flyingthings,test,0.00033677625469863415,0.01835146464723277,1638400,165888
synthetic,train,tss,val,0.00035438916529528797,0.01882522683250558,1638400,409600
synthetic,train,middlebury,val,0.00037586057442240417,0.019387123933745413,1638400,49152
synthetic_small_zoom,train,synthetic_large_zoom,train,1.1232672477490269e-05,0.003351517936322327,1638400,1638400
synthetic_small_zoom,train,synthetic_random_flipping,train,8.876757419784553e-06,0.002979388766137201,1638400,1638400
synthetic_small_zoom,train,spair_synthetic_50_50,train,8.233932021539658e-05,0.00907410162029259,1638400,1638400
synthetic_small_zoom,train,spair_synthetic_70_30,train,0.0001369611272821203,0.011703039232700208,1638400,1638400
synthetic_small_zoom,train,spair,train,0.0006322009139694273,0.025143605826719193,1638400,1638400
synthetic_small_zoom,train,flyingthings,train,0.00033269147388637066,0.018239832068480528,1638400,184320
synthetic_small_zoom,train,pointodyssey,test,0.0021572301629930735,0.046445991893736896,1638400,1638400
synthetic_small_zoom,train,synthetic,val,8.732597962080035e-06,0.0029550969463081975,1638400,1638400
synthetic_small_zoom,train,kitti2012,val,0.0004172320186626166,0.020426258068050953,1638400,198656
synthetic_small_zoom,train,kitti2015,val,0.0004988305154256523,0.02233451399573432,1638400,204800
synthetic_small_zoom,train,spair,test,0.00038692462840117514,0.019670399802779178,1638400,1638400
synthetic_small_zoom,train,pfpascal,test,0.0002789944701362401,0.016703127555528042,1638400,306176
synthetic_small_zoom,train,pfwillow,test,0.0003906261990778148,0.019764265710564985,1638400,921600
synthetic_small_zoom,train,flyingthings,test,0.00035082222893834114,0.018730249035673316,1638400,165888
synthetic_small_zoom,train,tss,val,0.0003620428033173084,0.019027422403397377,1638400,409600
synthetic_small_zoom,train,middlebury,val,0.0003830327186733484,0.019571221695983836,1638400,49152
synthetic_large_zoom,train,synthetic_random_flipping,train,9.334044079878367e-06,0.003055166784298096,1638400,1638400
synthetic_large_zoom,train,spair_synthetic_50_50,train,6.709207082167268e-05,0.008190974961606992,1638400,1638400
synthetic_large_zoom,train,spair_synthetic_70_30,train,0.00011556986282812431,0.010750342451667496,1638400,1638400
synthetic_large_zoom,train,spair,train,0.0006058075232431293,0.024613157522819562,1638400,1638400
synthetic_large_zoom,train,flyingthings,train,0.0003009933861903846,0.01734916096502608,1638400,184320
synthetic_large_zoom,train,pointodyssey,test,0.002126706298440695,0.046116225977856154,1638400,1638400
synthetic_large_zoom,train,synthetic,val,9.378545655636117e-06,0.00306244112688491,1638400,1638400
synthetic_large_zoom,train,kitti2012,val,0.0003872189554385841,0.019677879851208162,1638400,198656
synthetic_large_zoom,train,kitti2015,val,0.00046463211765512824,0.02155532689743137,1638400,204800
synthetic_large_zoom,train,spair,test,0.0003568323445506394,0.018890006473017404,1638400,1638400
synthetic_large_zoom,train,pfpascal,test,0.00024787860456854105,0.015744160967436183,1638400,306176
synthetic_large_zoom,train,pfwillow,test,0.00036084570456296206,0.018995939159803656,1638400,921600
synthetic_large_zoom,train,flyingthings,test,0.0003185997484251857,0.017849362689608437,1638400,165888
synthetic_large_zoom,train,tss,val,0.0003349131438881159,0.01830063233574501,1638400,409600
synthetic_large_zoom,train,middlebury,val,0.0003540397738106549,0.018815944669632052,1638400,49152
synthetic_random_flipping,train,spair_synthetic_50_50,train,7.515502511523664e-05,0.008669199796707688,1638400,1638400
synthetic_random_flipping,train,spair_synthetic_70_30,train,0.00012664252426475286,0.011253556071960226,1638400,1638400
synthetic_random_flipping,train,spair,train,0.000621355720795691,0.024927007858860456,1638400,1638400
synthetic_random_flipping,train,flyingthings,train,0.0003188040864188224,0.017855085729808817,1638400,184320
synthetic_random_flipping,train,pointodyssey,test,0.002154039219021797,0.04641162805829803,1638400,1638400
synthetic_random_flipping,train,synthetic,val,7.211544470919762e-06,0.002685431896533547,1638400,1638400
synthetic_random_flipping,train,kitti2012,val,0.0004040836065541953,0.02010183092542058,1638400,198656
