dataset1,split1,dataset2,split2,mmd2,mmd,num_vectors1,num_vectors2
sintel,train,pointodyssey,train,0.05072375014424324,0.22521933785588494,4263936,13107200
sintel,train,synthetic,train,0.06769229471683502,0.2601774292993822,4263936,13107200
sintel,train,synthetic_small_zoom,train,0.07061443477869034,0.2657337667265685,4263936,13107200
sintel,train,synthetic_large_zoom,train,0.06738679856061935,0.2595896734475764,4263936,13107200
sintel,train,synthetic_random_flipping,train,0.06837818771600723,0.2614922326112331,4263936,13107200
sintel,train,spair_synthetic_50_50,train,0.03347785025835037,0.18296953368894608,4263936,13107200
sintel,train,spair_synthetic_70_30,train,0.02803201414644718,0.1674276385381075,4263936,13107200
sintel,train,spair,train,0.10072341561317444,0.3173695253378535,4263936,13107200
sintel,train,flyingthings,train,0.01662156730890274,0.12892465748995705,4263936,737280
sintel,train,pointodyssey,test,0.04164866358041763,0.2040800420923556,4263936,13107200
sintel,train,synthetic,val,0.06797240674495697,0.2607151831883923,4263936,13107200
sintel,train,kitti2012,val,0.013668471947312355,0.11691224036563645,4263936,794624
sintel,train,kitti2015,val,0.020901309326291084,0.14457285127675626,4263936,819200
sintel,train,spair,test,0.044956404715776443,0.21202925438669176,4263936,13107200
sintel,train,pfpascal,test,0.04113344848155975,0.20281382714588211,4263936,1224704
sintel,train,pfwillow,test,0.07289938628673553,0.26999886349156277,4263936,3686400
sintel,train,flyingthings,test,0.015912272036075592,0.12614385453154503,4263936,663552
sintel,train,tss,val,0.0341251939535141,0.1847300569845473,4263936,1638400
sintel,train,middlebury,val,0.029028259217739105,0.17037681537620988,4263936,196608
pointodyssey,train,synthetic,train,0.08043432235717773,0.2836094539277168,13107200,13107200
pointodyssey,train,synthetic_small_zoom,train,0.08455920219421387,0.2907906501148444,13107200,13107200
pointodyssey,train,synthetic_large_zoom,train,0.07933051139116287,0.2816567261599887,13107200,13107200
pointodyssey,train,synthetic_random_flipping,train,0.0812835544347763,0.28510270857144854,13107200,13107200
pointodyssey,train,spair_synthetic_50_50,train,0.03802875056862831,0.1950096166055108,13107200,13107200
pointodyssey,train,spair_synthetic_70_30,train,0.02836235798895359,0.16841127631175293,13107200,13107200
pointodyssey,train,spair,train,0.045681361109018326,0.2137319842911171,13107200,13107200
pointodyssey,train,flyingthings,train,0.035775281488895416,0.18914354730969654,13107200,737280
pointodyssey,train,pointodyssey,test,0.04695279896259308,0.21668594546622788,13107200,13107200
pointodyssey,train,synthetic,val,0.0809568464756012,0.2845291663004009,13107200,13107200
pointodyssey,train,kitti2012,val,0.05346138775348663,0.2312171874093417,13107200,794624
pointodyssey,train,kitti2015,val,0.06133568659424782,0.24766042597526117,13107200,819200
pointodyssey,train,spair,test,0.021304499357938766,0.14596060892562338,13107200,13107200
pointodyssey,train,pfpascal,test,0.03195516765117645,0.1787600840545127,13107200,1224704
pointodyssey,train,pfwillow,test,0.05113595724105835,0.22613260985770794,13107200,3686400
pointodyssey,train,flyingthings,test,0.027388159185647964,0.1654936832197772,13107200,663552
pointodyssey,train,tss,val,0.021966006606817245,0.14820933373717474,13107200,1638400
pointodyssey,train,middlebury,val,0.04034760221838951,0.2008671257781858,13107200,196608
synthetic,train,synthetic_small_zoom,train,0.0001668114709900692,0.012915551517069227,13107200,13107200
synthetic,train,synthetic_large_zoom,train,0.0001028699625749141,0.010142483057659702,13107200,13107200
synthetic,train,synthetic_random_flipping,train,1.7288375602220185e-05,0.004157929244494209,13107200,13107200
synthetic,train,spair_synthetic_50_50,train,0.014029843732714653,0.11844764131342866,13107200,13107200
synthetic,train,spair_synthetic_70_30,train,0.027792444452643394,0.16671066088478984,13107200,13107200
synthetic,train,spair,train,0.1399543136358261,0.3741046827237346,13107200,13107200
synthetic,train,flyingthings,train,0.048118434846401215,0.21935914580067367,13107200,737280
synthetic,train,pointodyssey,test,0.050790026783943176,0.22536642781022903,13107200,13107200
synthetic,train,synthetic,val,1.9195422282791696e-05,0.004381258070781918,13107200,13107200
synthetic,train,kitti2012,val,0.0627022311091423,0.2504041355671713,13107200,794624
synthetic,train,kitti2015,val,0.059662505984306335,0.24425909601140003,13107200,819200
synthetic,train,spair,test,0.07499322295188904,0.27384890533264694,13107200,13107200
synthetic,train,pfpascal,test,0.07631686329841614,0.2762550692718889,13107200,1224704
synthetic,train,pfwillow,test,0.09928527474403381,0.31509565967184283,13107200,3686400
synthetic,train,flyingthings,test,0.0583002083003521,0.24145436069856369,13107200,663552
synthetic,train,tss,val,0.05341845378279686,0.23112432538094482,13107200,1638400
synthetic,train,middlebury,val,0.05443902686238289,0.2333217239401057,13107200,196608
synthetic_small_zoom,train,synthetic_large_zoom,train,0.00031944920192472637,0.017873141915307627,13107200,13107200
synthetic_small_zoom,train,synthetic_random_flipping,train,0.00012141752085881308,0.011018961877546045,13107200,13107200
synthetic_small_zoom,train,spair_synthetic_50_50,train,0.015682263299822807,0.12522884372149576,13107200,13107200
synthetic_small_zoom,train,spair_synthetic_70_30,train,0.030085168778896332,0.17345076759385164,13107200,13107200
synthetic_small_zoom,train,spair,train,0.14601929485797882,0.3821247111323459,13107200,13107200
synthetic_small_zoom,train,flyingthings,train,0.050869446247816086,0.2255425597261326,13107200,737280
synthetic_small_zoom,train,pointodyssey,test,0.05261063575744629,0.22937008470471099,13107200,13107200
synthetic_small_zoom,train,synthetic,val,0.00013500190107151866,0.011619031847426818,13107200,13107200
synthetic_small_zoom,train,kitti2012,val,0.06503076106309891,0.25501129595196154,13107200,794624
synthetic_small_zoom,train,kitti2015,val,0.06184282898902893,0.24868218470374778,13107200,819200
synthetic_small_zoom,train,spair,test,0.07927563786506653,0.28155929724494366,13107200,13107200
synthetic_small_zoom,train,pfpascal,test,0.0808052122592926,0.28426257625528656,13107200,1224704
synthetic_small_zoom,train,pfwillow,test,0.10432666540145874,0.32299638605015185,13107200,3686400
synthetic_small_zoom,train,flyingthings,test,0.061964619904756546,0.24892693688059664,13107200,663552
synthetic_small_zoom,train,tss,val,0.056853607296943665,0.238439944843442,13107200,1638400
synthetic_small_zoom,train,middlebury,val,0.05744538828730583,0.23967767582172902,13107200,196608
synthetic_large_zoom,train,synthetic_random_flipping,train,0.00012815679656341672,0.011320635872750997,13107200,13107200
synthetic_large_zoom,train,spair_synthetic_50_50,train,0.013896836899220943,0.11788484592695087,13107200,13107200
synthetic_large_zoom,train,spair_synthetic_70_30,train,0.027574939653277397,0.1660570373494523,13107200,13107200
synthetic_large_zoom,train,spair,train,0.14022263884544373,0.3744631341606857,13107200,13107200
synthetic_large_zoom,train,flyingthings,train,0.04682266339659691,0.21638545098179984,13107200,737280
synthetic_large_zoom,train,pointodyssey,test,0.049889903515577316,0.22336047885778118,13107200,13107200
synthetic_large_zoom,train,synthetic,val,0.00013017698074690998,0.011409512730476704,13107200,13107200
synthetic_large_zoom,train,kitti2012,val,0.062523752450943,0.250047500389312,13107200,794624
synthetic_large_zoom,train,kitti2015,val,0.05920960754156113,0.24333024378724713,13107200,819200
synthetic_large_zoom,train,spair,test,0.07487677037715912,0.2736362007797198,13107200,13107200
synthetic_large_zoom,train,pfpascal,test,0.07522672414779663,0.27427490615766625,13107200,1224704
synthetic_large_zoom,train,pfwillow,test,0.09828191250562668,0.3134994617309999,13107200,3686400
synthetic_large_zoom,train,flyingthings,test,0.05717554688453674,0.23911408759112615,13107200,663552
synthetic_large_zoom,train,tss,val,0.05258588120341301,0.22931611631852875,13107200,1638400
synthetic_large_zoom,train,middlebury,val,0.05327288433909416,0.23080919465890903,13107200,196608
synthetic_random_flipping,train,spair_synthetic_50_50,train,0.01435082871466875,0.11979494444536777,13107200,13107200
synthetic_random_flipping,train,spair_synthetic_70_30,train,0.028244152665138245,0.16805996746738422,13107200,13107200
synthetic_random_flipping,train,spair,train,0.14101281762123108,0.3755167341427424,13107200,13107200
synthetic_random_flipping,train,flyingthings,train,0.04874862730503082,0.22079091309433643,13107200,737280
synthetic_random_flipping,train,pointodyssey,test,0.05120000243186951,0.22627417535341832,13107200,13107200
synthetic_random_flipping,train,synthetic,val,1.1349473425070755e-05,0.0033688979540898467,13107200,13107200
synthetic_random_flipping,train,kitti2012,val,0.06330052018165588,0.25159594627429094,13107200,794624
synthetic_random_flipping,train,kitti2015,val,0.060256168246269226,0.2454713185817627,13107200,819200
synthetic_random_flipping,train,spair,test,0.07580485194921494,0.2753268093542925,13107200,13107200
synthetic_random_flipping,train,pfpascal,test,0.07725158333778381,0.27794169053559387,13107200,1224704
synthetic_random_flipping,train,pfwillow,test,0.10029536485671997,0.31669443452122736,13107200,3686400
synthetic_random_flipping,train,flyingthings,test,0.059076689183712006,0.2430569669516017,13107200,663552
synthetic_random_flipping,train,tss,val,0.05407999828457832,0.23255106597170938,13107200,1638400
synthetic_random_flipping,train,middlebury,val,0.05507202818989754,0.23467430236371756,13107200,196608
spair_synthetic_50_50,train,spair_synthetic_70_30,train,0.0023632787633687258,0.04861356563109443,13107200,13107200
spair_synthetic_50_50,train,spair,train,0.08059486746788025,0.2838923519009983,13107200,13107200
spair_synthetic_50_50,train,flyingthings,train,0.021127477288246155,0.145352940418301,13107200,737280
spair_synthetic_50_50,train,pointodyssey,test,0.02081788331270218,0.1442840369296,13107200,13107200
spair_synthetic_50_50,train,synthetic,val,0.014271107502281666,0.11946174074690886,13107200,13107200
spair_synthetic_50_50,train,kitti2012,val,0.029485445469617844,0.17171326526980332,13107200,794624
spair_synthetic_50_50,train,kitti2015,val,0.030514784157276154,0.17468481375688086,13107200,819200
spair_synthetic_50_50,train,spair,test,0.026801563799381256,0.1637118315803145,13107200,13107200
spair_synthetic_50_50,train,pfpascal,test,0.03090231865644455,0.17579055337658092,13107200,1224704
spair_synthetic_50_50,train,pfwillow,test,0.05382390320301056,0.2319997913857048,13107200,3686400
spair_synthetic_50_50,train,flyingthings,test,0.0251016728579998,0.15843507458261824,13107200,663552
spair_synthetic_50_50,train,tss,val,0.015048043802380562,0.12267046833847405,13107200,1638400
spair_synthetic_50_50,train,middlebury,val,0.026186862960457802,0.16182355502354348,13107200,196608
spair_synthetic_70_30,train,spair,train,0.06311686336994171,0.2512306975071751,13107200,13107200
spair_synthetic_70_30,train,flyingthings,train,0.01865363121032715,0.1365782969959984,13107200,737280
spair_synthetic_70_30,train,pointodyssey,test,0.01738457754254341,0.13185058794917606,13107200,13107200
spair_synthetic_70_30,train,synthetic,val,0.02812548354268074,0.16770653995202675,13107200,13107200
spair_synthetic_70_30,train,kitti2012,val,0.024321097880601883,0.15595222948262677,13107200,794624
spair_synthetic_70_30,train,kitti2015,val,0.027049211785197258,0.16446644577298208,13107200,819200
spair_synthetic_70_30,train,spair,test,0.014672022312879562,0.1211281235423036,13107200,13107200
spair_synthetic_70_30,train,pfpascal,test,0.020179495215415955,0.1420545501397824,13107200,1224704
spair_synthetic_70_30,train,pfwillow,test,0.04292019084095955,0.20717188718781213,13107200,3686400
spair_synthetic_70_30,train,flyingthings,test,0.019723206758499146,0.1404393347979801,13107200,663552
spair_synthetic_70_30,train,tss,val,0.007365419529378414,0.08582202240321778,13107200,1638400
spair_synthetic_70_30,train,middlebury,val,0.023067835718393326,0.15188099195881402,13107200,196608
spair,train,flyingthings,train,0.0945466011762619,0.30748431045544733,13107200,737280
spair,train,pointodyssey,test,0.11023491621017456,0.33201643966854194,13107200,13107200
spair,train,synthetic,val,0.14072364568710327,0.37513150452488425,13107200,13107200
spair,train,kitti2012,val,0.09375287592411041,0.3061909141762871,13107200,794624
spair,train,kitti2015,val,0.10594196617603302,0.32548727498326724,13107200,819200
spair,train,spair,test,0.02198413386940956,0.14827047537999452,13107200,13107200
spair,train,pfpascal,test,0.057995688170194626,0.24082293946008262,13107200,1224704
spair,train,pfwillow,test,0.06826215982437134,0.26127028117329254,13107200,3686400
spair,train,flyingthings,test,0.06990405917167664,0.2643937578152643,13107200,663552
spair,train,tss,val,0.05516120418906212,0.2348642250089658,13107200,1638400
spair,train,middlebury,val,0.08996511250734329,0.2999418485429189,13107200,196608
