dataset1,split1,dataset2,split2,mmd2,mmd,num_vectors1,num_vectors2
pointodyssey,train,synthetic,train,0.5883231163024902,0.7670222397704581,158486,5799270
pointodyssey,train,spair,train,0.6748058199882507,0.8214656535657779,158486,686
pointodyssey,train,flyingthings,train,0.5117418766021729,0.715361360853501,158486,20971520
pointodyssey,train,pointodyssey,test,0.23399731516838074,0.48373268978680856,158486,203341
pointodyssey,train,synthetic,val,0.5715700387954712,0.7560225120956857,158486,5810330
pointodyssey,train,kitti2012,val,0.9368395805358887,0.9679047373248509,158486,1300910
pointodyssey,train,kitti2015,val,0.8944591879844666,0.9457585251978787,158486,768517
pointodyssey,train,spair,test,0.7616031765937805,0.8726987891556746,158486,554
pointodyssey,train,pfpascal,test,0.5335087776184082,0.7304168519540114,158486,757
pointodyssey,train,pfwillow,test,0.6457757353782654,0.8036017268387776,158486,800
pointodyssey,train,flyingthings,test,0.5178333520889282,0.719606386915047,158486,20971520
pointodyssey,train,tss,val,0.6196677684783936,0.7871897919043371,158486,7265093
synthetic,train,spair,train,0.04845602065324783,0.22012728284619296,5799270,686
synthetic,train,flyingthings,train,0.06025926023721695,0.24547761657067013,5799270,20971520
synthetic,train,pointodyssey,test,0.2936467230319977,0.5418918001151131,5799270,203341
synthetic,train,synthetic,val,0.0040346477180719376,0.06351887686406253,5799270,5810330
synthetic,train,kitti2012,val,0.38472509384155273,0.6202621170453284,5799270,1300910
synthetic,train,kitti2015,val,0.4216819405555725,0.6493704186021816,5799270,768517
synthetic,train,spair,test,0.06486311554908752,0.2546823817013802,5799270,554
synthetic,train,pfpascal,test,0.06745583564043045,0.2597226128784909,5799270,757
synthetic,train,pfwillow,test,0.19155719876289368,0.43767247887306515,5799270,800
synthetic,train,flyingthings,test,0.048023808747529984,0.21914335204958874,5799270,20971520
synthetic,train,tss,val,0.15510223805904388,0.3938302147614425,5799270,7265093
spair,train,flyingthings,train,0.13215306401252747,0.36352862887608656,686,20971520
spair,train,pointodyssey,test,0.3878234624862671,0.6227547370243498,686,203341
spair,train,synthetic,val,0.05226120352745056,0.2286070942194283,686,5810330
spair,train,kitti2012,val,0.4169815182685852,0.6457410613152808,686,1300910
spair,train,kitti2015,val,0.4167864918708801,0.6455900338999048,686,768517
spair,train,spair,test,0.06404919922351837,0.25307943263631355,686,554
spair,train,pfpascal,test,0.10834599286317825,0.3291595249467623,686,757
spair,train,pfwillow,test,0.1744093894958496,0.41762350208752574,686,800
spair,train,flyingthings,test,0.1165083646774292,0.3413332164870996,686,20971520
spair,train,tss,val,0.175442636013031,0.41885873037699833,686,7265093
flyingthings,train,pointodyssey,test,0.2053098976612091,0.45311135238615363,20971520,203341
flyingthings,train,synthetic,val,0.05200286954641342,0.2280413768297618,20971520,5810330
