dataset1,split1,dataset2,split2,mmd2,mmd,num_vectors1,num_vectors2
sintel,train,pointodyssey,train,0.43783125281333923,0.6616881839759111,258908449,6472949
sintel,train,synthetic,train,0.043666332960128784,0.20896490844189314,258908449,217890609
sintel,train,synthetic_small_zoom,train,0.005701830144971609,0.07551046381112758,258908449,354163062
sintel,train,synthetic_large_zoom,train,0.010941820219159126,0.10460315587571499,258908449,358996921
sintel,train,synthetic_random_flipping,train,0.11185531318187714,0.3344477734742409,258908449,219041176
sintel,train,spair_synthetic_50_50,train,0.043105654418468475,0.20761901266133714,258908449,107304714
sintel,train,spair_synthetic_70_30,train,0.043677158653736115,0.208990809974353,258908449,68494730
sintel,train,spair,train,0.179192453622818,0.42331129635626075,258908449,24835
sintel,train,flyingthings,train,0.01071250718086958,0.10350124241220286,258908449,47185920
sintel,train,pointodyssey,test,0.18779447674751282,0.43335260094698036,258908449,8039595
sintel,train,synthetic,val,0.04304279759526253,0.2074675820345495,258908449,218298044
sintel,train,kitti2012,val,0.2961384654045105,0.544186057708676,258908449,3152114
sintel,train,kitti2015,val,0.31126338243484497,0.5579098336065111,258908449,1948559
sintel,train,spair,test,0.15461577475070953,0.39321212436890796,258908449,20494
sintel,train,pfpascal,test,0.0538107231259346,0.2319713842824899,258908449,2414
sintel,train,pfwillow,test,0.09854701161384583,0.313921983323637,258908449,9000
sintel,train,flyingthings,test,0.02301115356385708,0.1516942766351357,258908449,42467328
sintel,train,tss,val,0.09477405250072479,0.30785394670318067,258908449,35627876
sintel,train,middlebury,val,0.03602519631385803,0.1898030461132224,258908449,11171271
pointodyssey,train,synthetic,train,0.47133681178092957,0.6865397379474327,6472949,217890609
pointodyssey,train,synthetic_small_zoom,train,0.3894517123699188,0.6240606640142597,6472949,354163062
pointodyssey,train,synthetic_large_zoom,train,0.3961121141910553,0.6293743831703474,6472949,358996921
pointodyssey,train,synthetic_random_flipping,train,0.5581876635551453,0.747119577815456,6472949,219041176
pointodyssey,train,spair_synthetic_50_50,train,0.46925973892211914,0.6850253564081545,6472949,107304714
pointodyssey,train,spair_synthetic_70_30,train,0.4743806719779968,0.688752983280651,6472949,68494730
pointodyssey,train,spair,train,0.6660357713699341,0.8161101465917049,6472949,24835
pointodyssey,train,flyingthings,train,0.4635075628757477,0.680813897387346,6472949,47185920
pointodyssey,train,pointodyssey,test,0.1938934177160263,0.44033330298312245,6472949,8039595
pointodyssey,train,synthetic,val,0.4712628424167633,0.686485864688242,6472949,218298044
pointodyssey,train,kitti2012,val,0.893591046333313,0.9452994479704899,6472949,3152114
pointodyssey,train,kitti2015,val,0.8558209538459778,0.9251059149340565,6472949,1948559
pointodyssey,train,spair,test,0.6135705709457397,0.7833074562046117,6472949,20494
pointodyssey,train,pfpascal,test,0.4667659103870392,0.6832026861679038,6472949,2414
pointodyssey,train,pfwillow,test,0.45690053701400757,0.675944181877474,6472949,9000
pointodyssey,train,flyingthings,test,0.4751833975315094,0.6893354753177218,6472949,42467328
pointodyssey,train,tss,val,0.5092334151268005,0.7136059242514741,6472949,35627876
pointodyssey,train,middlebury,val,0.44633233547210693,0.6680810845040495,6472949,11171271
synthetic,train,synthetic_small_zoom,train,0.04369386285543442,0.20903077011635013,217890609,354163062
