dataset1,split1,dataset2,split2,mmd2,mmd,num_vectors1,num_vectors2
sintel,train,pointodyssey,train,0.41729557514190674,0.6459841910928678,258908449,3225678
sintel,train,synthetic,train,0.041890449821949005,0.20467156573874398,258908449,109526164
sintel,train,synthetic_small_zoom,train,0.005590059794485569,0.07476670244490904,258908449,178475145
sintel,train,synthetic_large_zoom,train,0.011265739798545837,0.10614018936550772,258908449,180146001
sintel,train,synthetic_random_flipping,train,0.11303094774484634,0.3362007551223619,258908449,110583823
sintel,train,spair,train,0.17650772631168365,0.4201282260354375,258908449,12928
sintel,train,flyingthings,train,0.01071250718086958,0.10350124241220286,258908449,47185920
sintel,train,pointodyssey,test,0.18519803881645203,0.43034641722274397,258908449,4013037
sintel,train,synthetic,val,0.04483318328857422,0.2117384785261626,258908449,110543713
sintel,train,kitti2012,val,0.2961384654045105,0.544186057708676,258908449,3152114
sintel,train,kitti2015,val,0.31126338243484497,0.5579098336065111,258908449,1948559
sintel,train,spair,test,0.16349826753139496,0.40434919009612835,258908449,11089
sintel,train,pfpascal,test,0.0538107231259346,0.2319713842824899,258908449,2414
sintel,train,pfwillow,test,0.09854701161384583,0.313921983323637,258908449,9000
sintel,train,flyingthings,test,0.02301115356385708,0.1516942766351357,258908449,42467328
sintel,train,tss,val,0.09477405250072479,0.30785394670318067,258908449,35627876
sintel,train,middlebury,val,0.03602519631385803,0.1898030461132224,258908449,11171271
sintel,train,spair_synthetic_30_70,train,0.04443749040365219,0.21080201707681118,258908449,73733385
sintel,train,spair_synthetic_50_50,train,0.042003046721220016,0.2049464484230454,258908449,52005543
sintel,train,spair_synthetic_70_30,train,0.04158369079232216,0.20392079538958785,258908449,31769507
sintel,train,pointodyssey_synthetic_30_70,train,0.04176996648311615,0.20437702043800363,258908449,78297005
sintel,train,pointodyssey_synthetic_70_30,train,0.04214347526431084,0.20528876068677224,258908449,34185641
sintel,train,flyingthings_synthetic_30_70,train,0.020568272098898888,0.14341642897136606,258908449,204376608
sintel,train,flyingthings_synthetic_70_30,train,0.011929700151085854,0.10922316673254742,258908449,326549202
sintel,train,sintel_synthetic_30_70,train,0.006225088611245155,0.07889923073924837,258908449,200714721
sintel,train,sintel_synthetic_70_30,train,0.0006186128593981266,0.02487192914508496,258908449,308354615
pointodyssey,train,synthetic,train,0.44695407152175903,0.6685462373850884,3225678,109526164
pointodyssey,train,synthetic_small_zoom,train,0.3702867329120636,0.6085119003865607,3225678,178475145
pointodyssey,train,synthetic_large_zoom,train,0.37809109687805176,0.6148911260361885,3225678,180146001
pointodyssey,train,synthetic_random_flipping,train,0.5399721264839172,0.7348279570647249,3225678,110583823
pointodyssey,train,spair,train,0.6402072310447693,0.8001295089201306,3225678,12928
pointodyssey,train,flyingthings,train,0.44256022572517395,0.665252001669423,3225678,47185920
pointodyssey,train,pointodyssey,test,0.18471559882164001,0.4297855265381095,3225678,4013037
pointodyssey,train,synthetic,val,0.44941481947898865,0.6703840835513539,3225678,110543713
pointodyssey,train,kitti2012,val,0.8759301900863647,0.9359114221369268,3225678,3152114
pointodyssey,train,kitti2015,val,0.8371802568435669,0.9149755498610698,3225678,1948559
pointodyssey,train,spair,test,0.612554669380188,0.7826587183314244,3225678,11089
pointodyssey,train,pfpascal,test,0.4472941756248474,0.6688005499585414,3225678,2414
pointodyssey,train,pfwillow,test,0.44031333923339844,0.6635611043705006,3225678,9000
pointodyssey,train,flyingthings,test,0.4541928470134735,0.6739383109851179,3225678,42467328
pointodyssey,train,tss,val,0.49178600311279297,0.7012745561567116,3225678,35627876
pointodyssey,train,middlebury,val,0.42604324221611023,0.6527198803591862,3225678,11171271
pointodyssey,train,spair_synthetic_30_70,train,0.450786828994751,0.6714066048191297,3225678,73733385
pointodyssey,train,spair_synthetic_50_50,train,0.44530996680259705,0.6673154927038613,3225678,52005543
pointodyssey,train,spair_synthetic_70_30,train,0.45151031017303467,0.6719451690227668,3225678,31769507
pointodyssey,train,pointodyssey_synthetic_30_70,train,0.4424532651901245,0.6651716058207269,3225678,78297005
pointodyssey,train,pointodyssey_synthetic_70_30,train,0.39691489934921265,0.6300118247693551,3225678,34185641
pointodyssey,train,flyingthings_synthetic_30_70,train,0.44505923986434937,0.6671276038842564,3225678,204376608
pointodyssey,train,flyingthings_synthetic_70_30,train,0.44177183508872986,0.6646591871694318,3225678,326549202
pointodyssey,train,sintel_synthetic_30_70,train,0.4197235107421875,0.6478607186287709,3225678,200714721
pointodyssey,train,sintel_synthetic_70_30,train,0.41662436723709106,0.6454644585390361,3225678,308354615
synthetic,train,synthetic_small_zoom,train,0.0419866144657135,0.2049063553570594,109526164,178475145
synthetic,train,synthetic_large_zoom,train,0.025124356150627136,0.15850664386904145,109526164,180146001
synthetic,train,synthetic_random_flipping,train,0.03635871410369873,0.1906796111378947,109526164,110583823
synthetic,train,spair,train,0.0713035836815834,0.26702730886855636,109526164,12928
synthetic,train,flyingthings,train,0.016776565462350845,0.1295243817292746,109526164,47185920
synthetic,train,pointodyssey,test,0.22577017545700073,0.4751527916965244,109526164,4013037
synthetic,train,synthetic,val,0.00039712167927064,0.01992791206500671,109526164,110543713
synthetic,train,kitti2012,val,0.31589311361312866,0.5620436936868242,109526164,3152114
synthetic,train,kitti2015,val,0.31752917170524597,0.5634972685872097,109526164,1948559
synthetic,train,spair,test,0.05880707502365112,0.24250170107372673,109526164,11089
synthetic,train,pfpascal,test,0.008273890241980553,0.09096092700704271,109526164,2414
