train_dataset,train_split,eval_dataset,eval_split
kitti2015_hq_trial19,train,flyingthings,test
kitti2015_hq_trial19,train,kitti2012,val
kitti2015_hq_trial19,train,kitti2015,val
kitti2015_hq_trial19,train,spair,test
kitti2015_hq_trial19,train,pfpascal,test
kitti2015_hq_trial19,train,pfwillow,test
kitti2015_hq_trial19,train,pointodyssey,test
kitti2015_hq_trial19,train,tss,val
kitti2015_hq_trial19,train,middlebury,val
kitti2015_hq_trial19,train,synthetic,val
kitti2015_lowtex_matte,train,flyingthings,test
kitti2015_lowtex_matte,train,kitti2012,val
kitti2015_lowtex_matte,train,kitti2015,val
kitti2015_lowtex_matte,train,spair,test
kitti2015_lowtex_matte,train,pfpascal,test
kitti2015_lowtex_matte,train,pfwillow,test
kitti2015_lowtex_matte,train,pointodyssey,test
kitti2015_lowtex_matte,train,tss,val
kitti2015_lowtex_matte,train,middlebury,val
kitti2015_lowtex_matte,train,synthetic,val
