benchmark,ceiling,motion_rho,frac_of_ceiling,n_reps
kitti2012,0.8436363636363637,0.8272727272727273,0.980603448275862,5
kitti2015,0.7590909090909091,0.7090909090909092,0.9341317365269463,5
synthetic,0.6666666666666667,0.5181818181818182,0.7772727272727272,5
flyingthings,0.6342424242424243,0.45454545454545453,0.7166746297181079,5
pfpascal,0.6275757575757576,0.36363636363636365,0.5794302269435055,5
pfwillow,0.6057575757575757,0.10000000000000002,0.16508254127063537,5
middlebury,0.5969696969696969,0.6454545454545455,1.0812182741116754,5
tss,0.5172727272727273,0.10000000000000002,0.19332161687170477,5
pointodyssey,0.41515151515151516,0.8545454545454546,2.0583941605839415,5
spair,0.17363636363636362,-0.03636363636363637,-0.20942408376963356,5
