train_dataset,context_id,benchmark,variant,actual,L,g,g_global_gain,g_variant_gain,g_context_gain,g_shrink_gain,g_benchsim_gain,g_profilesim_gain,gain_global,gain_variant,gain_context,gain_shrink,gain_benchsim,gain_profilesim
flyingthings,flyingthings|catspp|False|False,flyingthings,catspp|False|False,76.3251,38.69692231190461,0.35833746114514503,0.9721800556603103,1.0230838896885786,1.0230838896885786,1.0230838896885786,2.8433670986810236,3.460673872081003,2.7130293677738804,2.8550849426099414,2.8550849426099414,2.8550849426099414,7.9348865440817375,9.657583276450275
flyingthings,flyingthings|catspp|False|True,flyingthings,catspp|False|True,76.5009,52.39873857124854,0.35833746114514503,0.9721800556603103,1.0651065151706942,1.0651065151706942,1.0651065151706942,2.8601770867259466,3.465011553026964,2.7130293677738804,2.9723560349144504,2.9723560349144504,2.9723560349144504,7.9817975982350005,9.669688293135103
flyingthings,flyingthings|catspp|True|False,flyingthings,catspp|True|False,85.2977,60.314613578414345,0.35833746114514503,0.9721800556603103,0.5922219528047725,0.5922219528047725,0.5922219528047725,2.1860392938451176,2.799069144022179,2.7130293677738804,1.6526933882720463,1.6526933882720463,1.6526933882720463,6.100504498913273,7.811265769080204
flyingthings,flyingthings|catspp|True|True,flyingthings,catspp|True|True,85.2894,57.34913081961954,0.35833746114514503,0.9721800556603103,0.532044414999786,0.532044414999786,0.532044414999786,2.1955665793796357,2.792297331276003,2.7130293677738804,1.4847580079948182,1.4847580079948182,1.4847580079948182,6.127091966224315,7.792367904691326
flyingthings,flyingthings|glunet|False|False,flyingthings,glunet|False|False,79.5401,65.6658994676007,0.35833746114514503,0.9721800556603103,1.0697886050216698,1.0697886050216698,1.0697886050216698,2.8387283432800827,3.4528162704101955,2.7130293677738804,2.9854221816578383,2.9854221816578383,2.9854221816578383,7.921941329294211,9.635655338339376
flyingthings,flyingthings|glunet|False|True,flyingthings,glunet|False|True,72.9905,65.58451497083492,0.35833746114514503,0.9721800556603103,0.995484303379873,0.995484303379873,0.995484303379873,2.8076782152663897,3.4401106254476628,2.7130293677738804,2.778063728527258,2.778063728527258,2.778063728527258,7.835290807424503,9.600198132938832
flyingthings,flyingthings|glunet|True|False,flyingthings,glunet|True|False,85.8465,76.06865267827337,0.35833746114514503,0.9721800556603103,1.1466532679412431,1.1466532679412431,1.1466532679412431,3.036770902446268,3.4748653900774724,2.7130293677738804,3.1999257467440443,3.1999257467440443,3.1999257467440443,8.47461187212079,9.697187056504745
flyingthings,flyingthings|glunet|True|True,flyingthings,glunet|True|True,81.4831,73.85115185589177,0.35833746114514503,0.9721800556603103,0.8317974266771523,0.8317974266771523,0.8317974266771523,2.421894086625702,2.5388565794200053,2.7130293677738804,2.3212684044223657,2.3212684044223657,2.3212684044223657,6.758696338602206,7.0850995352440655
flyingthings,flyingthings|raft|True|False,flyingthings,raft|True|False,79.60585,31.059959539812034,0.35833746114514503,0.9721800556603103,1.2446359214969003,1.2446359214969003,1.2446359214969003,2.8228360625488453,3.4746525448528316,2.7130293677738804,3.4733625603066907,3.4733625603066907,3.4733625603066907,7.877591289305508,9.696593076673665
imagenet2dwarp,flyingthings|catspp|False|False,flyingthings,catspp|False|False,57.94145,38.611050056221515,0.14889868614247226,0.40396650832747294,0.4251183967797761,0.4251183967797761,0.4251183967797761,1.181494181103353,1.4380014611749583,2.7130293677738804,2.8550849426099414,2.8550849426099414,2.8550849426099414,7.9348865440817375,9.657583276450275
imagenet2dwarp,flyingthings|catspp|False|True,flyingthings,catspp|False|True,60.329,37.110599827475895,0.14889868614247226,0.40396650832747294,0.4425799083464101,0.4425799083464101,0.4425799083464101,1.1884791754323323,1.4398038822550618,2.7130293677738804,2.9723560349144504,2.9723560349144504,2.9723560349144504,7.9817975982350005,9.669688293135103
imagenet2dwarp,flyingthings|catspp|True|False,flyingthings,catspp|True|False,78.9297,40.36852439180285,0.14889868614247226,0.40396650832747294,0.24608387411005847,0.24608387411005847,0.24608387411005847,0.9083571046944274,1.1630872101257104,2.7130293677738804,1.6526933882720463,1.6526933882720463,1.6526933882720463,6.100504498913273,7.811265769080204
imagenet2dwarp,flyingthings|catspp|True|True,flyingthings,catspp|True|True,79.9519,45.74991766319375,0.14889868614247226,0.40396650832747294,0.22107851662994274,0.22107851662994274,0.22107851662994274,0.9123159436448975,1.160273342947308,2.7130293677738804,1.4847580079948182,1.4847580079948182,1.4847580079948182,6.127091966224315,7.792367904691326
imagenet2dwarp,flyingthings|glunet|False|False,flyingthings,glunet|False|False,54.827,56.249802238389634,0.14889868614247226,0.40396650832747294,0.44452544042944525,0.44452544042944525,0.44452544042944525,1.1795666556296582,1.434736420000432,2.7130293677738804,2.9854221816578383,2.9854221816578383,2.9854221816578383,7.921941329294211,9.635655338339376
imagenet2dwarp,flyingthings|glunet|False|True,flyingthings,glunet|False|True,48.8918,53.50788991508969,0.14889868614247226,0.40396650832747294,0.41365003919776644,0.41365003919776644,0.41365003919776644,1.166664506769699,1.4294568887020074,2.7130293677738804,2.778063728527258,2.778063728527258,2.778063728527258,7.835290807424503,9.600198132938832
imagenet2dwarp,flyingthings|glunet|True|False,flyingthings,glunet|True|False,11.3571,18.84106135444956,0.14889868614247226,0.40396650832747294,0.47646473944365764,0.47646473944365764,0.47646473944365764,1.2618585733261827,1.4438984119913445,2.7130293677738804,3.1999257467440443,3.1999257467440443,3.1999257467440443,8.47461187212079,9.697187056504745
imagenet2dwarp,flyingthings|glunet|True|True,flyingthings,glunet|True|True,66.7997,68.54821088244066,0.14889868614247226,0.40396650832747294,0.3456338156025232,0.3456338156025232,0.3456338156025232,1.0063610048538063,1.0549620119864822,2.7130293677738804,2.3212684044223657,2.3212684044223657,2.3212684044223657,6.758696338602206,7.0850995352440655
imagenet2dwarp,flyingthings|raft|True|False,flyingthings,raft|True|False,4.28145,5.025546213198981,0.14889868614247226,0.40396650832747294,0.5171791217261198,0.5171791217261198,0.5171791217261198,1.1729629929449743,1.4438099691749013,2.7130293677738804,3.4733625603066907,3.4733625603066907,3.4733625603066907,7.877591289305508,9.696593076673665
movi_f,flyingthings|catspp|False|False,flyingthings,catspp|False|False,61.2423,59.37921701112633,-0.10914598842959361,-0.2961162719841956,-0.3116210681116116,-0.3116210681116116,-0.3116210681116116,-0.8660610349304834,-1.0540864725492785,2.7130293677738804,2.8550849426099414,2.8550849426099414,2.8550849426099414,7.9348865440817375,9.657583276450275
movi_f,flyingthings|catspp|False|True,flyingthings,catspp|False|True,61.1514,58.5638919316027,-0.10914598842959361,-0.2961162719841956,-0.32442073739540533,-0.32442073739540533,-0.32442073739540533,-0.8711811883043155,-1.0554076865603006,2.7130293677738804,2.9723560349144504,2.9723560349144504,2.9723560349144504,7.9817975982350005,9.669688293135103
movi_f,flyingthings|catspp|True|False,flyingthings,catspp|True|False,77.7052,75.19655929930636,-0.10914598842959361,-0.2961162719841956,-0.18038485343400662,-0.18038485343400662,-0.18038485343400662,-0.6658455934530719,-0.8525683232525085,2.7130293677738804,1.6526933882720463,1.6526933882720463,1.6526933882720463,6.100504498913273,7.811265769080204
movi_f,flyingthings|catspp|True|True,flyingthings,catspp|True|True,77.9071,75.91583910338952,-0.10914598842959361,-0.2961162719841956,-0.16205538036134887,-0.16205538036134887,-0.16205538036134887,-0.6687475088525751,-0.850505697164576,2.7130293677738804,1.4847580079948182,1.4847580079948182,1.4847580079948182,6.127091966224315,7.792367904691326
movi_f,flyingthings|glunet|False|False,flyingthings,glunet|False|False,41.9398,47.14843443474151,-0.10914598842959361,-0.2961162719841956,-0.32584685489667853,-0.32584685489667853,-0.32584685489667853,-0.8646481166670653,-1.0516931260699414,2.7130293677738804,2.9854221816578383,2.9854221816578383,2.9854221816578383,7.921941329294211,9.635655338339376
movi_f,flyingthings|glunet|False|True,flyingthings,glunet|False|True,43.0123,48.105105224036855,-0.10914598842959361,-0.2961162719841956,-0.30321451157050977,-0.30321451157050977,-0.30321451157050977,-0.855190559809656,-1.047823114339548,2.7130293677738804,2.778063728527258,2.778063728527258,2.778063728527258,7.835290807424503,9.600198132938832
movi_f,flyingthings|glunet|True|False,flyingthings,glunet|True|False,39.164,44.34604660761804,-0.10914598842959361,-0.2961162719841956,-0.34925905852968414,-0.34925905852968414,-0.34925905852968414,-0.9249698893397923,-1.0584090662688719,2.7130293677738804,3.1999257467440443,3.1999257467440443,3.1999257467440443,8.47461187212079,9.697187056504745
movi_f,flyingthings|glunet|True|True,flyingthings,glunet|True|True,39.106,43.78677271158704,-0.10914598842959361,-0.2961162719841956,-0.2533571344110647,-0.2533571344110647,-0.2533571344110647,-0.7376845923722131,-0.7733101918962678,2.7130293677738804,2.3212684044223657,2.3212684044223657,2.3212684044223657,6.758696338602206,7.0850995352440655
movi_f,flyingthings|raft|True|False,flyingthings,raft|True|False,38.9566,45.73656275705612,-0.10914598842959361,-0.2961162719841956,-0.3791035898190177,-0.3791035898190177,-0.3791035898190177,-0.8598074877156064,-1.0583442357531012,2.7130293677738804,3.4733625603066907,3.4733625603066907,3.4733625603066907,7.877591289305508,9.696593076673665
pointodyssey,flyingthings|catspp|False|False,flyingthings,catspp|False|False,64.4318,50.72483146440542,0.20088885817581675,0.5450173718895528,0.5735547541158784,0.5735547541158784,0.5735547541158784,1.594030297595233,1.940100877143959,2.7130293677738804,2.8550849426099414,2.8550849426099414,2.8550849426099414,7.9348865440817375,9.657583276450275
pointodyssey,flyingthings|catspp|False|True,flyingthings,catspp|False|True,63.8607,57.674926905361275,0.20088885817581675,0.5450173718895528,0.5971132099459621,0.5971132099459621,0.5971132099459621,1.6034542056999057,1.9425326401239733,2.7130293677738804,2.9723560349144504,2.9723560349144504,2.9723560349144504,7.9817975982350005,9.669688293135103
pointodyssey,flyingthings|catspp|True|False,flyingthings,catspp|True|False,79.6231,63.80501589941683,0.20088885817581675,0.5450173718895528,0.33200768768469313,0.33200768768469313,0.33200768768469313,1.2255233830831207,1.5691962612583652,2.7130293677738804,1.6526933882720463,1.6526933882720463,1.6526933882720463,6.100504498913273,7.811265769080204
pointodyssey,flyingthings|catspp|True|True,flyingthings,catspp|True|True,79.22595,63.407732064469464,0.20088885817581675,0.5450173718895528,0.29827134089347923,0.29827134089347923,0.29827134089347923,1.2308645090330226,1.565399890859322,2.7130293677738804,1.4847580079948182,1.4847580079948182,1.4847580079948182,6.127091966224315,7.792367904691326
pointodyssey,flyingthings|glunet|False|False,flyingthings,glunet|False|False,71.1769,68.47881705689,0.20088885817581675,0.5450173718895528,0.5997380532459989,0.5997380532459989,0.5997380532459989,1.591429748177726,1.9356957986947105,2.7130293677738804,2.9854221816578383,2.9854221816578383,2.9854221816578383,7.921941329294211,9.635655338339376
pointodyssey,flyingthings|glunet|False|True,flyingthings,glunet|False|True,67.784,64.98923806187781,0.20088885817581675,0.5450173718895528,0.558082050363493,0.558082050363493,0.558082050363493,1.5740226237789816,1.92857284118769,2.7130293677738804,2.778063728527258,2.778063728527258,2.778063728527258,7.835290807424503,9.600198132938832
pointodyssey,flyingthings|glunet|True|False,flyingthings,glunet|True|False,77.7439,74.81517778899892,0.20088885817581675,0.5450173718895528,0.6428294295108088,0.6428294295108088,0.6428294295108088,1.7024551024735661,1.9480568352985477,2.7130293677738804,3.1999257467440443,3.1999257467440443,3.1999257467440443,8.47461187212079,9.697187056504745
