kind,score,split,scratch,pretrained,pooled,n_ctx
fit-free,rule (matched direction),-,0.45618181818181824,0.5543181818181819,0.4997979797979799,90
fit-free,mismatched direction,-,0.22945454545454547,-0.011136363636363639,0.12252525252525252,90
fit-free,average (symmetric),-,0.6032727272727274,0.49409090909090914,0.5547474747474749,90
fit-free,tilted 2:1 to matched,-,0.6125454545454546,0.5390909090909093,0.5798989898989899,90
fit-free,bottleneck: worse of two,-,0.5572727272727274,0.4063636363636364,0.49020202020202025,90
fit-free,best of two,-,0.33727272727272734,0.42954545454545456,0.3782828282828284,90
fit-free,"lexicographic, precision first",-,0.5630909090909092,0.14840909090909093,0.37878787878787884,90
fit-free,"lexicographic, recall first",-,0.37636363636363634,0.4729545454545455,0.41929292929292933,90
fit-free,dispersion-weighted average,-,0.598909090909091,0.5131818181818183,0.560808080808081,90
ols,"linear2 (zP,zR)",LOTO,0.5533333333333333,0.5929292929292929,0.5709315375982044,81
ols,"linear2 (zP,zR)",JOINT,0.5442424242424243,0.581060606060606,0.5606060606060607,81
ols,linear2 + interaction,LOTO,0.545858585858586,0.5911616161616162,0.5659932659932659,81
ols,linear2 + interaction,JOINT,0.5280808080808082,0.6075757575757577,0.5634118967452302,81
ols,linear2 + level-conditioned,LOTO,0.542828282828283,0.5484848484848484,0.5453423120089788,81
ols,linear2 + level-conditioned,JOINT,0.5290909090909092,0.5724747474747474,0.5483726150392818,81
gbm,"gbm depth-2 (zP,zR)",LOTO,0.47737373737373745,0.5431818181818182,0.5066217732884399,81
gbm,"gbm depth-2 (zP,zR)",JOINT,0.5042424242424244,0.539141414141414,0.5197530864197532,81
