src,bench,variant,actual,L2,L2K
flyingthings,flyingthings,catspp|False|False,76.3251,35.28128466704419,35.33485508420198
flyingthings,kitti2012,catspp|False|False,94.359,75.39253418859016,78.38565556698786
flyingthings,kitti2015,catspp|False|False,91.4836,73.5328135833134,76.65803189823708
flyingthings,pfpascal,catspp|False|False,16.4969,44.81808932615521,45.221844134822625
flyingthings,pfwillow,catspp|False|False,17.4889,38.549698500048926,38.41491370795045
flyingthings,pointodyssey,catspp|False|False,46.0158,45.110178923516315,45.99311907790355
flyingthings,spair,catspp|False|False,3.633,34.63293454970919,33.821808835275405
flyingthings,synthetic,catspp|False|False,20.6718,23.91442738578338,22.397142027626575
flyingthings,tss,catspp|False|False,33.5001,38.205960257657225,38.13341184046573
imagenet2dwarp,flyingthings,catspp|False|False,57.94145,36.936469831898265,38.05646028446211
imagenet2dwarp,kitti2012,catspp|False|False,69.0475,77.90703783447027,81.91214146972075
imagenet2dwarp,kitti2015,catspp|False|False,78.94014999999999,77.37543415948922,82.42900020359285
imagenet2dwarp,pfpascal,catspp|False|False,9.00725,47.19957847939079,48.7473448777897
imagenet2dwarp,pfwillow,catspp|False|False,11.4111,40.97851023693438,41.26112770246802
imagenet2dwarp,pointodyssey,catspp|False|False,51.33235,47.73143608527538,49.38069447058362
imagenet2dwarp,spair,catspp|False|False,3.93925,37.09088308268327,34.98655032442344
imagenet2dwarp,synthetic,catspp|False|False,19.63085,26.519506897235892,24.02120138614019
imagenet2dwarp,tss,catspp|False|False,21.05095,40.58195994272894,40.61886355941101
movi_f,flyingthings,catspp|False|False,61.2423,37.282667729900155,39.58362311916362
movi_f,kitti2012,catspp|False|False,86.277,78.8356806468472,82.66381095105224
movi_f,kitti2015,catspp|False|False,84.7086,77.59705938022974,84.1317270634752
movi_f,pfpascal,catspp|False|False,10.5168,47.777473013633944,50.14658776765596
movi_f,pfwillow,catspp|False|False,13.6778,41.88024287226401,42.534300173829514
movi_f,pointodyssey,catspp|False|False,84.7224,48.717712426434616,50.208210376418165
movi_f,spair,catspp|False|False,3.0896,39.049413621614555,36.92345991292533
movi_f,synthetic,catspp|False|False,15.2654,28.03828565946295,24.528670728735026
movi_f,tss,catspp|False|False,24.3569,41.77632421319336,41.9399535910592
pointodyssey,flyingthings,catspp|False|False,64.4318,37.36211927613938,39.13891583200967
pointodyssey,kitti2012,catspp|False|False,87.0735,78.39955618109285,82.16650792777774
pointodyssey,kitti2015,catspp|False|False,85.69685,76.99430684843841,82.5214285116174
pointodyssey,pfpascal,catspp|False|False,12.26865,47.598161112134676,49.41934948887022
pointodyssey,pfwillow,catspp|False|False,15.5,41.5249303165608,41.91426249419004
pointodyssey,pointodyssey,catspp|False|False,68.8301,48.09829947619879,49.24666699145882
pointodyssey,spair,catspp|False|False,3.1626,38.24496767161959,36.89845498151821
pointodyssey,synthetic,catspp|False|False,17.907249999999998,27.16601946266886,24.052227639247604
pointodyssey,tss,catspp|False|False,27.7243,41.32976248793436,41.46194948911156
sintel,flyingthings,catspp|False|False,70.7445,38.47208911119347,42.233883911770306
sintel,kitti2012,catspp|False|False,91.745,78.41517588346213,82.02257317689103
sintel,kitti2015,catspp|False|False,89.5554,77.01335593446386,82.99488584669082
sintel,pfpascal,catspp|False|False,15.8031,48.475024515855296,51.884297922027756
