split,family,gap_bin,acc,n,measure
JOINT,appearance,0-1,0.5487977369165488,707,predictor_accuracy
JOINT,appearance,1-2,0.5703517587939698,398,predictor_accuracy
JOINT,appearance,2-5,0.5147579693034239,847,predictor_accuracy
JOINT,appearance,5-10,0.4514038876889849,926,predictor_accuracy
JOINT,appearance,>10,0.42675967025998734,1577,predictor_accuracy
JOINT,motion_meannn_sym,0-1,0.5884016973125884,707,predictor_accuracy
JOINT,motion_meannn_sym,1-2,0.5703517587939698,398,predictor_accuracy
JOINT,motion_meannn_sym,2-5,0.6056670602125147,847,predictor_accuracy
JOINT,motion_meannn_sym,5-10,0.6900647948164147,926,predictor_accuracy
JOINT,motion_meannn_sym,>10,0.7564996829422955,1577,predictor_accuracy
JOINT,motion_policy,0-1,0.5473833097595474,707,predictor_accuracy
JOINT,motion_policy,1-2,0.5879396984924623,398,predictor_accuracy
JOINT,motion_policy,2-5,0.6363636363636364,847,predictor_accuracy
JOINT,motion_policy,5-10,0.7051835853131749,926,predictor_accuracy
JOINT,motion_policy,>10,0.781864299302473,1577,predictor_accuracy
JOINT,motion_rule,0-1,0.5176803394625177,707,predictor_accuracy
JOINT,motion_rule,1-2,0.6030150753768844,398,predictor_accuracy
JOINT,motion_rule,2-5,0.6528925619834711,847,predictor_accuracy
JOINT,motion_rule,5-10,0.683585313174946,926,predictor_accuracy
JOINT,motion_rule,>10,0.7907419150285352,1577,predictor_accuracy
LOBO,appearance,0-1,0.5502121640735502,707,predictor_accuracy
LOBO,appearance,1-2,0.535175879396985,398,predictor_accuracy
LOBO,appearance,2-5,0.5454545454545454,847,predictor_accuracy
LOBO,appearance,5-10,0.5475161987041036,926,predictor_accuracy
LOBO,appearance,>10,0.6093849080532657,1577,predictor_accuracy
LOBO,motion_meannn_sym,0-1,0.5770862800565771,707,predictor_accuracy
LOBO,motion_meannn_sym,1-2,0.542713567839196,398,predictor_accuracy
LOBO,motion_meannn_sym,2-5,0.6127508854781583,847,predictor_accuracy
LOBO,motion_meannn_sym,5-10,0.6846652267818575,926,predictor_accuracy
LOBO,motion_meannn_sym,>10,0.7412809131261889,1577,predictor_accuracy
LOBO,motion_policy,0-1,0.5841584158415841,707,predictor_accuracy
LOBO,motion_policy,1-2,0.6407035175879398,398,predictor_accuracy
LOBO,motion_policy,2-5,0.6658795749704841,847,predictor_accuracy
LOBO,motion_policy,5-10,0.6889848812095032,926,predictor_accuracy
LOBO,motion_policy,>10,0.7761572606214331,1577,predictor_accuracy
LOBO,motion_rule,0-1,0.5615275813295615,707,predictor_accuracy
