split,family,n_contexts,mean_regret,median_regret,p_within1,p_oracle_top3,random_mean_regret
LOTO,motion_policy,81,6.778945061728394,1.1889000000000003,0.4691358024691358,0.5555555555555556,13.933933487654322
LOTO,motion_rule,81,9.201755555555554,3.9444000000000017,0.38271604938271603,0.5185185185185185,13.933933487654322
LOTO,motion_meannn_sym,81,6.999512962962962,3.119500000000002,0.35802469135802467,0.5061728395061729,13.933933487654322
LOTO,appearance,81,23.417146141975312,14.683399999999992,0.06172839506172839,0.20987654320987653,13.933933487654322
LOBO,motion_policy,81,7.356364197530863,2.0878000000000014,0.43209876543209874,0.5555555555555556,13.933933487654322
LOBO,motion_rule,81,10.076559259259257,4.653700000000001,0.345679012345679,0.5555555555555556,13.933933487654322
LOBO,motion_meannn_sym,81,6.42562962962963,3.119500000000002,0.35802469135802467,0.5679012345679012,13.933933487654322
LOBO,appearance,81,15.718096604938273,8.025,0.18518518518518517,0.38271604938271603,13.933933487654322
JOINT,motion_policy,81,7.102838271604938,2.775099999999995,0.4074074074074074,0.49382716049382713,13.933933487654322
JOINT,motion_rule,81,6.978993209876542,3.9444000000000017,0.37037037037037035,0.6172839506172839,13.933933487654322
JOINT,motion_meannn_sym,81,5.999316049382716,2.730799999999988,0.38271604938271603,0.5432098765432098,13.933933487654322
JOINT,appearance,81,21.961566203703704,14.2477,0.07407407407407407,0.32098765432098764,13.933933487654322
