ctx_rho_g_gap,ctx_rho_g_gap_lo,ctx_rho_g_gap_hi,ctx_rho_g_gap_p_gt_0,cent_rho_g_gap,cent_rho_g_gap_lo,cent_rho_g_gap_hi,cent_rho_g_gap_p_gt_0,abs_r_Lg_gap,abs_r_Lg_gap_lo,abs_r_Lg_gap_hi,abs_r_Lg_gap_p_gt_0,target,split,head,n_boot
0.3265993265993266,-0.227291269870154,0.8232402371291263,0.875,0.2808159741356694,-0.2651810260687648,0.7544833964218416,0.865,0.04647422620802921,-0.02946893260580662,0.12093136147451228,0.86,peak_pck,LOTO,g,200
0.3210998877665544,-0.21344840027821246,0.7007349713503503,0.875,0.25360036263951213,-0.2658587123707509,0.6853123147252195,0.84,0.008477321191965315,-0.07669141579996941,0.08025378200729978,0.605,peak_pck,LOTO,g_zridge,200
,,,,,,,,0.0,0.0,0.0,0.0,peak_pck,LOTO,g_rank,200
,,,,,,,,0.0,0.0,0.0,0.0,peak_pck,LOTO,g_gbm,200
0.16677890011223345,0.0634680134680134,0.2626565656565657,1.0,0.13576506286459242,0.0015429624646911763,0.25962729259199013,0.975,0.04280194542370164,-0.2562241691616272,0.4144574791520117,0.55,peak_pck,LOBO,g,200
0.10965207631874296,0.02531060606060606,0.19779797979797983,0.995,0.10789395792006742,-0.0033351071651890715,0.25170596682008656,0.97,0.05547143566030144,-0.20684920898206496,0.4020379094276101,0.565,peak_pck,LOBO,g_zridge,200
,,,,,,,,0.0446377481758502,-0.23420748375151493,0.4502157710501289,0.6,peak_pck,LOBO,g_rank,200
,,,,,,,,0.0446377481758502,-0.22092722124657485,0.42567206907447314,0.585,peak_pck,LOBO,g_gbm,200
0.29921436588103256,0.08162448939849404,0.5182907569657866,0.995,0.2888741333084469,0.08048857296024327,0.5623517114426348,0.995,0.7355866345037931,0.5691047676430729,0.9070817627750374,1.0,peak_pck,JOINT,g,200
0.285297418630752,0.011042930462902676,0.46379201441649054,0.975,0.2495944956421871,0.000631594844761607,0.47582427157554563,0.975,0.5285395023079412,0.42608313268018055,0.6210246987427236,1.0,peak_pck,JOINT,g_zridge,200
,,,,,,,,0.0,0.0,0.0,0.0,peak_pck,JOINT,g_rank,200
,,,,,,,,0.0,0.0,0.0,0.0,peak_pck,JOINT,g_gbm,200
