ctx_rho_g,ctx_rho_g_lo,ctx_rho_g_hi,cent_rho_g,cent_rho_g_lo,cent_rho_g_hi,ctx_rho_L,ctx_rho_L_lo,ctx_rho_L_hi,ctx_rho_Lg,ctx_rho_Lg_lo,ctx_rho_Lg_hi,abs_r_Lg,abs_r_Lg_lo,abs_r_Lg_hi,target,split,family,label,head,n_rows
0.2164983164983165,-0.11579999680990205,0.4453898189664493,0.2214238541571543,-0.048571144982417956,0.4522900284087816,-1.0,-1.0,-1.0,0.11773288439955107,-0.19672368594052286,0.36993336907590957,0.8707725175678818,0.8050257265087454,0.942496785542598,peak_pck,LOTO,motion,main,g,891
0.2531986531986532,-0.007161054776872281,0.4597675216129136,0.28067053022965754,-0.08816478138621535,0.48022187380662446,-1.0,-1.0,-1.0,0.09102132435465769,-0.24382558726846673,0.3546055282166394,0.834952258593336,0.7226596619891756,0.9434933918850575,peak_pck,LOTO,motion,main,g_zridge,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.7741022702124982,0.9580920079773404,peak_pck,LOTO,motion,main,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.7815525847005464,0.9649142394030059,peak_pck,LOTO,motion,main,g_gbm,891
-0.06026936026936027,-0.12101062302612692,0.003245262929752216,-0.08174632183529668,-0.15676244856060853,-0.01247326722761575,-1.0,-1.0,-1.0,-0.7167227833894501,-0.7329259136966905,-0.6229021034164963,0.8761897428496273,0.8462907349565771,0.9045297024053163,peak_pck,LOTO,motion,shuffle,g,891
-0.045454545454545456,-0.08878846949022388,0.0076961731566509055,-0.07083953184623311,-0.15361273500500752,0.04738588451429327,-1.0,-1.0,-1.0,-0.8300785634118969,-0.842757975319375,-0.7431078967987276,0.8760099415085478,0.850693497500359,0.8996449282327896,peak_pck,LOTO,motion,shuffle,g_zridge,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8468127036667582,0.907320720535915,peak_pck,LOTO,motion,shuffle,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.877190969503894,0.8508235012805234,0.8968636188357122,peak_pck,LOTO,motion,shuffle,g_gbm,891
-0.1101010101010101,-0.46127018618941995,0.29396597554492304,-0.05939211997851508,-0.4113923385090885,0.3237521709555845,-1.0,-1.0,-1.0,-0.21604938271604937,-0.5317511234394844,0.1725618760706483,0.8242982913598526,0.69304542397127,0.9413892358375144,peak_pck,LOTO,appearance,main,g,891
-0.06790123456790123,-0.46307997001005563,0.3442360994051196,0.02707016759014542,-0.4094205799446077,0.33924859631575194,-1.0,-1.0,-1.0,-0.24276094276094276,-0.5966498992001666,0.2736746034134532,0.8264749374013707,0.7156481023549307,0.9424901377554529,peak_pck,LOTO,appearance,main,g_zridge,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.7427482591241865,0.9597149942685225,peak_pck,LOTO,appearance,main,g_rank,891
,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8771909695038941,0.7778756722878691,0.959871140956559,peak_pck,LOTO,appearance,main,g_gbm,891
-0.059595959595959584,-0.1370020869249614,0.015527987534460051,-0.003536752666105886,-0.19882168951236143,0.0325322476463503,-1.0,-1.0,-1.0,-0.7419753086419754,-0.8100536943190947,-0.62536582538491,0.8760854214573833,0.8409538811502544,0.9030218137090416,peak_pck,LOTO,appearance,shuffle,g,891
-0.07261503928170594,-0.145631292000345,0.007753547940463828,-0.034975016790908364,-0.18373038715004328,0.038098113638449733,-1.0,-1.0,-1.0,-0.870482603815937,-0.9393927042010893,-0.7169680538995818,0.8768034486554633,0.851582958915416,0.9046687800043759,peak_pck,LOTO,appearance,shuffle,g_zridge,891
