train_dataset,context_id,benchmark,variant,actual,L,g,g_global_gain,g_variant_gain,g_context_gain,g_shrink_gain,g_benchsim_gain,g_profilesim_gain,gain_global,gain_variant,gain_context,gain_shrink,gain_benchsim,gain_profilesim
flyingthings,flyingthings|catspp|False|False,flyingthings,catspp|False|False,76.3251,38.69692231190461,0.2854497816026012,0.6239891953136637,0.5447219111213869,0.5447219111213869,0.5447219111213869,1.6669421894186247,1.8652417033332873,2.1859858914951698,1.9082933189269011,1.9082933189269011,1.9082933189269011,5.839703852845528,6.534395272125477
flyingthings,flyingthings|catspp|False|True,flyingthings,catspp|False|True,76.5009,52.39873857124854,0.2854497816026012,0.6239891953136637,0.5670960732929017,0.5670960732929017,0.5670960732929017,1.8401827362899565,2.0984332642676353,2.1859858914951698,1.986675449912952,1.986675449912952,1.986675449912952,6.446607616788548,7.351322017086151
flyingthings,flyingthings|catspp|True|False,flyingthings,catspp|True|False,85.2977,60.314613578414345,0.3004620685806365,0.6568058428467255,0.6042445986327748,0.6042445986327748,0.6042445986327748,2.262917602237835,2.8954062427998792,2.1859858914951698,2.0110511835560057,2.0110511835560057,2.0110511835560057,7.531458506318992,9.636511711703218
flyingthings,flyingthings|catspp|True|True,flyingthings,catspp|True|True,85.2894,57.34913081961954,0.3004620685806365,0.6568058428467255,0.5428454019203398,0.5428454019203398,0.5428454019203398,2.2578090392912396,2.8899368621208437,2.1859858914951698,1.8067019390657417,1.8067019390657417,1.8067019390657417,7.514456150678135,9.618308479911356
flyingthings,flyingthings|glunet|False|False,flyingthings,glunet|False|False,79.5401,65.6658994676007,0.2854497816026012,0.6239891953136637,0.5695889645967045,0.5695889645967045,0.5695889645967045,1.83369640767698,2.0863036398281443,2.1859858914951698,1.995408654365963,1.995408654365963,1.995408654365963,6.423884430326256,7.3088289930193895
flyingthings,flyingthings|glunet|False|True,flyingthings,glunet|False|True,72.9905,65.58451497083492,0.2854497816026012,0.6239891953136637,0.5300270268095891,0.5300270268095891,0.5300270268095891,1.7166658181176404,2.004308656608605,2.1859858914951698,1.8568135657132316,1.8568135657132316,1.8568135657132316,6.013897815860151,7.021580627442806
flyingthings,flyingthings|glunet|True|False,flyingthings,glunet|True|False,85.8465,76.06865267827337,0.3004620685806365,0.6568058428467255,1.1699313751824376,1.1699313751824376,1.1699313751824376,2.7186494066248286,2.900990709463227,2.1859858914951698,3.8937739486022918,3.8937739486022918,3.8937739486022918,9.048228348648312,9.655097973489035
flyingthings,flyingthings|glunet|True|True,flyingthings,glunet|True|True,81.4831,73.85115185589177,0.3004620685806365,0.6568058428467255,0.8486836731498152,0.8486836731498152,0.8486836731498152,2.6335160206439645,2.89427644196321,2.1859858914951698,2.824595055072816,2.824595055072816,2.824595055072816,8.764886806126727,9.632751500499168
flyingthings,flyingthings|raft|True|False,flyingthings,raft|True|False,79.60585,31.059959539812034,0.3211136241305046,0.701949851916166,0.7524092908242195,0.7524092908242195,0.7524092908242195,1.7935377155491738,2.057486043395929,2.1859858914951698,2.3431247828912762,2.3431247828912762,2.3431247828912762,5.5853678597587555,6.407345838928781
imagenet2dwarp,flyingthings|catspp|False|False,flyingthings,catspp|False|False,57.94145,38.611050056221515,0.26424564165602066,0.5776372445491494,0.5042581925277363,0.5042581925277363,0.5042581925277363,1.5431162916763024,1.7266854715168642,2.1859858914951698,1.9082933189269011,1.9082933189269011,1.9082933189269011,5.839703852845528,6.534395272125477
imagenet2dwarp,flyingthings|catspp|False|True,flyingthings,catspp|False|True,60.329,37.110599827475895,0.26424564165602066,0.5776372445491494,0.5249703290245116,0.5249703290245116,0.5249703290245116,1.7034879662028801,1.942554803424962,2.1859858914951698,1.986675449912952,1.986675449912952,1.986675449912952,6.446607616788548,7.351322017086151
imagenet2dwarp,flyingthings|catspp|True|False,flyingthings,catspp|True|False,78.9297,40.36852439180285,-0.04087417150676008,-0.0893503622403314,-0.08220005098554102,-0.08220005098554102,-0.08220005098554102,-0.30784212668332955,-0.3938844324310595,2.1859858914951698,2.0110511835560057,2.0110511835560057,2.0110511835560057,7.531458506318992,9.636511711703218
imagenet2dwarp,flyingthings|catspp|True|True,flyingthings,catspp|True|True,79.9519,45.74991766319375,-0.04087417150676008,-0.0893503622403314,-0.07384744491896912,-0.07384744491896912,-0.07384744491896912,-0.30714716948284626,-0.3931403904128216,2.1859858914951698,1.8067019390657417,1.8067019390657417,1.8067019390657417,7.514456150678135,9.618308479911356
imagenet2dwarp,flyingthings|glunet|False|False,flyingthings,glunet|False|False,54.827,56.249802238389634,0.26424564165602066,0.5776372445491494,0.5272780402389107,0.5272780402389107,0.5272780402389107,1.697483463215682,1.9313262070145358,2.1859858914951698,1.995408654365963,1.995408654365963,1.995408654365963,6.423884430326256,7.3088289930193895
imagenet2dwarp,flyingthings|glunet|False|True,flyingthings,glunet|False|True,48.8918,53.50788991508969,0.26424564165602066,0.5776372445491494,0.4906548921074966,0.4906548921074966,0.4906548921074966,1.5891462872057067,1.8554220783381086,2.1859858914951698,1.8568135657132316,1.8568135657132316,1.8568135657132316,6.013897815860151,7.021580627442806
imagenet2dwarp,flyingthings|glunet|True|False,flyingthings,glunet|True|False,11.3571,18.84106135444956,-0.04087417150676008,-0.0893503622403314,-0.15915478418372447,-0.15915478418372447,-0.15915478418372447,-0.36983883735497963,-0.3946441304829625,2.1859858914951698,3.8937739486022918,3.8937739486022918,3.8937739486022918,9.048228348648312,9.655097973489035
imagenet2dwarp,flyingthings|glunet|True|True,flyingthings,glunet|True|True,66.7997,68.54821088244066,-0.04087417150676008,-0.0893503622403314,-0.11545298271819271,-0.11545298271819271,-0.11545298271819271,-0.3582574865509624,-0.3937307369134035,2.1859858914951698,2.824595055072816,2.824595055072816,2.824595055072816,8.764886806126727,9.632751500499168
imagenet2dwarp,flyingthings|raft|True|False,flyingthings,raft|True|False,4.28145,5.025546213198981,0.29990948418392405,0.6555979011516517,0.7027253450154917,0.7027253450154917,0.7027253450154917,1.6751047937977162,1.9216237855411429,2.1859858914951698,2.3431247828912762,2.3431247828912762,2.3431247828912762,5.5853678597587555,6.407345838928781
movi_f,flyingthings|catspp|False|False,flyingthings,catspp|False|False,61.2423,59.37921701112633,0.3394516861426052,0.7420365967519813,0.6477733847644048,0.6477733847644048,0.6477733847644048,1.9822973194218823,2.2181114930452606,2.1859858914951698,1.9082933189269011,1.9082933189269011,1.9082933189269011,5.839703852845528,6.534395272125477
movi_f,flyingthings|catspp|False|True,flyingthings,catspp|False|True,61.1514,58.5638919316027,0.3394516861426052,0.7420365967519813,0.6743803312910703,0.6743803312910703,0.6743803312910703,2.1883118254186344,2.4954186540771515,2.1859858914951698,1.986675449912952,1.986675449912952,1.986675449912952,6.446607616788548,7.351322017086151
movi_f,flyingthings|catspp|True|False,flyingthings,catspp|True|False,77.7052,75.19655929930636,-0.562757839962034,-1.230180698485303,-1.1317348201110697,-1.1317348201110697,-1.1317348201110697,-4.238387320779763,-5.423022515646946,2.1859858914951698,2.0110511835560057,2.0110511835560057,2.0110511835560057,7.531458506318992,9.636511711703218
movi_f,flyingthings|catspp|True|True,flyingthings,catspp|True|True,77.9071,75.91583910338952,-0.562757839962034,-1.230180698485303,-1.0167356806838552,-1.0167356806838552,-1.0167356806838552,-4.2288191118450476,-5.4127785042434295,2.1859858914951698,1.8067019390657417,1.8067019390657417,1.8067019390657417,7.514456150678135,9.618308479911356
movi_f,flyingthings|glunet|False|False,flyingthings,glunet|False|False,41.9398,47.14843443474151,0.3394516861426052,0.7420365967519813,0.6773448322680731,0.6773448322680731,0.6773448322680731,2.180598401459476,2.480994325408391,2.1859858914951698,1.995408654365963,1.995408654365963,1.995408654365963,6.423884430326256,7.3088289930193895
movi_f,flyingthings|glunet|False|True,flyingthings,glunet|False|True,43.0123,48.105105224036855,0.3394516861426052,0.7420365967519813,0.6302984957338195,0.6302984957338195,0.6302984957338195,2.0414277538830587,2.3834873833717123,2.1859858914951698,1.8568135657132316,1.8568135657132316,1.8568135657132316,6.013897815860151,7.021580627442806
movi_f,flyingthings|glunet|True|False,flyingthings,glunet|True|False,39.164,44.34604660761804,-0.562757839962034,-1.230180698485303,-2.191251816615866,-2.191251816615866,-2.191251816615866,-5.091961440968566,-5.433482080182501,2.1859858914951698,3.8937739486022918,3.8937739486022918,3.8937739486022918,9.048228348648312,9.655097973489035
movi_f,flyingthings|glunet|True|True,flyingthings,glunet|True|True,39.106,43.78677271158704,-0.562757839962034,-1.230180698485303,-1.5895630119602204,-1.5895630119602204,-1.5895630119602204,-4.932508766527608,-5.420906427311953,2.1859858914951698,2.824595055072816,2.824595055072816,2.824595055072816,8.764886806126727,9.632751500499168
movi_f,flyingthings|raft|False|False,flyingthings,raft|False|False,38.9566,45.73656275705612,-0.017186739136428528,-0.03756996927304064,-0.03756996927304064,-0.03756996927304064,-0.03756996927304064,-0.03756996927304064,-0.03756996927304064,2.1859858914951698,2.1859858914951698,2.1859858914951698,2.1859858914951698,2.1859858914951698,2.1859858914951698
pointodyssey,flyingthings|catspp|False|False,flyingthings,catspp|False|False,64.4318,50.72483146440542,0.3360377187627309,0.7345737122255515,0.6412585336223564,0.6412585336223564,0.6412585336223564,1.9623607609601417,2.1958032807390198,2.1859858914951698,1.9082933189269011,1.9082933189269011,1.9082933189269011,5.839703852845528,6.534395272125477
pointodyssey,flyingthings|catspp|False|True,flyingthings,catspp|False|True,63.8607,57.674926905361275,0.3360377187627309,0.7345737122255515,0.6675978861106705,0.6675978861106705,0.6675978861106705,2.1663033173040693,2.470321480511868,2.1859858914951698,1.986675449912952,1.986675449912952,1.986675449912952,6.446607616788548,7.351322017086151
pointodyssey,flyingthings|catspp|True|False,flyingthings,catspp|True|False,79.6231,63.80501589941683,-0.022670798980243285,-0.049558046719734905,-0.045592137121378544,-0.045592137121378544,-0.045592137121378544,-0.17074418182480122,-0.21846741988678378,2.1859858914951698,2.0110511835560057,2.0110511835560057,2.0110511835560057,7.531458506318992,9.636511711703218
pointodyssey,flyingthings|catspp|True|True,flyingthings,catspp|True|True,79.22595,63.407732064469464,-0.022670798980243285,-0.049558046719734905,-0.040959376477775186,-0.040959376477775186,-0.040959376477775186,-0.17035872483787673,-0.2180547380780397,2.1859858914951698,1.8067019390657417,1.8067019390657417,1.8067019390657417,7.514456150678135,9.618308479911356
pointodyssey,flyingthings|glunet|False|False,flyingthings,glunet|False|False,71.1769,68.47881705689,0.3360377187627309,0.7345737122255515,0.6705325722125488,0.6705325722125488,0.6705325722125488,2.15866746956226,2.4560422216411433,2.1859858914951698,1.995408654365963,1.995408654365963,1.995408654365963,6.423884430326256,7.3088289930193895
pointodyssey,flyingthings|glunet|False|True,flyingthings,glunet|False|True,67.784,64.98923806187781,0.3360377187627309,0.7345737122255515,0.6239593947899665,0.6239593947899665,0.6239593947899665,2.020896502913815,2.3595159361544655,2.1859858914951698,1.8568135657132316,1.8568135657132316,1.8568135657132316,6.013897815860151,7.021580627442806
pointodyssey,flyingthings|glunet|True|False,flyingthings,glunet|True|False,77.7439,74.81517778899892,-0.022670798980243285,-0.049558046719734905,-0.08827496646327071,-0.08827496646327071,-0.08827496646327071,-0.20513056601954452,-0.21888878529152422,2.1859858914951698,3.8937739486022918,3.8937739486022918,3.8937739486022918,9.048228348648312,9.655097973489035
pointodyssey,flyingthings|glunet|True|True,flyingthings,glunet|True|True,76.6361,76.43225507586112,-0.022670798980243285,-0.049558046719734905,-0.06403582669414502,-0.06403582669414502,-0.06403582669414502,-0.19870698686628563,-0.21838217289445352,2.1859858914951698,2.824595055072816,2.824595055072816,2.824595055072816,8.764886806126727,9.632751500499168
pointodyssey,flyingthings|raft|True|False,flyingthings,raft|True|False,57.27595,44.643299700210214,0.3717015612906343,0.8125343688280537,0.8709431400994659,0.8709431400994659,0.8709431400994659,2.076089953854858,2.381620452058877,2.1859858914951698,2.3431247828912762,2.3431247828912762,2.3431247828912762,5.5853678597587555,6.407345838928781
sintel,flyingthings|catspp|False|False,flyingthings,catspp|False|False,70.7445,39.56160370713234,0.33514241076327783,0.7326165815702043,0.6395500233486182,0.6395500233486182,0.6395500233486182,1.957132427386252,2.189952984380297,2.1859858914951698,1.9082933189269011,1.9082933189269011,1.9082933189269011,5.839703852845528,6.534395272125477
sintel,flyingthings|catspp|False|True,flyingthings,catspp|False|True,69.0867,37.515135939639244,0.33514241076327783,0.7326165815702043,0.6658191996880464,0.6658191996880464,0.6658191996880464,2.1605316179354235,2.463739783103415,2.1859858914951698,1.986675449912952,1.986675449912952,1.986675449912952,6.446607616788548,7.351322017086151
sintel,flyingthings|catspp|True|False,flyingthings,catspp|True|False,82.138,56.89526605662227,-0.049049186020258435,-0.10722082862960705,-0.09864042359849941,-0.09864042359849941,-0.09864042359849941,-0.369411909280298,-0.47266305553373017,2.1859858914951698,2.0110511835560057,2.0110511835560057,2.0110511835560057,7.531458506318992,9.636511711703218
sintel,flyingthings|catspp|True|True,flyingthings,catspp|True|True,82.249,64.6845594484282,-0.049049186020258435,-0.10722082862960705,-0.08861725949239718,-0.08861725949239718,-0.08861725949239718,-0.368577957575687,-0.4717702018314012,2.1859858914951698,1.8067019390657417,1.8067019390657417,1.8067019390657417,7.514456150678135,9.618308479911356
sintel,flyingthings|glunet|False|False,flyingthings,glunet|False|False,64.4604,60.11992446013065,0.33514241076327783,0.7326165815702043,0.668746066882117,0.668746066882117,0.668746066882117,2.152916114444227,2.4494985685770585,2.1859858914951698,1.995408654365963,1.995408654365963,1.995408654365963,6.423884430326256,7.3088289930193895
sintel,flyingthings|glunet|False|True,flyingthings,glunet|False|True,61.0606,59.078181121056026,0.33514241076327783,0.7326165815702043,0.6222969747510905,0.6222969747510905,0.6222969747510905,2.015512212091382,2.353229458849911,2.1859858914951698,1.8568135657132316,1.8568135657132316,1.8568135657132316,6.013897815860151,7.021580627442806
sintel,flyingthings|glunet|True|False,flyingthings,glunet|True|False,70.575,66.78358643319955,-0.049049186020258435,-0.10722082862960705,-0.19098644272583,-0.19098644272583,-0.19098644272583,-0.44380823542662684,-0.4735746965454839,2.1859858914951698,3.8937739486022918,3.8937739486022918,3.8937739486022918,9.048228348648312,9.655097973489035
sintel,flyingthings|glunet|True|True,flyingthings,glunet|True|True,69.7732,68.02044001384611,-0.049049186020258435,-0.10722082862960705,-0.13854408828816867,-0.13854408828816867,-0.13854408828816867,-0.42991056340021866,-0.4724786202349073,2.1859858914951698,2.824595055072816,2.824595055072816,2.824595055072816,8.764886806126727,9.632751500499168
sintel,flyingthings|raft|True|False,flyingthings,raft|True|False,63.2297,53.845783269912886,0.3708062532911812,0.8105772381727065,0.8688453217376266,0.8688453217376266,0.8688453217376266,2.071089329330128,2.3758839040740214,2.1859858914951698,2.3431247828912762,2.3431247828912762,2.3431247828912762,5.5853678597587555,6.407345838928781
spair,flyingthings|catspp|False|False,flyingthings,catspp|False|False,3.3861,4.018401911580566,-0.945095218038522,-2.0659648127517602,-1.8035188903326744,-1.8035188903326744,-1.8035188903326744,-5.519076186085441,-6.175625724459315,2.1859858914951698,1.9082933189269011,1.9082933189269011,1.9082933189269011,5.839703852845528,6.534395272125477
