source,benchmark,dBT_flow_eq,dTB_flow_eq
flyingthings,flyingthings,0.0016902265349410081,0.00864106712026052
flyingthings,kitti2012,0.0005882258255494314,0.10875416190883744
flyingthings,kitti2015,0.0007777970905715933,0.08630100053985833
flyingthings,pointodyssey,0.0004288191990517183,0.04206061222497422
flyingthings,synthetic,0.05365645177852014,0.009355371032855855
flyingthings,spair,0.03310414639261198,0.006930581486555494
flyingthings,pfpascal,0.004163429394930722,0.03546489979377193
flyingthings,pfwillow,0.005906227447886886,0.030097578507802435
flyingthings,tss,0.010968480059042163,0.031066187615866582
imagenet2dwarp,flyingthings,0.0035432548458140833,0.003657585526363145
imagenet2dwarp,kitti2012,0.0010081087334661996,0.06612298240058422
imagenet2dwarp,kitti2015,0.0011013775313671044,0.04797071492092079
imagenet2dwarp,pointodyssey,0.0009902525537967735,0.015872594050754772
imagenet2dwarp,synthetic,0.1341182122806875,0.002359913901260342
imagenet2dwarp,spair,0.08572550846563118,0.002201960180591106
imagenet2dwarp,pfpascal,0.0042225030473173756,0.01421076514569909
imagenet2dwarp,pfwillow,0.008009305495697163,0.008389853781841644
imagenet2dwarp,tss,0.0241401154874625,0.007967120142857916
movi_f,flyingthings,0.014267301559888933,0.0012541185679178567
movi_f,kitti2012,0.0009181514466409263,0.018353544458338998
movi_f,kitti2015,0.0022009279971828203,0.008396449404783743
movi_f,pointodyssey,0.0020763935744723813,0.0032614439404356666
movi_f,synthetic,0.3111483643604635,0.0019554860173939866
movi_f,spair,0.2967955535704554,0.0019167343893553453
movi_f,pfpascal,0.05322463563353218,0.007378562178964979
movi_f,pfwillow,0.06735062696375305,0.004044446121220885
movi_f,tss,0.07615728678611788,0.0012437596374130432
pointodyssey,flyingthings,0.0050480791857114345,0.0032925297195699386
pointodyssey,kitti2012,0.0007447427338164467,0.061688023601140236
pointodyssey,kitti2015,0.0011871954499098859,0.04226670067997352
pointodyssey,pointodyssey,0.000553222046036664,0.007232502369337964
pointodyssey,synthetic,0.15670991809483606,0.0021134070509290703
pointodyssey,spair,0.12074125703150108,0.0021411071121035293
pointodyssey,pfpascal,0.011777815969652203,0.011004670294455407
pointodyssey,pfwillow,0.01576023366420967,0.005254197018327324
pointodyssey,tss,0.03000312282472455,0.003562318374576337
sintel,flyingthings,0.005090604678857255,0.004645113315239467
sintel,kitti2012,0.0007789151407471654,0.10001365591087785
sintel,kitti2015,0.0012106566965816605,0.06812431110002043
sintel,pointodyssey,0.000793883036345774,0.023933612915709602
sintel,synthetic,0.20880122350223873,0.0035196680541557702
sintel,spair,0.15224606305923008,0.0025403827232768645
sintel,pfpascal,0.016861720823177162,0.02164061873856497
sintel,pfwillow,0.029069230672692615,0.016031936930713964
sintel,tss,0.04628330705814589,0.03127757786101843
spair,flyingthings,0.0022662040865940383,0.007898151339040479
spair,kitti2012,0.0015832592500946905,0.10352110512958983
spair,kitti2015,0.0017585336151249202,0.0853700971077187
spair,pointodyssey,0.0017155382640464479,0.03718840176235145
spair,synthetic,0.0065779391507176785,0.002563345430495073
spair,spair,0.007024562131837161,0.002463997244326201
spair,pfpascal,0.002754603330795329,0.03175691498706941
spair,pfwillow,0.002857751968533669,0.01686025360422942
spair,tss,0.0027731855325015408,0.010958549666167836
synthetic,flyingthings,0.0022045337880966095,0.007209739096784767
synthetic,kitti2012,0.0015317111553278854,0.10361333242675289
synthetic,kitti2015,0.001660959890988939,0.08187091202444738
synthetic,pointodyssey,0.0017287670645853067,0.03557934936195382
synthetic,synthetic,0.02224179308721501,0.0024536654021692977
synthetic,spair,0.012482411395880357,0.0027478038269354724
synthetic,pfpascal,0.00275648950365921,0.030361561428172333
synthetic,pfwillow,0.0031765254729096185,0.021244455475235183
synthetic,tss,0.004962498465858215,0.019895865646072482
synthetic_2d_warp,flyingthings,0.002059684742843601,0.007079415562766793
synthetic_2d_warp,kitti2012,0.0013863517240022948,0.10075355118619984
synthetic_2d_warp,kitti2015,0.0014697450401660347,0.07937089495755593
synthetic_2d_warp,pointodyssey,0.0014078430139742963,0.0348729401624231
synthetic_2d_warp,synthetic,0.01936377100083294,0.002712290617445145
synthetic_2d_warp,spair,0.012656056162998511,0.002810449918321573
synthetic_2d_warp,pfpascal,0.0028300292333083717,0.030366539854718128
