source,xy_entropy,flow_entropy,moving_frac,mean_mag,median_mag,log_n_raw
flyingthings,6.927485462649217,2.4601651939411857,0.9392166666666667,0.10770916193723679,0.057157158851623535,7.077817158543487
imagenet2dwarp,6.9136714656359555,6.77590962247549,0.9993166666666666,0.3134101927280426,0.30071181058883667,7.010299956639812
movi_f,6.927476377035658,2.347817775202709,0.3901833333333333,0.01527258101850748,0.0069795046001672745,7.204119982655925
pointodyssey,6.767761954219942,2.330193328273316,0.4741166666666667,0.0364355631172657,0.008734640665352345,7.204119982655925
sintel,6.925316278762581,2.4725292894161672,0.5504083333333334,0.041049014776945114,0.012232438661158085,6.3287806818143295
spair,6.6538152650642575,6.458681438419871,0.9997416666666666,0.632427453994751,0.5744061470031738,5.570094404358524
synthetic,6.853451382170741,5.3393306904513,0.9982416666666667,0.32674863934516907,0.26930469274520874,7.204119982655925
synthetic_2d_warp,6.85805905145049,5.262565304300454,0.9981,0.32373738288879395,0.2657398581504822,7.204119982655925
synthetic_large_zoom,6.866859233804757,3.664122125205143,0.975725,0.14942869544029236,0.10832362622022629,7.204119982655925
synthetic_random_flipping,6.857708274292208,6.1360382178413575,0.9989666666666667,0.6091233491897583,0.4529902935028076,7.204119982655925
synthetic_small_zoom,6.895688058993439,2.3618365956382616,0.9467916666666667,0.06625813245773315,0.054826829582452774,7.204119982655925
