kind,score,split,scratch,pretrained,pooled,n_ctx
fit-free,rule (matched direction),-,0.4222222222222223,0.6123737373737375,0.5067340067340068,81
fit-free,mismatched direction,-,0.23292929292929293,-0.07500000000000001,0.09607182940516275,81
fit-free,average (symmetric),-,0.5995959595959597,0.5164141414141414,0.5626262626262626,81
fit-free,tilted 2:1 to matched,-,0.5965656565656566,0.5815656565656566,0.58989898989899,81
fit-free,bottleneck: worse of two,-,0.5573737373737374,0.4318181818181819,0.501571268237935,81
fit-free,best of two,-,0.29434343434343435,0.4174242424242424,0.3490460157126824,81
fit-free,"lexicographic, precision first",-,0.5363636363636364,0.10606060606060606,0.34511784511784516,81
fit-free,"lexicographic, recall first",-,0.3808080808080808,0.5222222222222221,0.4436588103254771,81
fit-free,dispersion-weighted average,-,0.5840404040404041,0.5255050505050505,0.5580246913580247,81
ols,"linear2 (zP,zR)",LOTO,0.5533333333333333,0.5929292929292929,0.5709315375982044,81
ols,"linear2 (zP,zR)",JOINT,0.5442424242424243,0.581060606060606,0.5606060606060607,81
ols,linear2 + interaction,LOTO,0.545858585858586,0.5911616161616162,0.5659932659932659,81
ols,linear2 + interaction,JOINT,0.5280808080808082,0.6075757575757577,0.5634118967452302,81
ols,linear2 + level-conditioned,LOTO,0.542828282828283,0.5484848484848484,0.5453423120089788,81
ols,linear2 + level-conditioned,JOINT,0.5290909090909092,0.5724747474747474,0.5483726150392818,81
gbm,"gbm depth-2 (zP,zR)",LOTO,0.47737373737373745,0.5431818181818182,0.5066217732884399,81
gbm,"gbm depth-2 (zP,zR)",JOINT,0.5042424242424244,0.539141414141414,0.5197530864197532,81
