variant,regime,rule_with_diagonal,rule_without_diagonal,delta,n_contexts_with,n_contexts_without
glunet|True|True,pretrained,0.7626262626262627,0.7572390572390573,-0.005387205387205385,9,9
glunet|True|False,pretrained,0.6737373737373737,0.6511784511784512,-0.022558922558922556,9,9
catspp|False|False,scratch,0.5272727272727273,0.5239057239057239,-0.0033670033670034627,9,9
catspp|True|False,pretrained,0.5111111111111112,0.4794612794612795,-0.031649831649831706,9,9
catspp|False|True,scratch,0.507070707070707,0.505050505050505,-0.002020202020202033,9,9
catspp|True|True,pretrained,0.502020202020202,0.47542087542087536,-0.026599326599326678,9,9
raft|True|False,scratch,0.40101010101010104,0.4121212121212121,0.011111111111111072,9,9
glunet|False|True,scratch,0.37070707070707076,0.3868686868686869,0.016161616161616155,9,9
glunet|False|False,scratch,0.30505050505050507,0.2915824915824916,-0.013468013468013462,9,9
MEAN,,0.5067340067340067,0.4980920314253648,-0.008641975308642006,81,81
