arm,benchmark,source,rule rank (within grid),actual rank (within grid),peak_pck,flow d(T->B),flow d(B->T),dino d(T->B),dino d(B->T)
FF,flyingthings,lowtex_matte,1,3,52.0825,0.0003660532238427,0.0341321900486946,0.605757474899292,0.915109157562256
FF,flyingthings,trial19,2,1,56.1591,0.0003672662714961,0.0341324284672737,0.6261278986930847,0.8472660183906555
FF,flyingthings,kitti_badmotion_ft_gso_hq,3,2,54.3852,0.0005066060693934,0.0278023444116115,0.6327735781669617,0.8432394862174988
FF,flyingthings,ft_recovered_hq,4,4,52.0169,0.00055684678955,0.0270402915775775,0.6460453271865845,0.8575401306152344
FF,flyingthings,ft_recovered_matte,5,9,41.3874,0.0005585889448411,0.027066946029663,0.6251102685928345,1.0895116329193115
FF,flyingthings,kitti_recovered_gso_matte,6,8,43.4237,0.0010714156087487,0.033176977187395,0.6034175157546997,1.017647385597229
FF,flyingthings,kitti_recovered_gso_hq,7,5,48.9347,0.0011011493625119,0.0334836803376674,0.6327735781669617,0.8432394862174988
FF,flyingthings,kitti_recovered_matte,8,7,43.5359,0.0011057422962039,0.0327234640717506,0.6251102685928345,1.0895116329193115
FF,flyingthings,kitti_recovered_hq,9,6,47.6055,0.0011415582848712,0.0330002084374427,0.6460453271865845,0.8575401306152344
FF,kitti2012,kitti_recovered_gso_hq,1,1,96.4753,0.0403012856841087,0.0017711545806378,0.7532719373703003,0.678126871585846
FF,kitti2012,kitti_recovered_hq,2,2,96.1964,0.0403253883123397,0.0017560884589329,0.7564907073974609,0.6731002330780029
FF,kitti2012,trial19,3,4,90.9113,0.0403756499290466,0.0046260086819529,0.7719146013259888,0.8301982879638672
FF,kitti2012,lowtex_matte,4,5,90.3973,0.0405232086777687,0.0046264273114502,0.7857413291931152,1.0609995126724243
FF,kitti2012,kitti_recovered_gso_matte,5,3,91.0916,0.0406074896454811,0.001788156456314,0.7320066690444946,1.108394980430603
FF,kitti2012,kitti_recovered_matte,6,7,88.6404,0.0409488081932067,0.001770881935954,0.7438440322875977,1.137275457382202
FF,kitti2012,kitti_badmotion_ft_gso_hq,7,6,89.4922,0.0414070188999176,0.0045057972893118,0.7532719373703003,0.678126871585846
FF,kitti2012,ft_recovered_matte,8,9,76.6515,0.0418411046266555,0.0044759660959243,0.7438440322875977,1.137275457382202
FF,kitti2012,ft_recovered_hq,9,8,88.4381,0.0419971533119678,0.0044848704710602,0.7564907073974609,0.6731002330780029
FF,kitti2015,lowtex_matte,1,2,85.9858,0.0563771054148674,0.0107502788305282,0.7732326984405518,1.0576437711715698
FF,kitti2015,trial19,2,1,87.1496,0.0564628727734088,0.0107504203915596,0.7536630630493164,0.8145198822021484
FF,kitti2015,kitti_recovered_gso_matte,3,8,73.7756,0.0565648078918457,0.0066575976088643,0.7252271771430969,1.072827935218811
FF,kitti2015,kitti_recovered_hq,4,6,80.2283,0.0566060468554496,0.0064733563922345,0.7458587884902954,0.6206039190292358
FF,kitti2015,kitti_recovered_gso_hq,5,5,83.1569,0.0566598586738109,0.0066745178773999,0.7444868683815002,0.6262466311454773
FF,kitti2015,kitti_recovered_matte,6,7,76.5533,0.0569572150707244,0.0064550787210464,0.7365871667861938,1.0909265279769895
FF,kitti2015,kitti_badmotion_ft_gso_hq,7,3,84.1955,0.0572125911712646,0.009205037727952,0.7444868683815002,0.6262466311454773
FF,kitti2015,ft_recovered_matte,8,9,72.4716,0.0574550256133079,0.0091236755251884,0.7365871667861938,1.0909265279769895
FF,kitti2015,ft_recovered_hq,9,4,83.223,0.0577028393745422,0.0091110998764634,0.7458587884902954,0.6206039190292358
TT,flyingthings,kitti_badmotion_ft_gso_hq,1,1,77.135,0.0005066060693934,0.0278023444116115,0.6327735781669617,0.8432394862174988
TT,flyingthings,kitti_recovered_gso_matte,2,3,71.5825,0.0010714156087487,0.033176977187395,0.6034175157546997,1.017647385597229
TT,flyingthings,kitti_recovered_gso_hq,3,2,73.488,0.0011011493625119,0.0334836803376674,0.6327735781669617,0.8432394862174988
TT,kitti2012,kitti_recovered_gso_hq,1,1,98.4598,0.0403012856841087,0.0017711545806378,0.7532719373703003,0.678126871585846
TT,kitti2012,kitti_recovered_gso_matte,2,2,97.4466,0.0406074896454811,0.001788156456314,0.7320066690444946,1.108394980430603
TT,kitti2012,kitti_badmotion_ft_gso_hq,3,3,95.7896,0.0414070188999176,0.0045057972893118,0.7532719373703003,0.678126871585846
TT,kitti2015,kitti_recovered_gso_matte,1,4,93.8405,0.0565648078918457,0.0066575976088643,0.7252271771430969,1.072827935218811
TT,kitti2015,kitti_recovered_gso_hq,2,1,96.581,0.0566598586738109,0.0066745178773999,0.7444868683815002,0.6262466311454773
TT,kitti2015,kitti_badmotion_ft_gso_hq,3,3,94.2614,0.0572125911712646,0.009205037727952,0.7444868683815002,0.6262466311454773
TT,kitti2015,trial19,4,2,96.1158,0.0564628727734088,0.0107504203915596,0.7536630630493164,0.8145198822021484
