ds,dMot,dApp,transfer,kind
flyingthings,0.0448097019059475,0.8520266552620422,87.0161,canonical
imagenet2dwarp,0.06651821872695109,0.7449836569864462,78.94014999999999,canonical
movi_f,0.056593730554240086,0.8215423568895945,85.4612,canonical
pointodyssey,0.05022667202597864,0.7875127705191056,85.69685,canonical
sintel,0.04959923889068985,0.9242395532924909,89.5554,canonical
spair,0.08376705487806206,0.7066021585775119,10.8859,canonical
synthetic,0.05524359789265185,1.0756993230252327,81.9304,canonical
synthetic_2d_warp,0.05394087554910368,1.061537716517288,80.9288,canonical
synthetic_large_zoom,0.03500353544186838,1.0776738738143437,83.9204,canonical
synthetic_random_flipping,0.06178090647904714,1.07629668881865,66.5024,canonical
synthetic_small_zoom,0.0365243982718387,1.0788026425600552,84.4905,canonical
kitti_recovered_hq,0.05831415512162274,0.801491027783212,80.2283,intervention
kitti_recovered_matte,0.059682324787542144,1.0422111344614735,76.5533,intervention
kitti_recovered_gso_hq,0.05952065629546088,0.8055416093563054,83.1569,intervention
kitti_recovered_gso_matte,0.06015469944223746,1.0363413847319258,73.7756,intervention
kitti_badmotion_ft_gso_hq,0.06868386824998986,0.8057293963395612,84.1955,intervention
kitti_badmotion_ft_gso_matte,0.0698300990711362,1.036272168875437,74.7079,intervention
kitti2015_lowtex_matte,0.07228647370322866,1.03219970288463,85.9858,intervention
kitti2015_hq_trial19,0.07236920923379975,0.9173384371627921,87.1496,intervention
