ds,dMot,dApp,transfer,kind
flyingthings,0.0448097019059475,0.8520266552620422,95.7013,canonical
imagenet2dwarp,0.06651821872695109,0.7449836569864462,93.2336,canonical
movi_f,0.056593730554240086,0.8215423568895945,94.8194,canonical
pointodyssey,0.05022667202597864,0.7875127705191056,95.0862,canonical
sintel,0.04959923889068985,0.9242395532924909,96.3826,canonical
spair,0.08376705487806206,0.7066021585775119,85.1192,canonical
synthetic,0.05524359789265185,1.0756993230252327,96.1149,canonical
synthetic_2d_warp,0.05394087554910368,1.061537716517288,95.7853,canonical
synthetic_large_zoom,0.03500353544186838,1.0776738738143437,97.7369,canonical
synthetic_random_flipping,0.06178090647904714,1.07629668881865,95.5148,canonical
synthetic_small_zoom,0.0365243982718387,1.0788026425600552,97.817,canonical
kitti_recovered_hq,0.05831415512162274,0.801491027783212,96.5675,intervention
kitti_recovered_matte,0.059682324787542144,1.0422111344614735,94.002,intervention
kitti_recovered_gso_hq,0.05952065629546088,0.8055416093563054,96.581,intervention
kitti_recovered_gso_matte,0.06015469944223746,1.0363413847319258,93.8405,intervention
kitti_badmotion_ft_gso_hq,0.06868386824998986,0.8057293963395612,94.2614,intervention
kitti_badmotion_ft_gso_matte,0.0698300990711362,1.036272168875437,92.0517,intervention
kitti2015_lowtex_matte,0.07228647370322866,1.03219970288463,95.9165,intervention
kitti2015_hq_trial19,0.07236920923379975,0.9173384371627921,96.3661,intervention
