ds,dMot,dApp,transfer,kind
flyingthings,0.0001042814765241,0.5426511168479919,87.0161,canonical
imagenet2dwarp,0.0006150949629954,0.37122642993927,78.94014999999999,canonical
pointodyssey,0.0005904600257053,0.4805993139743805,85.69685,canonical
sintel,0.0006700720405206,0.7867166996002197,89.5554,canonical
spair,0.00203482597135,0.391574501991272,10.8859,canonical
synthetic,0.0004714375827461,1.052400827407837,81.9304,canonical
synthetic_2d_warp,0.00047141185496,1.013094782829285,80.9288,canonical
synthetic_large_zoom,0.0004430956032592,1.052538275718689,83.9204,canonical
synthetic_random_flipping,0.000508610450197,1.0435410737991333,66.5024,canonical
synthetic_small_zoom,0.0005980478599667,1.058471441268921,84.4905,canonical
kitti_recovered_hq,0.0055589787662029,0.5677704811096191,80.2283,intervention
kitti_recovered_matte,0.0055535393767058,1.0751854181289673,76.5533,intervention
kitti_recovered_gso_hq,0.0057342797517776,0.5695204138755798,83.1569,intervention
kitti_recovered_gso_matte,0.0057227099314332,1.0284709930419922,73.7756,intervention
kitti_badmotion_ft_gso_hq,0.0077563379891216,0.5697882175445557,84.1955,intervention
kitti_badmotion_ft_gso_matte,0.007546404376626,1.0290700197219849,74.7079,intervention
