ds,dMot,dApp,transfer,kind
flyingthings,0.0001042814765241,0.5426511168479919,95.7013,canonical
imagenet2dwarp,0.0006150949629954,0.37122642993927,93.2336,canonical
pointodyssey,0.0005904600257053,0.4805993139743805,95.0862,canonical
sintel,0.0006700720405206,0.7867166996002197,96.3826,canonical
spair,0.00203482597135,0.391574501991272,85.1192,canonical
synthetic,0.0004714375827461,1.052400827407837,96.1149,canonical
synthetic_2d_warp,0.00047141185496,1.013094782829285,95.7853,canonical
synthetic_large_zoom,0.0004430956032592,1.052538275718689,97.7369,canonical
synthetic_random_flipping,0.000508610450197,1.0435410737991333,95.5148,canonical
synthetic_small_zoom,0.0005980478599667,1.058471441268921,97.817,canonical
kitti_recovered_hq,0.0055589787662029,0.5677704811096191,96.5675,intervention
kitti_recovered_matte,0.0055535393767058,1.0751854181289673,94.002,intervention
kitti_recovered_gso_hq,0.0057342797517776,0.5695204138755798,96.581,intervention
kitti_recovered_gso_matte,0.0057227099314332,1.0284709930419922,93.8405,intervention
kitti_badmotion_ft_gso_hq,0.0077563379891216,0.5697882175445557,94.2614,intervention
kitti_badmotion_ft_gso_matte,0.007546404376626,1.0290700197219849,92.0517,intervention
