split,family,gap_bin,acc,n,measure
JOINT,appearance,0-1,0.5487977369165488,707,predictor_accuracy
JOINT,appearance,1-2,0.5703517587939698,398,predictor_accuracy
JOINT,appearance,2-5,0.5147579693034239,847,predictor_accuracy
JOINT,appearance,5-10,0.4514038876889849,926,predictor_accuracy
JOINT,appearance,>10,0.42675967025998734,1577,predictor_accuracy
JOINT,motion_meannn_sym,0-1,0.5884016973125884,707,predictor_accuracy
JOINT,motion_meannn_sym,1-2,0.5703517587939698,398,predictor_accuracy
JOINT,motion_meannn_sym,2-5,0.6056670602125147,847,predictor_accuracy
JOINT,motion_meannn_sym,5-10,0.6900647948164147,926,predictor_accuracy
JOINT,motion_meannn_sym,>10,0.7564996829422955,1577,predictor_accuracy
JOINT,motion_policy,0-1,0.5473833097595474,707,predictor_accuracy
JOINT,motion_policy,1-2,0.5879396984924623,398,predictor_accuracy
JOINT,motion_policy,2-5,0.6363636363636364,847,predictor_accuracy
JOINT,motion_policy,5-10,0.7051835853131749,926,predictor_accuracy
JOINT,motion_policy,>10,0.781864299302473,1577,predictor_accuracy
JOINT,motion_precision,0-1,0.512022630834512,707,predictor_accuracy
JOINT,motion_precision,1-2,0.49748743718592964,398,predictor_accuracy
JOINT,motion_precision,2-5,0.48288075560802834,847,predictor_accuracy
JOINT,motion_precision,5-10,0.5302375809935205,926,predictor_accuracy
JOINT,motion_precision,>10,0.6017755231452124,1577,predictor_accuracy
JOINT,motion_recall,0-1,0.5318246110325319,707,predictor_accuracy
JOINT,motion_recall,1-2,0.49246231155778897,398,predictor_accuracy
JOINT,motion_recall,2-5,0.5761511216056671,847,predictor_accuracy
JOINT,motion_recall,5-10,0.5885529157667386,926,predictor_accuracy
JOINT,motion_recall,>10,0.5897273303741281,1577,predictor_accuracy
JOINT,motion_rule,0-1,0.5176803394625177,707,predictor_accuracy
JOINT,motion_rule,1-2,0.6030150753768844,398,predictor_accuracy
JOINT,motion_rule,2-5,0.6528925619834711,847,predictor_accuracy
JOINT,motion_rule,5-10,0.683585313174946,926,predictor_accuracy
JOINT,motion_rule,>10,0.7907419150285352,1577,predictor_accuracy
JOINT,motion_w2,0-1,0.5596590909090909,1056,predictor_accuracy
JOINT,motion_w2,1-2,0.5759162303664922,573,predictor_accuracy
JOINT,motion_w2,2-5,0.5717821782178217,1212,predictor_accuracy
JOINT,motion_w2,5-10,0.6549468520032706,1223,predictor_accuracy
JOINT,motion_w2,>10,0.7352941176470589,2278,predictor_accuracy
LOBO,appearance,0-1,0.5502121640735502,707,predictor_accuracy
LOBO,appearance,1-2,0.535175879396985,398,predictor_accuracy
