split,family,gap_bin,acc,n,measure
JOINT,appearance,0-1,0.5186246418338109,349,predictor_accuracy
JOINT,appearance,1-2,0.5542635658914729,258,predictor_accuracy
JOINT,appearance,2-5,0.5311355311355311,546,predictor_accuracy
JOINT,appearance,5-10,0.5104529616724739,574,predictor_accuracy
JOINT,appearance,>10,0.4805194805194805,1078,predictor_accuracy
JOINT,motion_meannn_sym,0-1,0.5644699140401146,349,predictor_accuracy
JOINT,motion_meannn_sym,1-2,0.5193798449612403,258,predictor_accuracy
JOINT,motion_meannn_sym,2-5,0.6336996336996337,546,predictor_accuracy
JOINT,motion_meannn_sym,5-10,0.6881533101045296,574,predictor_accuracy
JOINT,motion_meannn_sym,>10,0.7346938775510204,1078,predictor_accuracy
JOINT,motion_policy,0-1,0.4813753581661891,349,predictor_accuracy
JOINT,motion_policy,1-2,0.5465116279069767,258,predictor_accuracy
JOINT,motion_policy,2-5,0.6813186813186813,546,predictor_accuracy
JOINT,motion_policy,5-10,0.7125435540069687,574,predictor_accuracy
JOINT,motion_policy,>10,0.7717996289424861,1078,predictor_accuracy
JOINT,motion_precision,0-1,0.5415472779369628,349,predictor_accuracy
JOINT,motion_precision,1-2,0.437984496124031,258,predictor_accuracy
JOINT,motion_precision,2-5,0.43772893772893773,546,predictor_accuracy
JOINT,motion_precision,5-10,0.4738675958188153,574,predictor_accuracy
JOINT,motion_precision,>10,0.5009276437847866,1078,predictor_accuracy
JOINT,motion_recall,0-1,0.5186246418338109,349,predictor_accuracy
JOINT,motion_recall,1-2,0.49612403100775193,258,predictor_accuracy
JOINT,motion_recall,2-5,0.6446886446886447,546,predictor_accuracy
JOINT,motion_recall,5-10,0.6742160278745645,574,predictor_accuracy
JOINT,motion_recall,>10,0.6855287569573284,1078,predictor_accuracy
JOINT,motion_rule,0-1,0.49570200573065903,349,predictor_accuracy
JOINT,motion_rule,1-2,0.562015503875969,258,predictor_accuracy
JOINT,motion_rule,2-5,0.6794871794871795,546,predictor_accuracy
JOINT,motion_rule,5-10,0.6794425087108014,574,predictor_accuracy
JOINT,motion_rule,>10,0.7467532467532467,1078,predictor_accuracy
JOINT,motion_w2,0-1,0.5213178294573644,516,predictor_accuracy
JOINT,motion_w2,1-2,0.6099476439790575,382,predictor_accuracy
JOINT,motion_w2,2-5,0.6114649681528662,785,predictor_accuracy
JOINT,motion_w2,5-10,0.6481481481481481,810,predictor_accuracy
JOINT,motion_w2,>10,0.7224744608399546,1762,predictor_accuracy
LOBO,appearance,0-1,0.5587392550143266,349,predictor_accuracy
LOBO,appearance,1-2,0.5271317829457365,258,predictor_accuracy
LOBO,appearance,2-5,0.5659340659340659,546,predictor_accuracy
LOBO,appearance,5-10,0.5505226480836237,574,predictor_accuracy
LOBO,appearance,>10,0.6437847866419295,1078,predictor_accuracy
LOBO,motion_meannn_sym,0-1,0.5616045845272206,349,predictor_accuracy
