features,regime,setting,ctx_rho_linear,MAE(anchor+model),r(anchor+model)
motion mean-NN both dirs (2),scratch,LOTO,0.4705050505050505,10.41010411680663,0.8254096139055785
motion mean-NN both dirs (2),pretrained,LOTO,0.2944444444444445,8.228815347954221,0.8996535647174417
motion mean-NN both dirs (2),pooled (regime-blind),LOTO,0.4042648709315376,9.649357592815761,0.8671341184258051
motion mean-NN both dirs (2),scratch,LOBO,0.5551515151515152,19.919558772322247,0.688288881211963
motion mean-NN both dirs (2),pretrained,LOBO,0.5007575757575758,16.732431780912265,0.6754130124055582
motion mean-NN both dirs (2),pooled (regime-blind),LOBO,0.4562289562289563,18.288880098040455,0.7149573811873926
motion mean-NN both dirs (2),scratch,JOINT,0.4842424242424242,32.626279573824036,-0.229763874645613
motion mean-NN both dirs (2),pretrained,JOINT,0.35277777777777786,27.878596167513603,-0.3395447729298468
motion mean-NN both dirs (2),pooled (regime-blind),JOINT,0.41144781144781145,30.65310104784447,0.0026968539611899323
motion eps 4px both dirs (2),scratch,LOTO,0.20666666666666672,11.039038353703518,0.8706371537985139
motion eps 4px both dirs (2),pretrained,LOTO,0.3964646464646464,7.924652331449505,0.9041555096479275
motion eps 4px both dirs (2),pooled (regime-blind),LOTO,0.32570145903479236,9.152996340859879,0.9047797778380033
motion eps 4px both dirs (2),scratch,LOBO,0.3391919191919192,20.838981374846238,0.6861183350035814
motion eps 4px both dirs (2),pretrained,LOBO,0.44545454545454555,16.74716977865303,0.6757801158696981
motion eps 4px both dirs (2),pooled (regime-blind),LOBO,0.36060606060606065,18.833776011487444,0.7100659030554781
motion eps 4px both dirs (2),scratch,JOINT,0.20868686868686867,31.84927537379216,-0.14124219085565798
motion eps 4px both dirs (2),pretrained,JOINT,0.3936868686868687,27.946898553601248,-0.2712459362001295
motion eps 4px both dirs (2),pooled (regime-blind),JOINT,0.32570145903479236,29.698086416925236,0.11308021036718796
motion eps 1/4/16px both dirs (6),scratch,LOTO,0.2563636363636364,9.391843148824627,0.9001078201854944
motion eps 1/4/16px both dirs (6),pretrained,LOTO,0.38535353535353534,8.103745588554606,0.9047878322107091
motion eps 1/4/16px both dirs (6),pooled (regime-blind),LOTO,0.32323232323232326,8.927067636189392,0.9074405058513824
motion eps 1/4/16px both dirs (6),scratch,LOBO,0.2654545454545454,22.590145487624604,0.6730075278375395
motion eps 1/4/16px both dirs (6),pretrained,LOBO,0.48282828282828283,16.988051798147346,0.669352172382958
motion eps 1/4/16px both dirs (6),pooled (regime-blind),LOBO,0.32996632996633,19.639457898920277,0.7005178872088353
motion eps 1/4/16px both dirs (6),scratch,JOINT,0.20949494949494946,31.740771583918843,-0.15134883074889866
motion eps 1/4/16px both dirs (6),pretrained,JOINT,0.33838383838383834,28.026088152931276,-0.2642157345791214
motion eps 1/4/16px both dirs (6),pooled (regime-blind),JOINT,0.265993265993266,30.01072006465997,0.08820002169503052
motion mean-NN + eps (8),scratch,LOTO,0.4672727272727273,9.400643646668623,0.8957462654060071
motion mean-NN + eps (8),pretrained,LOTO,0.43282828282828284,8.0402689662546,0.9068997132765935
motion mean-NN + eps (8),pooled (regime-blind),LOTO,0.38148148148148153,8.894916893402499,0.9068048259441646
motion mean-NN + eps (8),scratch,LOBO,0.3854545454545455,22.669314561737608,0.6702216936906185
motion mean-NN + eps (8),pretrained,LOBO,0.5083333333333334,17.035587994093188,0.6662598832406307
motion mean-NN + eps (8),pooled (regime-blind),LOBO,0.35656565656565664,19.68133789962676,0.6974118549996033
motion mean-NN + eps (8),scratch,JOINT,0.34404040404040404,31.832327435709193,-0.13829810109574303
motion mean-NN + eps (8),pretrained,JOINT,0.41590909090909095,27.933476148006243,-0.23617692127352768
motion mean-NN + eps (8),pooled (regime-blind),JOINT,0.3351290684624018,30.05088680860036,0.08706091735358243
appearance (DINO) mean-NN both dirs (2),scratch,LOTO,0.019595959595959597,11.130704532314411,0.8331556696046506
appearance (DINO) mean-NN both dirs (2),pretrained,LOTO,0.12474747474747476,8.769023910312493,0.891563705988329
appearance (DINO) mean-NN both dirs (2),pooled (regime-blind),LOTO,0.16891133557800225,9.976537874150628,0.8715137176365422
appearance (DINO) mean-NN both dirs (2),scratch,LOBO,0.1282828282828283,20.064294339434245,0.6813410128960722
appearance (DINO) mean-NN both dirs (2),pretrained,LOBO,0.09873737373737373,16.752008524367035,0.6714584734392786
appearance (DINO) mean-NN both dirs (2),pooled (regime-blind),LOBO,0.12682379349046016,18.431468672341964,0.7083782339142723
appearance (DINO) mean-NN both dirs (2),scratch,JOINT,-0.06707070707070707,33.28607459864257,-0.5128242345562503
appearance (DINO) mean-NN both dirs (2),pretrained,JOINT,0.05656565656565657,28.143977790787396,-0.4058389286099887
appearance (DINO) mean-NN both dirs (2),pooled (regime-blind),JOINT,0.030190796857463533,30.992027512538115,-0.03310271882115603
