drop,kind,regime,precision,recall
(none/baseline),baseline,scratch,0.4222222222222223,0.23292929292929293
(none/baseline),baseline,pretrained,-0.07500000000000001,0.6123737373737375
-flyingthings,LOSO,scratch,0.4548148148148148,0.18868686868686868
-flyingthings,LOSO,pretrained,-0.09360269360269362,0.5989898989898989
-imagenet2dwarp,LOSO,scratch,0.40686868686868677,0.19703703703703696
-imagenet2dwarp,LOSO,pretrained,-0.09023569023569024,0.5949494949494949
-movi_f,LOSO,scratch,0.5226936026936025,0.1655218855218855
-movi_f,LOSO,pretrained,0.00471380471380472,0.5717171717171716
-pointodyssey,LOSO,scratch,0.44835016835016833,0.22154882154882158
-pointodyssey,LOSO,pretrained,-0.09360269360269359,0.6111111111111112
-sintel,LOSO,scratch,0.442154882154882,0.23986531986531984
-sintel,LOSO,pretrained,-0.07744107744107744,0.628956228956229
-spair,LOSO,scratch,0.2767676767676767,0.24983164983164982
-spair,LOSO,pretrained,-0.18720538720538718,0.6094276094276094
-synthetic,LOSO,scratch,0.448080808080808,0.20457912457912455
-synthetic,LOSO,pretrained,-0.02188552188552189,0.5898989898989898
-synthetic_2d_warp,LOSO,scratch,0.4165656565656564,0.25952861952861944
-synthetic_2d_warp,LOSO,pretrained,-0.03771043771043771,0.6033670033670032
-synthetic_large_zoom,LOSO,scratch,0.4119865319865319,0.23851851851851855
-synthetic_large_zoom,LOSO,pretrained,-0.07845117845117844,0.627946127946128
-synthetic_random_flipping,LOSO,scratch,0.3861279461279462,0.2875420875420875
-synthetic_random_flipping,LOSO,pretrained,-0.03703703703703703,0.6087542087542086
-synthetic_small_zoom,LOSO,scratch,0.3944781144781144,0.29643097643097643
-synthetic_small_zoom,LOSO,pretrained,-0.10976430976430977,0.645117845117845
-fam:kubric,LOFO,scratch,0.5226936026936025,0.1655218855218855
-fam:kubric,LOFO,pretrained,0.00471380471380472,0.5717171717171716
-fam:realflow,LOFO,scratch,0.4703703703703704,0.1883597883597884
-fam:realflow,LOFO,pretrained,-0.15740740740740744,0.6097883597883599
-fam:sdf3d,LOFO,scratch,0.4103174603174604,0.31269841269841275
-fam:sdf3d,LOFO,pretrained,0.011904761904761899,0.646825396825397
-fam:semantic,LOFO,scratch,0.2767676767676767,0.24983164983164982
-fam:semantic,LOFO,pretrained,-0.18720538720538718,0.6094276094276094
-fam:warp2d,LOFO,scratch,0.3711111111111111,0.23629629629629634
-fam:warp2d,LOFO,pretrained,-0.07916666666666666,0.5986111111111111
