table,arm,benchmark,n,precision,recall,sym
seed0,FF,flyingthings,9,0.5833333333333334,-0.38333333333333336,-0.38333333333333336
seed0,FF,kitti2012,9,0.7999999999999999,0.3,0.8666666666666667
seed0,FF,kitti2015,9,0.2333333333333333,-0.5166666666666667,-0.5833333333333334
seed0,TT,flyingthings,9,0.6666666666666667,0.08333333333333334,0.08333333333333334
seed0,TT,kitti2012,9,0.5499999999999999,0.65,0.9166666666666666
seed0,TT,kitti2015,9,0.19999999999999998,0.16666666666666669,-0.016666666666666666
seed1,FF,flyingthings,9,0.6666666666666667,-0.4666666666666666,-0.3666666666666667
seed1,FF,kitti2012,9,0.8499999999999999,0.39999999999999997,0.8333333333333333
seed1,FF,kitti2015,9,0.13333333333333333,-0.5333333333333333,-0.6833333333333333
seed1,TT,flyingthings,9,0.7333333333333334,0.016666666666666666,0.06666666666666667
seed1,TT,kitti2012,9,0.6,0.7,0.9166666666666666
seed1,TT,kitti2015,9,0.6666666666666667,0.15,0.09999999999999999
seed2,FF,flyingthings,9,0.6666666666666667,-0.43333333333333335,-0.33333333333333337
seed2,FF,kitti2012,9,0.7833333333333333,0.3,0.7666666666666667
seed2,FF,kitti2015,9,0.2333333333333333,-0.7666666666666667,-0.6333333333333333
seed2,TT,flyingthings,9,0.6833333333333333,0.03333333333333333,0.08333333333333334
seed2,TT,kitti2012,9,0.6666666666666667,0.65,0.9333333333333332
seed2,TT,kitti2015,9,0.48333333333333334,-0.15,0.06666666666666667
seed3,FF,flyingthings,9,0.5833333333333334,-0.38333333333333336,-0.2833333333333333
seed3,FF,kitti2012,9,0.48333333333333334,0.41666666666666663,0.65
seed3,FF,kitti2015,9,0.08333333333333334,-0.7833333333333333,-0.6166666666666666
seed3,TT,flyingthings,9,0.6666666666666667,0.08333333333333334,0.13333333333333333
seed3,TT,kitti2012,9,0.5,0.7166666666666667,0.8166666666666667
seed3,TT,kitti2015,9,-0.049999999999999996,-0.16666666666666669,-0.13333333333333333
seed4,FF,flyingthings,9,0.6666666666666667,-0.43333333333333335,-0.3666666666666667
seed4,FF,kitti2012,9,0.8499999999999999,0.33333333333333337,0.8499999999999999
seed4,FF,kitti2015,9,0.33333333333333337,-0.5833333333333334,-0.5833333333333334
seed4,TT,flyingthings,9,0.7333333333333334,0.03333333333333333,0.06666666666666667
seed4,TT,kitti2012,9,0.6833333333333333,0.6333333333333333,0.8833333333333333
seed4,TT,kitti2015,9,0.11666666666666665,-0.06666666666666667,-0.06666666666666667
mean5_regen,FF,flyingthings,9,0.6666666666666667,-0.38333333333333336,-0.2833333333333333
mean5_regen,FF,kitti2012,9,0.9166666666666666,0.3,0.8833333333333333
mean5_regen,FF,kitti2015,9,0.38333333333333336,-0.7,-0.6333333333333333
mean5_regen,TT,flyingthings,9,0.7333333333333334,0.08333333333333334,0.13333333333333333
mean5_regen,TT,kitti2012,9,0.7999999999999999,0.65,0.9333333333333332
mean5_regen,TT,kitti2015,9,0.38333333333333336,-0.09999999999999999,0.03333333333333333
canonical_paper,FF,flyingthings,9,0.6666666666666667,-0.38333333333333336,-0.2833333333333333
canonical_paper,FF,kitti2012,9,0.9166666666666666,0.3,0.8833333333333333
canonical_paper,FF,kitti2015,9,0.38333333333333336,-0.7,-0.6333333333333333
canonical_paper,TT,flyingthings,9,0.7333333333333334,0.08333333333333334,0.13333333333333333
canonical_paper,TT,kitti2012,9,0.7999999999999999,0.65,0.9333333333333332
canonical_paper,TT,kitti2015,9,0.38333333333333336,-0.09999999999999999,0.03333333333333333
