arch,regime,source,benchmark,peak_pck,mean_nn_a_to_b,mean_nn_b_to_a,mean_nn_sym
catspp,FF,flyingthings,flyingthings,76.3251,0.0006225878605619,0.0005626633646897,0.0005926256126258
catspp,TT,flyingthings,flyingthings,85.2894,0.0006225878605619,0.0005626633646897,0.0005926256126258
glunet,FF,flyingthings,flyingthings,79.5401,0.0006225878605619,0.0005626633646897,0.0005926256126258
glunet,TT,flyingthings,flyingthings,81.4831,0.0006225878605619,0.0005626633646897,0.0005926256126258
raft,FF,flyingthings,flyingthings,79.60585,0.0006225878605619,0.0005626633646897,0.0005926256126258
catspp,FF,flyingthings,kitti2012,94.359,0.0591908879578113,7.363474287558347e-05,0.0296322613503434
catspp,TT,flyingthings,kitti2012,97.709,0.0591908879578113,7.363474287558347e-05,0.0296322613503434
glunet,FF,flyingthings,kitti2012,97.2233,0.0591908879578113,7.363474287558347e-05,0.0296322613503434
glunet,TT,flyingthings,kitti2012,99.0764,0.0591908879578113,7.363474287558347e-05,0.0296322613503434
raft,FF,flyingthings,kitti2012,96.60025,0.0591908879578113,7.363474287558347e-05,0.0296322613503434
catspp,FF,flyingthings,kitti2015,91.4836,0.0723215416073799,0.0001042814765241,0.036212911541952
catspp,TT,flyingthings,kitti2015,95.7013,0.0723215416073799,0.0001042814765241,0.036212911541952
glunet,FF,flyingthings,kitti2015,93.9097,0.0723215416073799,0.0001042814765241,0.036212911541952
glunet,TT,flyingthings,kitti2015,97.3336,0.0723215416073799,0.0001042814765241,0.036212911541952
raft,FF,flyingthings,kitti2015,91.5495,0.0723215416073799,0.0001042814765241,0.036212911541952
catspp,FF,flyingthings,pfpascal,16.4969,0.0164163168519735,0.0009482690948061,0.0086822929733898
catspp,TT,flyingthings,pfpascal,50.7447,0.0164163168519735,0.0009482690948061,0.0086822929733898
glunet,FF,flyingthings,pfpascal,11.2521,0.0164163168519735,0.0009482690948061,0.0086822929733898
glunet,TT,flyingthings,pfpascal,33.9699,0.0164163168519735,0.0009482690948061,0.0086822929733898
raft,FF,flyingthings,pfpascal,13.37085,0.0164163168519735,0.0009482690948061,0.0086822929733898
catspp,FF,flyingthings,pfwillow,17.4889,0.024993622675538,0.0018230249406769,0.0134083238081075
catspp,TT,flyingthings,pfwillow,53.4,0.024993622675538,0.0018230249406769,0.0134083238081075
glunet,FF,flyingthings,pfwillow,16.2466,0.024993622675538,0.0018230249406769,0.0134083238081075
glunet,TT,flyingthings,pfwillow,36.9398,0.024993622675538,0.0018230249406769,0.0134083238081075
raft,FF,flyingthings,pfwillow,16.6614,0.024993622675538,0.0018230249406769,0.0134083238081075
catspp,FF,flyingthings,pointodyssey,46.0158,0.004631083458662,6.147966632852331e-05,0.0023462815624952
catspp,TT,flyingthings,pointodyssey,59.3461,0.004631083458662,6.147966632852331e-05,0.0023462815624952
glunet,FF,flyingthings,pointodyssey,93.9512,0.004631083458662,6.147966632852331e-05,0.0023462815624952
glunet,TT,flyingthings,pointodyssey,95.08,0.004631083458662,6.147966632852331e-05,0.0023462815624952
raft,FF,flyingthings,pointodyssey,36.1356,0.004631083458662,6.147966632852331e-05,0.0023462815624952
catspp,FF,flyingthings,spair,3.633,0.0082023767754435,0.0149518651887774,0.0115771209821105
catspp,TT,flyingthings,spair,19.8812,0.0082023767754435,0.0149518651887774,0.0115771209821105
glunet,FF,flyingthings,spair,2.6105,0.0082023767754435,0.0149518651887774,0.0115771209821105
glunet,TT,flyingthings,spair,7.582,0.0082023767754435,0.0149518651887774,0.0115771209821105
raft,FF,flyingthings,spair,2.69925,0.0082023767754435,0.0149518651887774,0.0115771209821105
catspp,FF,flyingthings,synthetic,20.6718,0.0031894550193101,0.0250858590006828,0.0141376570099964
catspp,TT,flyingthings,synthetic,38.2449,0.0031894550193101,0.0250858590006828,0.0141376570099964
glunet,FF,flyingthings,synthetic,15.5289,0.0031894550193101,0.0250858590006828,0.0141376570099964
glunet,TT,flyingthings,synthetic,27.769,0.0031894550193101,0.0250858590006828,0.0141376570099964
raft,FF,flyingthings,synthetic,15.92325,0.0031894550193101,0.0250858590006828,0.0141376570099964
catspp,FF,flyingthings,tss,33.5001,0.0089171882718801,0.0045115719549357,0.0067143801134079
catspp,TT,flyingthings,tss,66.7002,0.0089171882718801,0.0045115719549357,0.0067143801134079
glunet,FF,flyingthings,tss,26.1161,0.0089171882718801,0.0045115719549357,0.0067143801134079
glunet,TT,flyingthings,tss,54.9733,0.0089171882718801,0.0045115719549357,0.0067143801134079
raft,FF,flyingthings,tss,24.11475,0.0089171882718801,0.0045115719549357,0.0067143801134079
catspp,FF,imagenet2dwarp,flyingthings,57.94145,0.0008570945938117,0.0043376642279326,0.0025973794108722
catspp,TT,imagenet2dwarp,flyingthings,79.9519,0.0008570945938117,0.0043376642279326,0.0025973794108722
glunet,FF,imagenet2dwarp,flyingthings,54.827,0.0008570945938117,0.0043376642279326,0.0025973794108722
glunet,TT,imagenet2dwarp,flyingthings,66.7997,0.0008570945938117,0.0043376642279326,0.0025973794108722
raft,FF,imagenet2dwarp,flyingthings,4.28145,0.0008570945938117,0.0043376642279326,0.0025973794108722
catspp,FF,imagenet2dwarp,kitti2012,69.0475,0.1336935460567474,0.0003809107292909,0.0670372283930191
catspp,TT,imagenet2dwarp,kitti2012,93.6996,0.1336935460567474,0.0003809107292909,0.0670372283930191
glunet,FF,imagenet2dwarp,kitti2012,83.4869,0.1336935460567474,0.0003809107292909,0.0670372283930191
glunet,TT,imagenet2dwarp,kitti2012,93.1941,0.1336935460567474,0.0003809107292909,0.0670372283930191
raft,FF,imagenet2dwarp,kitti2012,13.823675,0.1336935460567474,0.0003809107292909,0.0670372283930191
catspp,FF,imagenet2dwarp,kitti2015,78.94014999999999,0.1256783604621887,0.0006150949629954,0.0631467277125921
catspp,TT,imagenet2dwarp,kitti2015,93.2336,0.1256783604621887,0.0006150949629954,0.0631467277125921
glunet,FF,imagenet2dwarp,kitti2015,85.4709,0.1256783604621887,0.0006150949629954,0.0631467277125921
glunet,TT,imagenet2dwarp,kitti2015,89.5363,0.1256783604621887,0.0006150949629954,0.0631467277125921
raft,FF,imagenet2dwarp,kitti2015,18.0252125,0.1256783604621887,0.0006150949629954,0.0631467277125921
catspp,FF,imagenet2dwarp,pfpascal,9.00725,0.019353587180376,0.0045205019414424,0.0119370445609092
catspp,TT,imagenet2dwarp,pfpascal,45.3169,0.019353587180376,0.0045205019414424,0.0119370445609092
