benchmark,source,d_tb,d_bt,peak_pck_FF,peak_pck_TT
flyingthings,lowtex_matte,0.0003660532238427,0.0341321900486946,52.0825,74.8123
flyingthings,trial19,0.0003672662714961,0.0341324284672737,56.1591,75.8234
flyingthings,kitti_badmotion_ft_gso_hq,0.0005066060693934,0.0278023444116115,54.3852,77.135
flyingthings,ft_recovered_hq,0.00055684678955,0.0270402915775775,52.0169,76.459
flyingthings,ft_recovered_matte,0.0005585889448411,0.027066946029663,41.3874,73.1644
flyingthings,kitti_recovered_gso_matte,0.0010714156087487,0.033176977187395,43.4237,71.5825
flyingthings,kitti_recovered_gso_hq,0.0011011493625119,0.0334836803376674,48.9347,73.488
flyingthings,kitti_recovered_matte,0.0011057422962039,0.0327234640717506,43.5359,71.5798
flyingthings,kitti_recovered_hq,0.0011415582848712,0.0330002084374427,47.6055,73.1075
kitti2012,kitti_recovered_gso_hq,0.0403012856841087,0.0017711545806378,96.4753,98.4598
kitti2012,kitti_recovered_hq,0.0403253883123397,0.0017560884589329,96.1964,98.4098
kitti2012,trial19,0.0403756499290466,0.0046260086819529,90.9113,97.1886
kitti2012,lowtex_matte,0.0405232086777687,0.0046264273114502,90.3973,96.6012
kitti2012,kitti_recovered_gso_matte,0.0406074896454811,0.001788156456314,91.0916,97.4466
kitti2012,kitti_recovered_matte,0.0409488081932067,0.001770881935954,88.6404,97.4793
kitti2012,kitti_badmotion_ft_gso_hq,0.0414070188999176,0.0045057972893118,89.4922,95.7896
kitti2012,ft_recovered_matte,0.0418411046266555,0.0044759660959243,76.6515,95.6107
kitti2012,ft_recovered_hq,0.0419971533119678,0.0044848704710602,88.4381,95.8832
kitti2015,lowtex_matte,0.0563771054148674,0.0107502788305282,85.9858,95.9165
kitti2015,trial19,0.0564628727734088,0.0107504203915596,87.1496,96.3661
kitti2015,kitti_recovered_gso_matte,0.0565648078918457,0.0066575976088643,73.7756,93.8405
kitti2015,kitti_recovered_hq,0.0566060468554496,0.0064733563922345,80.2283,96.5675
kitti2015,kitti_recovered_gso_hq,0.0566598586738109,0.0066745178773999,83.1569,96.581
kitti2015,kitti_recovered_matte,0.0569572150707244,0.0064550787210464,76.5533,94.002
kitti2015,kitti_badmotion_ft_gso_hq,0.0572125911712646,0.009205037727952,84.1955,94.2614
kitti2015,ft_recovered_matte,0.0574550256133079,0.0091236755251884,72.4716,92.3885
kitti2015,ft_recovered_hq,0.0577028393745422,0.0091110998764634,83.223,94.3046
