train_dataset,context_id,benchmark,variant,actual,L,g,g_global_gain,g_variant_gain,g_context_gain,g_shrink_gain,g_benchsim_gain,g_profilesim_gain,gain_global,gain_variant,gain_context,gain_shrink,gain_benchsim,gain_profilesim
flyingthings,flyingthings|catspp|False|False,flyingthings,catspp|False|False,76.3251,39.27713027740743,0.25658060097842367,0.5402223939746448,0.4618406571179207,0.4618406571179207,0.4618406571179207,1.563744760691563,2.5507016131167886,2.105468581469544,1.7999827553477348,1.7999827553477348,1.7999827553477348,6.094555686316524,9.941131961614206
flyingthings,flyingthings|catspp|False|True,flyingthings,catspp|False|True,76.5009,52.4777180474076,0.25658060097842367,0.5402223939746448,0.47964395632126866,0.47964395632126866,0.47964395632126866,1.7060321673045051,2.553449753204236,2.105468581469544,1.8693695255690932,1.8693695255690932,1.8693695255690932,6.64910815860147,9.951842592413914
flyingthings,flyingthings|catspp|True|False,flyingthings,catspp|True|False,85.2977,60.076775852772386,0.2703664733984159,0.569248115223086,0.5925096657478204,0.5925096657478204,0.5925096657478204,2.089389792807324,0.5012955873568783,2.105468581469544,2.191505693365648,2.191505693365648,2.191505693365648,7.7279914426681495,1.8541336914143267
flyingthings,flyingthings|catspp|True|True,flyingthings,catspp|True|True,85.2894,57.180528462186125,0.2703664733984159,0.569248115223086,0.5323119827877802,0.5323119827877802,0.5323119827877802,2.0845769447630875,0.3722389181250198,2.105468581469544,1.9688535198051633,1.9688535198051633,1.9688535198051633,7.710190241270134,1.37679392509767
flyingthings,flyingthings|glunet|False|False,flyingthings,glunet|False|False,79.5401,65.23245825419457,0.25658060097842367,0.5402223939746448,0.4811521946870104,0.4811521946870104,0.4811521946870104,1.6962476683864123,2.55332347858479,2.105468581469544,1.875247750033415,1.875247750033415,1.875247750033415,6.610973947048525,9.95135044835094
flyingthings,flyingthings|glunet|False|True,flyingthings,glunet|False|True,72.9905,65.16204006106194,0.25658060097842367,0.5402223939746448,0.4509491375173962,0.4509491375173962,0.4509491375173962,1.6143336156376937,2.551962716914412,2.105468581469544,1.7575340294542272,1.7575340294542272,1.7575340294542272,6.291721234893537,9.946047001148816
flyingthings,flyingthings|glunet|True|False,flyingthings,glunet|True|False,85.8465,75.28989657921635,0.2703664733984159,0.569248115223086,1.168512309399047,1.168512309399047,1.168512309399047,2.4595876539824135,0.5429319560158131,2.105468581469544,4.321957137330081,4.321957137330081,4.321957137330081,9.097236144209086,2.0081334389998156
flyingthings,flyingthings|glunet|True|True,flyingthings,glunet|True|True,81.4831,73.14396011955004,0.2703664733984159,0.569248115223086,0.8496589199105637,0.8496589199105637,0.8496589199105637,2.409115214368966,0.4047459624782837,2.105468581469544,3.1426193833526623,3.1426193833526623,3.1426193833526623,8.910554567240515,1.4970271919841343
flyingthings,flyingthings|raft|True|False,flyingthings,raft|True|False,79.60585,31.947595874143452,0.28933091968840574,0.6091771610516262,0.6381531256184264,0.6381531256184264,0.6381531256184264,1.6932010800669783,2.875426441528906,2.105468581469544,2.20561675988755,2.20561675988755,2.20561675988755,5.852126284637906,9.938192726258189
imagenet2dwarp,flyingthings|catspp|False|False,flyingthings,catspp|False|False,57.94145,38.822587894662846,0.23710871315034562,0.49922494593072725,0.4267915948133148,0.4267915948133148,0.4267915948133148,1.4450722560056326,2.3571290066761152,2.105468581469544,1.7999827553477348,1.7999827553477348,1.7999827553477348,6.094555686316524,9.941131961614206
