src,bench,variant,actual,L2,L2g
flyingthings,flyingthings,catspp|False|False,76.3251,35.928584040249696,41.97391389634931
flyingthings,flyingthings,catspp|False|True,76.5009,38.29568065392703,43.990948859970715
flyingthings,flyingthings,catspp|True|False,85.2977,54.65958388971225,56.07022082188912
flyingthings,flyingthings,catspp|True|True,85.2894,55.78654102004604,56.925999181918684
flyingthings,flyingthings,glunet|False|False,79.5401,50.6656298476774,55.15087406705159
flyingthings,flyingthings,glunet|False|True,72.9905,46.85143291881736,51.71813558054268
flyingthings,flyingthings,glunet|True|False,85.8465,55.406188395625655,57.6678814497123
flyingthings,flyingthings,glunet|True|True,81.4831,61.20279423913718,63.18262546297112
flyingthings,flyingthings,raft|True|False,79.60585,32.578206948998066,37.51722199531434
flyingthings,kitti2012,catspp|False|False,94.359,74.571709331244,73.25094501101947
flyingthings,kitti2012,catspp|False|True,94.1642,75.66520398897183,74.39978822970791
flyingthings,kitti2012,catspp|True|False,98.098,89.83957036485789,91.3149466964518
flyingthings,kitti2012,catspp|True|True,97.709,89.96086503521254,91.15139918299502
flyingthings,kitti2012,glunet|False|False,97.2233,79.98779399165201,79.01217006087758
flyingthings,kitti2012,glunet|False|True,94.0515,76.3181295230363,75.29379867760493
flyingthings,kitti2012,glunet|True|False,99.4901,81.0275228691729,83.41411078348236
flyingthings,kitti2012,glunet|True|True,99.0764,86.93628514222522,89.02716166498848
flyingthings,kitti2012,raft|True|False,96.60025,69.6544057933189,68.94104266465745
flyingthings,kitti2015,catspp|False|False,91.4836,73.04077892719674,70.5151418077659
flyingthings,kitti2015,catspp|False|True,91.5434,75.3105665927,72.89725952808358
flyingthings,kitti2015,catspp|True|False,96.7896,91.28215609302778,92.75385819910245
flyingthings,kitti2015,catspp|True|True,95.7013,91.49634191492905,92.683918984417
flyingthings,kitti2015,glunet|False|False,93.9097,84.01047090274305,82.13708585659231
flyingthings,kitti2015,glunet|False|True,89.0545,80.44098596817959,78.34383775556637
flyingthings,kitti2015,glunet|True|False,97.7086,82.95136891706093,85.33117097299619
flyingthings,kitti2015,glunet|True|True,97.3336,89.13382359226067,91.21991643554365
flyingthings,kitti2015,raft|True|False,91.5495,71.45705431222605,69.8139134053854
flyingthings,middlebury,catspp|False|False,53.7485,50.74945290255589,52.64817081340836
flyingthings,middlebury,catspp|False|True,54.4476,53.994653353422315,55.75998570552955
flyingthings,middlebury,catspp|True|False,54.1447,65.19912276878496,66.66698024232969
flyingthings,middlebury,catspp|True|True,52.9753,66.15291215323623,67.33786527338837
flyingthings,middlebury,glunet|False|False,54.4217,72.23790918814542,73.61459982226191
flyingthings,middlebury,glunet|False|True,54.6248,67.33864114967965,68.83852248767354
flyingthings,middlebury,glunet|True|False,55.8664,73.80907498055298,76.18176948100182
flyingthings,middlebury,glunet|True|True,55.5054,79.74786035237452,81.82687478568117
flyingthings,middlebury,raft|True|False,54.08675,45.72230067390301,47.34613540996461
flyingthings,pfpascal,catspp|False|False,16.4969,44.886245221315306,49.127244482319085
flyingthings,pfpascal,catspp|False|True,16.0706,47.07175925288474,51.066450846544534
flyingthings,pfpascal,catspp|True|False,48.3555,63.01879458922567,64.37907676086395
flyingthings,pfpascal,catspp|True|True,50.7447,63.8405835836245,64.93169469273863
flyingthings,pfpascal,glunet|False|False,11.2521,57.92243949203371,61.05454364930545
flyingthings,pfpascal,glunet|False|True,14.9872,53.1372811644729,56.53443078410381
flyingthings,pfpascal,glunet|True|False,34.1953,61.38844077368167,63.55231543544659
flyingthings,pfpascal,glunet|True|True,33.9699,67.12700106062012,68.99276519995902
flyingthings,pfpascal,raft|True|False,13.37085,40.29511786114962,43.848642798836835
flyingthings,pfwillow,catspp|False|False,17.4889,38.81666233540889,42.303840887123016
flyingthings,pfwillow,catspp|False|True,19.0444,40.50982861907413,43.79342284532254
flyingthings,pfwillow,catspp|True|False,51.4778,59.997473542257126,61.276379260215826
flyingthings,pfwillow,catspp|True|True,53.4,60.85324024411714,61.870009731681115
flyingthings,pfwillow,glunet|False|False,16.2466,47.892050930596334,50.470710128052986
flyingthings,pfwillow,glunet|False|True,18.3398,43.69706402119658,46.49502798072756
flyingthings,pfwillow,glunet|True|False,35.8302,53.50442859613952,55.50436720480062
flyingthings,pfwillow,glunet|True|True,36.9398,59.374949576432456,61.100426686927236
flyingthings,pfwillow,raft|True|False,16.6614,34.85935464777432,37.87008745115091
flyingthings,pointodyssey,catspp|False|False,46.0158,45.296716863654936,50.542014245894414
flyingthings,pointodyssey,catspp|False|True,68.9316,45.95831123232357,50.833274747670785
flyingthings,pointodyssey,catspp|True|False,64.7289,66.14872750327292,67.62810527402695
flyingthings,pointodyssey,catspp|True|True,59.3461,66.7575193287616,67.95052337476659
flyingthings,pointodyssey,glunet|False|False,93.9512,47.511751014052464,51.44984543190506
flyingthings,pointodyssey,glunet|False|True,91.9442,43.61511503302549,47.88154445645742
flyingthings,pointodyssey,glunet|True|False,97.4434,51.832712500676315,54.21926644186534
flyingthings,pointodyssey,glunet|True|True,95.08,57.32626260004927,59.41515490984422
flyingthings,pointodyssey,raft|True|False,36.1356,41.3784561129624,45.76533744216181
flyingthings,spair,catspp|False|False,3.633,34.751429718223456,40.115000023541185
flyingthings,spair,catspp|False|True,3.6918,35.84044193893769,40.89032063379062
flyingthings,spair,catspp|True|False,19.9484,58.19754548841053,58.18548407165871
flyingthings,spair,catspp|True|True,19.8812,58.32000912677973,58.310816086089005
flyingthings,spair,glunet|False|False,2.6105,34.29974025447893,38.26725299133713
flyingthings,spair,glunet|False|True,2.7028,29.68211324239505,33.9909716348582
flyingthings,spair,glunet|True|False,6.6514,40.77868877708892,40.75874353401097
flyingthings,spair,glunet|True|True,7.582,44.96350639707041,44.946689582853004
