split,family,gap_bin,acc,n,measure
JOINT,motion_rule,0-1,0.5189718482252142,817,predictor_accuracy
JOINT,motion_rule,1-2,0.6207627118644068,472,predictor_accuracy
JOINT,motion_rule,2-5,0.6699239956568946,921,predictor_accuracy
JOINT,motion_rule,5-10,0.7015384615384616,975,predictor_accuracy
JOINT,motion_rule,>10,0.8162162162162162,1665,predictor_accuracy
LOBO,motion_rule,0-1,0.5410036719706243,817,predictor_accuracy
LOBO,motion_rule,1-2,0.6504237288135594,472,predictor_accuracy
LOBO,motion_rule,2-5,0.6644951140065146,921,predictor_accuracy
LOBO,motion_rule,5-10,0.6707692307692308,975,predictor_accuracy
LOBO,motion_rule,>10,0.790990990990991,1665,predictor_accuracy
LOTO,motion_rule,0-1,0.5275397796817626,817,predictor_accuracy
LOTO,motion_rule,1-2,0.6440677966101694,472,predictor_accuracy
LOTO,motion_rule,2-5,0.6677524429967426,921,predictor_accuracy
LOTO,motion_rule,5-10,0.6717948717948717,975,predictor_accuracy
LOTO,motion_rule,>10,0.7891891891891892,1665,predictor_accuracy
JOINT,motion_rule,ALL,0.6962886597938144,4850,predictor_accuracy
LOBO,motion_rule,ALL,0.6870103092783505,4850,predictor_accuracy
LOTO,motion_rule,ALL,0.6843298969072165,4850,predictor_accuracy
n/a,cross_arch,0-1,0.5641634980988594,4208,empirical_reproducibility
n/a,cross_arch,1-2,0.6188898094449047,2414,empirical_reproducibility
n/a,cross_arch,2-5,0.6623265741728922,4685,empirical_reproducibility
n/a,cross_arch,5-10,0.7100200400801603,4990,empirical_reproducibility
n/a,cross_arch,>10,0.7738445254616018,8503,empirical_reproducibility
n/a,same_arch,0-1,0.5816644414775256,2247,empirical_reproducibility
n/a,same_arch,1-2,0.621141975308642,1296,empirical_reproducibility
n/a,same_arch,2-5,0.7012987012987013,2541,empirical_reproducibility
n/a,same_arch,5-10,0.7748966553927095,2661,empirical_reproducibility
n/a,same_arch,>10,0.8439955106621774,4455,empirical_reproducibility
n/a,cross_arch,ALL,0.6892741935483871,24800,empirical_reproducibility
n/a,same_arch,ALL,0.7360606060606061,13200,empirical_reproducibility
