features,regime,setting,ctx_rho_linear,MAE(anchor+model),r(anchor+model)
motion mean-NN both dirs (2),scratch,LOTO,0.520969696969697,10.31588452880209,0.8186652935807754
motion mean-NN both dirs (2),pretrained,LOTO,0.3884090909090909,7.734547495409223,0.8979600959490747
motion mean-NN both dirs (2),pooled (regime-blind),LOTO,0.4370033670033671,9.469311177107985,0.8612794519484073
motion mean-NN both dirs (2),scratch,LOBO,0.574969696969697,19.981955371595017,0.6800046331566381
motion mean-NN both dirs (2),pretrained,LOBO,0.5070454545454546,17.236812484006638,0.6397993549632313
motion mean-NN both dirs (2),pooled (regime-blind),LOBO,0.4756228956228956,18.482626114914225,0.6963931136556573
motion mean-NN both dirs (2),scratch,JOINT,0.5408484848484849,30.578671070292035,-0.17501009117249705
motion mean-NN both dirs (2),pretrained,JOINT,0.3586363636363637,25.47578645814429,-0.3013106898391079
motion mean-NN both dirs (2),pooled (regime-blind),JOINT,0.4530976430976431,28.621257777680643,0.03150070213348239
motion eps 4px both dirs (2),scratch,LOTO,0.19503030303030303,11.274323272260336,0.8544125320287838
motion eps 4px both dirs (2),pretrained,LOTO,0.3375,7.542782115764404,0.902312053953909
motion eps 4px both dirs (2),pooled (regime-blind),LOTO,0.3010774410774411,9.150555827644807,0.8951713816580424
motion eps 4px both dirs (2),scratch,LOBO,0.33739393939393936,20.867043537794963,0.6817009379878987
motion eps 4px both dirs (2),pretrained,LOBO,0.3884090909090909,17.268461025409977,0.639950825935363
motion eps 4px both dirs (2),pooled (regime-blind),LOBO,0.34050505050505053,18.993706208166,0.6941713809144988
motion eps 4px both dirs (2),scratch,JOINT,0.19224242424242427,29.993257753345393,-0.10718230451948418
motion eps 4px both dirs (2),pretrained,JOINT,0.33386363636363636,25.50150136047433,-0.24738900397751007
motion eps 4px both dirs (2),pooled (regime-blind),JOINT,0.30387205387205385,27.621760312520504,0.13125009936927468
motion eps 1/4/16px both dirs (6),scratch,LOTO,0.3183030303030303,9.454215308101562,0.8930494912546322
motion eps 1/4/16px both dirs (6),pretrained,LOTO,0.3581818181818182,7.640293133856058,0.9035307632139082
motion eps 1/4/16px both dirs (6),pooled (regime-blind),LOTO,0.34646464646464653,8.768345644263809,0.9020951822085694
motion eps 1/4/16px both dirs (6),scratch,LOBO,0.34600000000000003,22.58873942389026,0.6705866634252828
motion eps 1/4/16px both dirs (6),pretrained,LOBO,0.4270454545454546,17.45665985673455,0.6350182409785767
motion eps 1/4/16px both dirs (6),pooled (regime-blind),LOBO,0.38542087542087555,19.798964040592296,0.6849409775122572
motion eps 1/4/16px both dirs (6),scratch,JOINT,0.3067272727272728,29.62543203791569,-0.05721270280820968
motion eps 1/4/16px both dirs (6),pretrained,JOINT,0.2954545454545455,25.598294413931864,-0.23064330835251146
motion eps 1/4/16px both dirs (6),pooled (regime-blind),JOINT,0.3001683501683502,27.7459046111696,0.12082899549734231
motion mean-NN + eps (8),scratch,LOTO,0.492848484848485,9.451192506883002,0.888821613451104
motion mean-NN + eps (8),pretrained,LOTO,0.400909090909091,7.553190049698651,0.9061025001936897
motion mean-NN + eps (8),pooled (regime-blind),LOTO,0.4084175084175084,8.733168725506244,0.9012748817459311
motion mean-NN + eps (8),scratch,LOBO,0.4644848484848485,22.656445137188403,0.6694704647935181
motion mean-NN + eps (8),pretrained,LOBO,0.4488636363636364,17.520353231977417,0.6325776151019391
motion mean-NN + eps (8),pooled (regime-blind),LOBO,0.38050505050505057,19.83281185221976,0.6831456179830522
motion mean-NN + eps (8),scratch,JOINT,0.407030303030303,29.659774582756,-0.051723275395457444
motion mean-NN + eps (8),pretrained,JOINT,0.3325,25.536258855373813,-0.20659417697481242
motion mean-NN + eps (8),pooled (regime-blind),JOINT,0.3563973063973065,27.83607384624024,0.11872298660469321
appearance (DINO) mean-NN both dirs (2),scratch,LOTO,-0.05369696969696971,11.310936232463984,0.8180104982676739
appearance (DINO) mean-NN both dirs (2),pretrained,LOTO,0.1325,8.239568975495,0.8893121636667916
appearance (DINO) mean-NN both dirs (2),pooled (regime-blind),LOTO,0.11131313131313131,9.826694331111955,0.8622615863366997
appearance (DINO) mean-NN both dirs (2),scratch,LOBO,0.10781818181818181,19.955868203155823,0.6732697574372399
appearance (DINO) mean-NN both dirs (2),pretrained,LOBO,0.10659090909090911,17.240519255788204,0.6353998053498187
appearance (DINO) mean-NN both dirs (2),pooled (regime-blind),LOBO,0.11946127946127946,18.55882543476249,0.6906699951670923
appearance (DINO) mean-NN both dirs (2),scratch,JOINT,-0.10412121212121214,31.364447073524914,-0.4657614425986866
appearance (DINO) mean-NN both dirs (2),pretrained,JOINT,0.07431818181818181,25.703064382514672,-0.3720256064038996
appearance (DINO) mean-NN both dirs (2),pooled (regime-blind),JOINT,0.0008754208754208736,28.81180067613185,-0.016473774617497064
