features,regime,setting,ctx_rho_linear,MAE(anchor+model),r(anchor+model)
motion mean-NN both dirs (2),scratch,LOTO,0.48545454545454547,10.402967485639769,0.8236223461150738
motion mean-NN both dirs (2),pretrained,LOTO,0.2944444444444445,8.228815347954221,0.8996535647174417
motion mean-NN both dirs (2),pooled (regime-blind),LOTO,0.4036288814066592,9.664916933379228,0.8661131065292738
motion mean-NN both dirs (2),scratch,LOBO,0.5517171717171716,19.924358739019475,0.6851280498028198
motion mean-NN both dirs (2),pretrained,LOBO,0.5007575757575758,16.891006998010823,0.6691302135331811
motion mean-NN both dirs (2),pooled (regime-blind),LOBO,0.4550692106247662,18.298165158987594,0.7106701884257014
motion mean-NN both dirs (2),scratch,JOINT,0.5053198653198654,32.52671698950966,-0.20185346377913538
motion mean-NN both dirs (2),pretrained,JOINT,0.35277777777777786,27.53591694519305,-0.3167147070217187
motion mean-NN both dirs (2),pooled (regime-blind),JOINT,0.41679760568649465,30.426489917470555,0.011302983140551406
motion eps 4px both dirs (2),scratch,LOTO,0.21528619528619536,11.106526156767535,0.8686858801934542
motion eps 4px both dirs (2),pretrained,LOTO,0.3964646464646464,7.924652331449505,0.9041555096479275
motion eps 4px both dirs (2),pooled (regime-blind),LOTO,0.3300037411148522,9.17079297417415,0.903988283455692
motion eps 4px both dirs (2),scratch,LOBO,0.3461279461279461,20.980222486413354,0.681933885972487
motion eps 4px both dirs (2),pretrained,LOBO,0.44545454545454555,16.873169437400044,0.6697118366368315
motion eps 4px both dirs (2),pooled (regime-blind),LOBO,0.36588103254769927,18.874908056617183,0.7050661343908463
motion eps 4px both dirs (2),scratch,JOINT,0.2127272727272727,31.79539519384255,-0.10801046574528014
motion eps 4px both dirs (2),pretrained,JOINT,0.3936868686868687,27.61970813582369,-0.24581367468673426
motion eps 4px both dirs (2),pooled (regime-blind),JOINT,0.3300037411148522,29.473061028678114,0.12796912953345813
motion eps 1/4/16px both dirs (6),scratch,LOTO,0.2864646464646464,9.351431129978089,0.9002407829600636
motion eps 1/4/16px both dirs (6),pretrained,LOTO,0.38535353535353534,8.103745588554606,0.9047878322107091
motion eps 1/4/16px both dirs (6),pooled (regime-blind),LOTO,0.3240179573512907,8.938333872645373,0.9069053059099391
motion eps 1/4/16px both dirs (6),scratch,LOBO,0.2934680134680135,22.567581421729933,0.6710158828975612
motion eps 1/4/16px both dirs (6),pretrained,LOBO,0.48282828282828283,17.091781913515817,0.6635389116602644
motion eps 1/4/16px both dirs (6),pooled (regime-blind),LOBO,0.3346427235316124,19.62555425621039,0.6968320116754609
motion eps 1/4/16px both dirs (6),scratch,JOINT,0.24444444444444444,31.6271342044205,-0.10443911060500494
motion eps 1/4/16px both dirs (6),pretrained,JOINT,0.33838383838383834,27.700296951353607,-0.23844955373078164
motion eps 1/4/16px both dirs (6),pooled (regime-blind),JOINT,0.2601945379723158,29.77768970846354,0.1040579576101493
motion mean-NN + eps (8),scratch,LOTO,0.4775084175084176,9.38902213264713,0.8950526539184946
motion mean-NN + eps (8),pretrained,LOTO,0.43282828282828284,8.0402689662546,0.9068997132765935
motion mean-NN + eps (8),pooled (regime-blind),LOTO,0.37081930415263753,8.912797983394011,0.9060533033576639
motion mean-NN + eps (8),scratch,LOBO,0.40107744107744114,22.63403871262766,0.6692497556978734
motion mean-NN + eps (8),pretrained,LOBO,0.5083333333333334,17.153117708020243,0.6603850856095266
motion mean-NN + eps (8),pooled (regime-blind),LOBO,0.34814814814814815,19.664089433658226,0.6942014809017235
motion mean-NN + eps (8),scratch,JOINT,0.36457912457912456,31.72942027615866,-0.09922452757363695
motion mean-NN + eps (8),pretrained,JOINT,0.41590909090909095,27.603918218437546,-0.20940523273890935
motion mean-NN + eps (8),pooled (regime-blind),JOINT,0.34070332959221855,29.830117530399335,0.10141574277721685
appearance (DINO) mean-NN both dirs (2),scratch,LOTO,0.00828282828282828,11.203499077613786,0.8308992746793471
appearance (DINO) mean-NN both dirs (2),pretrained,LOTO,0.12474747474747476,8.769023910312493,0.891563705988329
appearance (DINO) mean-NN both dirs (2),pooled (regime-blind),LOTO,0.161242050130939,10.001659555882714,0.8703832807926555
appearance (DINO) mean-NN both dirs (2),scratch,LOBO,0.12828282828282825,20.29875765924003,0.6758380559115427
appearance (DINO) mean-NN both dirs (2),pretrained,LOBO,0.09873737373737373,16.89377737857216,0.6650814087224325
appearance (DINO) mean-NN both dirs (2),pooled (regime-blind),LOBO,0.1251402918069585,18.58297868555514,0.7031046549410678
appearance (DINO) mean-NN both dirs (2),scratch,JOINT,-0.0686868686868687,33.22429778662003,-0.4721671987486848
appearance (DINO) mean-NN both dirs (2),pretrained,JOINT,0.05656565656565657,27.83303638790235,-0.3882175819429729
appearance (DINO) mean-NN both dirs (2),pooled (regime-blind),JOINT,0.025065469509913955,30.802996417379344,-0.02731901620988917
